FIPS,stateName,value,winningParty
01,Alabama,9,Republicans
02,Alaska,3,Republicans
04,Arizona,11,Republicans
05,Arkansas,6,Republicans
06,California,55,Democrats
08,Colorado,9,Democrats
09,Connecticut,7,Democrats
10,Delaware,3,Democrats
11,District of Columbia,29,Republicans
12,Florida,16,Republicans
13,Georgia,4,Democrats
15,Hawaii,4,Republicans
16,Idaho,20,Democrats
17,Illinois,11,Republicans
18,Indiana,6,Republicans
19,Iowa,6,Republicans
20,Kansas,8,Republicans
21,Kentucky,8,Republicans
22,Louisiana,3,Democrats
23,Maine,1,Republicans
24,Maryland,10,Democrats
25,Massachusetts,11,Democrats
26,Michigan,16,Republicans
27,Minnesota,6,Republicans
28,Mississippi,10,Democrats
29,Missouri,10,Republicans
30,Montana,3,Republicans
31,Nebraska,5,Republicans
32,Nevada,6,Democrats
33,New Hampshire,4,Democrats
34,New Jersey,14,Democrats
35,New Mexico,5,Democrats
36,New York,29,Democrats
37,North Carolina,15,Republicans
38,North Dakota,3,Republicans
39,Ohio,18,Republicans
40,Oklahoma,7,Republicans
41,Oregon,7,Democrats
42,Pennsylvania,20,Republicans
44,Rhode Island,4,Democrats
45,South Carolina,9,Republicans
46,South Dakota,3,Republicans
47,Tennessee,11,Republicans
48,Texas,38,Republicans
49,Utah,6,Republicans
50,Vermont,3,Democrats
51,Virginia,13,Democrats
53,Washington,12,Democrats
54,West Virginia,3,Democrats
55,Wisconsin,5,Republicans
56,Wyoming,10,Republicans
