group	name	2016	2017
Power	Original	5.09	2.79
Power	New	4.19	1.95
Renewable Energy	Original	0.576	0.727
Renewable Energy	New	0.631	0.583
Oil & Gas	Original	1.39	0.22
Oil & Gas	New	1.3	0.158
Aviation 	Original	6.12	6.64
Aviation 	New	5.32	5.37
Healthcare 	Original	3.16	3.45
Healthcare 	New	3.21	3.49
Transportation	Original	1.06	0.824
Transportation	New	0.966	0.641
Lighting 	Original	0.199	0.093
Lighting 	New	0.165	0.027
