name,Female,Male
0,66077.303,70643.922
1,65481.162,70025.485
2,64856.589,69374.906
3,64210.759,68699.728
4,63550.869,68007.462
5,62884.098,67305.66
6,62217.629,66601.791
7,61558.646,65903.437
8,60914.348,65218.092
9,60291.911,64553.283
10,59706.527,63922.876
11,59173.413,63340.665
12,58659.669,62782.643
13,58156.433,62243.718
14,57694.988,61750.367
15,57286.103,61302.615
16,56892.552,60862.689
17,56743.728,60664.676
18,56943.746,60813.057
19,57374.468,61185.703
20,57766.428,61510.709
21,58116.91,61788.03
22,58530.888,62100.836
23,59014.972,62445.296
24,59486.087,62748.399
25,59907.478,63000.422
26,60350.077,63274.827
27,60283.652,63015.463
28,59460.595,61967.125
29,58134.316,60399.252
30,56834.729,58864.025
31,55490.555,57283.996
32,54174.977,55774.345
33,52989.13,54458.919
34,51913.8,53300.95
35,50785.476,52088.727
36,49585.104,50803.182
37,48725.937,49897.212
38,48381.085,49555.673
39,48363.224,49570.014
40,48307.657,49546.631
41,48281.933,49563.939
42,48121.595,49394.897
43,47706.131,48886.487
44,47108.438,48140.24
45,46531.356,47419.72
46,45945.588,46682.997
47,45238.735,45832.506
48,44378.625,44849.402
49,43402.37,43761.273
50,42398.324,42635.198
51,41371.723,41482.575
52,40269.692,40244.665
53,39082.207,38907.075
54,37847.789,37513.875
55,36578.022,36087.137
56,35226.408,34578.622
57,34081.886,33283.257
58,33275.406,32336.118
59,32658.279,31586.332
60,31987.539,30785.974
61,31355.66,30030.095
62,30414.761,28967.456
63,28981.25,27412.789
64,27238.487,25552.781
65,25561.881,23762.87
66,23886.475,21972.116
67,22316.008,20316.42
68,20943.198,18902.622
69,19720.346,17665.215
70,18480.419,16413.676
71,17225.045,15164.243
72,16165.565,14063.144
73,15380.346,13157.049
74,14773.001,12384.538
75,14180.871,11646.704
76,13651.06,10974.604
77,12998.909,10233.687
78,12120.619,9350.507
79,11105.637,8389.714
80,10148.66,7490.774
81,9212.67,6627.512
82,8323.899,5821.487
83,7515.665,5098.016
84,6768.391,4442.624
85,6033.601,3815.297
86,5326.095,3223.689
87,4644.607,2685.929
88,3985.291,2206.923
89,3357.815,1782.949
90,2772.576,1396.826
91,2223.806,1053.781
92,1749.847,773.826
93,1369.641,566.373
94,1065.445,416.408
95,791.209,288.885
96,558.126,206.951
97,376.952,143.898
98,250.401,90.479
99,167.172,47.779
100,354.875,96.02
