date,UK MARKIT/CIPS PM
15/01/2000,52.20
15/02/2000,50.50
15/03/2000,51.30
15/04/2000,51.00
15/05/2000,51.40
15/06/2000,50.70
15/07/2000,51.20
15/08/2000,51.60
15/09/2000,51.20
15/10/2000,50.00
15/11/2000,51.50
15/12/2000,51.00
15/01/2001,52.30
15/02/2001,50.90
15/03/2001,49.40
15/04/2001,47.40
15/05/2001,46.40
15/06/2001,47.70
15/07/2001,47.10
15/08/2001,46.40
15/09/2001,46.40
15/10/2001,46.50
15/11/2001,45.60
15/12/2001,45.50
15/01/2002,47.50
15/02/2002,49.80
15/03/2002,51.20
15/04/2002,53.10
15/05/2002,52.80
15/06/2002,50.90
15/07/2002,49.10
15/08/2002,51.20
15/09/2002,49.80
15/10/2002,49.80
15/11/2002,49.30
15/12/2002,48.50
15/01/2003,48.60
15/02/2003,49.00
15/03/2003,46.90
15/04/2003,48.90
15/05/2003,48.90
15/06/2003,49.80
15/07/2003,51.30
15/08/2003,52.70
15/09/2003,53.30
15/10/2003,53.90
15/11/2003,54.10
15/12/2003,55.50
15/01/2004,56.30
15/02/2004,53.30
15/03/2004,54.00
15/04/2004,54.90
15/05/2004,55.60
15/06/2004,54.50
15/07/2004,56.10
15/08/2004,52.90
15/09/2004,51.70
15/10/2004,52.60
15/11/2004,55.20
15/12/2004,53.70
15/01/2005,52.10
15/02/2005,51.40
15/03/2005,52.20
15/04/2005,48.70
15/05/2005,46.50
15/06/2005,49.30
15/07/2005,49.30
15/08/2005,49.90
15/09/2005,51.00
15/10/2005,51.70
15/11/2005,52.10
15/12/2005,52.60
15/01/2006,53.10
15/02/2006,51.90
15/03/2006,51.10
15/04/2006,53.60
15/05/2006,52.20
15/06/2006,54.80
15/07/2006,52.70
15/08/2006,52.00
15/09/2006,54.20
15/10/2006,53.70
15/11/2006,54.00
15/12/2006,53.30
15/01/2007,54.30
15/02/2007,55.80
15/03/2007,54.70
15/04/2007,53.10
15/05/2007,53.50
15/06/2007,53.90
15/07/2007,54.80
15/08/2007,54.90
15/09/2007,54.90
15/10/2007,52.70
15/11/2007,56.30
15/12/2007,54.20
15/01/2008,51.20
15/02/2008,51.20
15/03/2008,51.20
15/04/2008,49.70
15/05/2008,48.20
15/06/2008,44.90
15/07/2008,43.20
15/08/2008,44.80
15/09/2008,41.10
15/10/2008,41.00
15/11/2008,35.90
15/12/2008,36.00
15/01/2009,35.90
15/02/2009,34.50
15/03/2009,39.50
15/04/2009,42.60
15/05/2009,45.10
15/06/2009,47.10
15/07/2009,50.40
15/08/2009,51.30
15/09/2009,50.50
15/10/2009,54.70
15/11/2009,53.20
15/12/2009,54.70
15/01/2010,54.60
15/02/2010,55.00
15/03/2010,56.70
15/04/2010,57.40
15/05/2010,58.30
15/06/2010,57.70
15/07/2010,57.10
15/08/2010,55.10
15/09/2010,53.60
15/10/2010,57.60
15/11/2010,58.70
15/12/2010,57.60
15/01/2011,58.60
15/02/2011,58.90
15/03/2011,55.80
15/04/2011,54.10
15/05/2011,52.80
15/06/2011,52.00
15/07/2011,50.20
15/08/2011,49.90
15/09/2011,50.70
15/10/2011,49.10
15/11/2011,47.30
15/12/2011,48.90
15/01/2012,50.70
15/02/2012,50.80
15/03/2012,52.30
15/04/2012,50.20
15/05/2012,46.60
15/06/2012,48.60
15/07/2012,45.50
15/08/2012,50.10
15/09/2012,48.40
15/10/2012,47.80
15/11/2012,48.00
15/12/2012,50.60
15/01/2013,50.80
15/02/2013,47.90
15/03/2013,49.60
15/04/2013,50.70
15/05/2013,52.00
15/06/2013,52.80
15/07/2013,54.70
15/08/2013,58.70
15/09/2013,57.10
15/10/2013,56.00
15/11/2013,57.60
15/12/2013,56.90
15/01/2014,56.10
15/02/2014,56.10
15/03/2014,54.90
15/04/2014,57.60
15/05/2014,56.70
15/06/2014,57.20
15/07/2014,55.20
15/08/2014,53.20
15/09/2014,51.90
15/10/2014,52.60
15/11/2014,53.10
15/12/2014,52.20
15/01/2015,52.30
15/02/2015,54.10
15/03/2015,53.90
15/04/2015,52.20
15/05/2015,52.10
15/06/2015,51.90
15/07/2015,52.50
15/08/2015,51.60
15/09/2015,51.90
15/10/2015,54.50
15/11/2015,52.30
15/12/2015,51.10
15/01/2016,52.20
15/02/2016,50.80
15/03/2016,51.30
15/04/2016,49.50
15/05/2016,50.50
15/06/2016,53.10
15/07/2016,48.50
15/08/2016,53.20
15/09/2016,55.90
15/10/2016,54.10
15/11/2016,53.10
15/12/2016,55.70
15/01/2017,55.30
15/02/2017,54.50
15/03/2017,54.20
15/04/2017,57.00
15/05/2017,56.40
15/06/2017,54.30
15/07/2017,55.40
15/08/2017,56.90
15/09/2017,56.30
15/10/2017,56.60
15/11/2017,58.20
