special.restrict,update..date,bank,projection.reportedDate..date,date,projection.spot,projection.high,projection.low
no,29/10/2018,JP Morgan,30/10/2018,31/12/2018,1.31,,
no,29/10/2018,JP Morgan,30/10/2018,30/03/2019,1.35,,
no,29/10/2018,Citi,19/10/2018,30/03/2019,1.33,,
no,29/10/2018,JP Morgan,30/10/2018,30/06/2019,1.36,,
no,29/10/2018,JP Morgan,30/10/2018,30/09/2019,1.38,,
no,29/10/2018,HSBC,29/10/2018,31/12/2019,1.3,,
no,29/10/2018,Citi,19/10/2018,31/12/2018,1.3,,
no,29/10/2018,Citi,19/10/2018,29/03/2019,1.33,,
no,29/10/2018,Citi,19/10/2018,31/12/2020,1.48,,
