date,Eastern Rail $ per tonne,Henry Hub ($ per mmBtu),highlight,annotate
01/01/10,51.15,5.572,,
08/01/10,54.25,5.749,,
15/01/10,53.81,5.691,,
22/01/10,53.82,5.819,,
29/01/10,53.81,5.131,,
05/02/10,56.32,5.515,,
12/02/10,55.81,5.468,,
19/02/10,55.67,5.044,,
26/02/10,57.8,4.813,,
05/03/10,55.6,4.593,,
12/03/10,55.8,4.4,,
19/03/10,56.05,4.169,,
26/03/10,56.65,3.872,,
02/04/10,56.47,4.086,,
09/04/10,56.84,4.07,,
16/04/10,57.63,4.039,,
23/04/10,58.65,4.257,,
30/04/10,67.58,3.92,,
07/05/10,66.06,4.015,,
14/05/10,65.5,4.312,,
21/05/10,65.27,4.035,,
28/05/10,64.01,4.341,,
04/06/10,64.31,4.797,,
11/06/10,64.65,4.781,,
18/06/10,64.96,4.997,,
25/06/10,65.06,4.861,,
02/07/10,65.71,4.687,,
09/07/10,65.77,4.402,,
16/07/10,65.71,4.519,,
23/07/10,65.98,4.58,,
30/07/10,71.69,4.923,,
06/08/10,73.06,4.467,,
13/08/10,72.45,4.328,,
20/08/10,72.16,4.117,,
27/08/10,67.45,3.651,begin,
03/09/10,67.24,3.939,,
10/09/10,66.29,3.883,,
17/09/10,67.28,4.024,,
24/09/10,67.36,3.881,,
01/10/10,67.7,3.797,,
08/10/10,68.48,3.651,,
15/10/10,68.48,3.535,,
22/10/10,68.21,3.332,,
29/10/10,66.6,4.038,,
05/11/10,66.91,3.937,,
12/11/10,67.28,3.799,,
19/11/10,67.26,4.164,,
26/11/10,68.28,4.399,,
03/12/10,69.75,4.349,,
10/12/10,69.12,4.417,,
17/12/10,68.73,4.066,,
24/12/10,68.75,4.083,,
31/12/10,74.76,4.405,,
07/01/11,73.73,4.422,,
14/01/11,73.24,4.48,,
21/01/11,72.91,4.736,,
28/01/11,73.62,4.323,,
04/02/11,74.62,4.31,,
11/02/11,73.36,3.91,,
18/02/11,72.69,3.876,,
25/02/11,72.73,4.005,,
04/03/11,70.44,3.809,,
11/03/11,70.3,3.889,,
18/03/11,70.48,4.168,,
25/03/11,70.57,4.403,,
01/04/11,71.61,4.362,,
08/04/11,69.92,4.041,,
15/04/11,69.61,4.204,,
22/04/11,69.48,4.412,,
29/04/11,68.07,4.698,,
06/05/11,67.32,4.235,,
13/05/11,67.8,4.246,,
20/05/11,68.11,4.23,,
27/05/11,71.13,4.518,,
03/06/11,71.49,4.707,,
10/06/11,73.92,4.757,,
17/06/11,74.39,4.325,,
24/06/11,74.73,4.229,,
01/07/11,78.6,4.311,,
08/07/11,78.09,4.205,,
15/07/11,78.21,4.546,,
22/07/11,78.31,4.399,,
29/07/11,76.47,4.145,,
05/08/11,76.29,3.941,,
12/08/11,77.49,4.06,,
19/08/11,77.79,3.94,,
26/08/11,77.08,3.931,,
02/09/11,77.06,3.872,,
09/09/11,76.47,3.915,,
16/09/11,76.88,3.809,,
23/09/11,77.14,3.701,,
30/09/11,78.92,3.666,,
07/10/11,78.82,3.481,,
14/10/11,78.87,3.703,,
21/10/11,78.57,3.629,,
28/10/11,77.4,3.923,end,
04/11/11,77.46,3.783,,
11/11/11,75.83,3.584,,
18/11/11,75.67,3.316,,
25/11/11,75.34,3.542,,
02/12/11,71,3.584,,
09/12/11,70.71,3.317,,
16/12/11,69.55,3.127,,
23/12/11,69.49,3.114,,
30/12/11,68.16,2.989,,
06/01/12,67.83,3.062,,
13/01/12,64.82,2.67,,
20/01/12,63.85,2.343,,
27/01/12,60.68,2.678,,
03/02/12,59.37,2.499,,
10/02/12,59.7,2.477,,
17/02/12,59.4,2.684,,
24/02/12,59.58,2.55,,
02/03/12,59.35,2.484,,
09/03/12,58.17,2.324,,
16/03/12,57.84,2.326,,
23/03/12,57.67,2.275,,
30/03/12,56.76,2.126,,
06/04/12,56.76,2.089,,
13/04/12,56.45,1.981,,
20/04/12,56.53,1.927,,
27/04/12,56.5,2.186,,
04/05/12,55.04,2.279,,
11/05/12,54.91,2.509,,
18/05/12,54,2.742,,
25/05/12,54.19,2.568,,
01/06/12,53.14,2.326,,
08/06/12,52.89,2.299,,
15/06/12,52.95,2.467,,
22/06/12,52.81,2.625,,
29/06/12,52.69,2.824,,
06/07/12,52.9,2.776,,
13/07/12,54.47,2.874,,
20/07/12,55.04,3.081,,
27/07/12,60.65,3.01,,
03/08/12,64.59,2.877,,
10/08/12,65.22,2.77,,
17/08/12,64.43,2.719,,
24/08/12,64.39,2.702,,
31/08/12,63.79,2.799,,
07/09/12,63.31,2.682,,
14/09/12,63.42,2.943,,
21/09/12,62.92,2.885,,
28/09/12,61.64,3.32,,
05/10/12,62.44,3.396,,
12/10/12,62.64,3.611,,
19/10/12,62.82,3.617,,
26/10/12,65.3,3.4,,
02/11/12,66.02,3.554,,
