date,Deficit,highlight,annotate
15/01/00,2.2,,
15/02/00,0.5,,
15/03/00,1.3,,
15/04/00,1,,
15/05/00,1.4,,
15/06/00,0.7,,
15/07/00,1.2,,
15/08/00,1.6,,
15/09/00,1.2,,
15/10/00,0,,
15/11/00,1.5,,
15/12/00,1,,
15/01/01,2.3,,
15/02/01,0.9,,
15/03/01,-0.6,,
15/04/01,-2.6,,
15/05/01,-3.6,,
15/06/01,-2.3,,
15/07/01,-2.9,,
15/08/01,-3.6,,
15/09/01,-3.6,,
15/10/01,-3.5,,
15/11/01,-4.4,,
15/12/01,-4.5,,
15/01/02,-2.5,,
15/02/02,-0.2,,
15/03/02,1.2,,
15/04/02,3.1,,
15/05/02,2.8,,
15/06/02,0.9,,
15/07/02,-0.9,,
15/08/02,1.2,,
15/09/02,-0.2,,
15/10/02,-0.2,,
15/11/02,-0.7,,
15/12/02,-1.5,,
15/01/03,-1.4,,
15/02/03,-1,,
15/03/03,-3.1,,
15/04/03,-1.1,,
15/05/03,-1.1,,
15/06/03,-0.2,,
15/07/03,1.3,,
15/08/03,2.7,,
15/09/03,3.3,,
15/10/03,3.9,,
15/11/03,4.1,,
15/12/03,5.5,,
15/01/04,6.3,,
15/02/04,3.3,,
15/03/04,4,,
15/04/04,4.9,,
15/05/04,5.6,,
15/06/04,4.5,,
15/07/04,6.1,,
15/08/04,2.9,,
15/09/04,1.7,,
15/10/04,2.6,,
15/11/04,5.2,,
15/12/04,3.7,,
15/01/05,2.1,,
15/02/05,1.4,,
15/03/05,2.2,,
15/04/05,-1.3,,
15/05/05,-3.5,,
15/06/05,-0.7,,
15/07/05,-0.7,,
15/08/05,-0.1,,
15/09/05,1,,
15/10/05,1.7,,
15/11/05,2.1,,
15/12/05,2.6,,
15/01/06,3.1,,
15/02/06,1.9,,
15/03/06,1.1,,
15/04/06,3.6,,
15/05/06,2.2,,
15/06/06,4.8,,
15/07/06,2.7,,
15/08/06,2,,
15/09/06,4.2,,
15/10/06,3.7,,
15/11/06,4,,
15/12/06,3.3,,
15/01/07,4.3,,
15/02/07,5.8,,
15/03/07,4.7,,
15/04/07,3.1,,
15/05/07,3.5,,
15/06/07,3.9,,
15/07/07,4.8,,
15/08/07,4.9,,
15/09/07,4.9,,
15/10/07,2.7,,
15/11/07,6.3,,
15/12/07,4.2,,
15/01/08,1.2,,
15/02/08,1.2,,
15/03/08,1.2,,
15/04/08,-0.3,begin,bad
15/05/08,-1.8,,
15/06/08,-5.1,,
15/07/08,-6.8,,
15/08/08,-5.2,,
15/09/08,-8.9,,
15/10/08,-9,,
15/11/08,-14.1,,
15/12/08,-14,,
15/01/09,-14.1,,
15/02/09,-15.5,,
15/03/09,-10.5,,
15/04/09,-7.4,,
15/05/09,-4.9,,
15/06/09,-2.9,end,
15/07/09,0.4,,
15/08/09,1.3,,
15/09/09,0.5,,
15/10/09,4.7,,
15/11/09,3.2,,
15/12/09,4.7,,
15/01/10,4.6,,
15/02/10,5,,
15/03/10,6.7,,
15/04/10,7.4,,
15/05/10,8.3,,
15/06/10,7.7,,
15/07/10,7.1,,
15/08/10,5.1,,
15/09/10,3.6,,
15/10/10,7.6,,
15/11/10,8.7,,
15/12/10,7.6,,
15/01/11,8.6,,
15/02/11,8.9,,
15/03/11,5.8,,
15/04/11,4.1,,
15/05/11,2.8,,
15/06/11,2,,
15/07/11,0.2,,
15/08/11,-0.1,,
15/09/11,0.7,,
15/10/11,-0.9,,
15/11/11,-2.7,,
15/12/11,-1.1,,
15/01/12,0.7,,
15/02/12,0.8,,
15/03/12,2.3,,
15/04/12,0.2,,
15/05/12,-3.4,,
15/06/12,-1.4,,
15/07/12,-4.5,,
15/08/12,0.1,,
15/09/12,-1.6,,
15/10/12,-2.2,,
15/11/12,-2,,
15/12/12,0.6,,
15/01/13,0.8,,
15/02/13,-2.1,,
15/03/13,-0.4,,
15/04/13,0.7,begin,good
15/05/13,2,,
15/06/13,2.8,,
15/07/13,4.7,,
15/08/13,8.7,,
15/09/13,7.1,,
15/10/13,6,,
15/11/13,7.6,,
15/12/13,6.9,,
15/01/14,6.1,,
15/02/14,6.1,,
15/03/14,4.9,,
15/04/14,7.6,,
15/05/14,6.7,,
15/06/14,7.2,,
15/07/14,5.2,,
15/08/14,3.2,,
15/09/14,1.9,,
15/10/14,2.6,,
15/11/14,3.1,,
15/12/14,2.2,,
15/01/15,2.3,,
15/02/15,4.1,,
15/03/15,3.9,,
15/04/15,2.2,,
15/05/15,2.1,,
15/06/15,1.9,,
15/07/15,2.5,,
15/08/15,1.6,,
15/09/15,1.9,,
15/10/15,4.5,,
15/11/15,2.3,,
15/12/15,1.1,,
15/01/16,2.2,,
15/02/16,0.8,,
15/03/16,1.3,,
15/04/16,-0.5,,
15/05/16,0.5,,
15/06/16,3.1,,
15/07/16,-1.5,,
15/08/16,3.2,,
15/09/16,5.9,,
15/10/16,4.1,,
15/11/16,3.1,,
15/12/16,5.7,,
15/01/17,5.3,,
15/02/17,4.5,,
15/03/17,4.2,,
15/04/17,7,,
15/05/17,6.4,,
15/06/17,4.3,,
15/07/17,5.4,,
15/08/17,6.9,,
15/09/17,6.3,,
15/10/17,6.6,,
15/11/17,8.2,end,
