date,Pearson,Sky,Bloomsbury,highlight,annotate
05/04/2007,850,562,203.5,,
12/04/2007,846,571.5,200,,
19/04/2007,856,572.5,204,,
26/04/2007,863.5,568.5,191.25,,
03/05/2007,875.5,628.5,183.5,,
10/05/2007,875.5,621.5,189,,
17/05/2007,901.5,641.5,183,,
24/05/2007,882,634.5,185,,
31/05/2007,898,660,186.25,,
07/06/2007,851.5,640,182.5,,
14/06/2007,863,646,191,,
21/06/2007,824.5,634.5,190,,
28/06/2007,835,631,194,,
05/07/2007,827.5,649,193.25,,
12/07/2007,825.5,709,185.25,,
19/07/2007,824.5,705.5,184,,
26/07/2007,769.5,675.5,176,,
02/08/2007,797,660,154,,
09/08/2007,774,694.5,168.25,,
16/08/2007,737,646.5,162,,
23/08/2007,747,658,164,,
30/08/2007,746.5,667,163,,
06/09/2007,744,674,159,,
13/09/2007,747.5,677.5,165,,
20/09/2007,759.5,679,158.5,,
27/09/2007,754.5,694,153,,
04/10/2007,751.5,693,144,,
11/10/2007,791,696,145.5,,
18/10/2007,766,676,155,,
25/10/2007,784,655.5,156.75,,
01/11/2007,790.5,690,168.25,,
08/11/2007,753.5,617.5,151.75,,
15/11/2007,738.5,626,136.5,,
22/11/2007,714,623,119,,
29/11/2007,749.5,634.5,130,,
06/12/2007,735,604.5,122.25,,
13/12/2007,704,599,129.5,,
20/12/2007,711.5,600,144.5,,
27/12/2007,742.5,618,153,,
03/01/2008,720,599.5,150,,
10/01/2008,672,549,152,,
17/01/2008,649,521,161,,
24/01/2008,669,551,161,,
31/01/2008,690.5,550,157.75,,
07/02/2008,641,558,153,,
14/02/2008,674,588,156,,
21/02/2008,681,595,156,,
28/02/2008,680,571,172,,
06/03/2008,688.5,551,162,,
13/03/2008,678,547,159.5,,
20/03/2008,682,537.5,146,,
27/03/2008,684,566,148,,
03/04/2008,698,569,160,,
10/04/2008,668.5,558,152,,
17/04/2008,652.5,544,133.5,,
24/04/2008,665.5,536.5,128,,
01/05/2008,660.5,548,140.5,,
08/05/2008,698.5,530,147,,
15/05/2008,688,516.5,147,,
22/05/2008,672,531.5,150,,
29/05/2008,666,539.5,135,,
05/06/2008,680,544,139.25,,
12/06/2008,648.5,508.5,125.5,,
19/06/2008,633.5,504.5,129,,
26/06/2008,610.5,470.75,141.5,,
03/07/2008,597.5,458,139.5,,
10/07/2008,611.5,443.25,150.75,,
17/07/2008,606,451.75,151,,
24/07/2008,595.5,466.5,144,,
31/07/2008,650.5,454.25,154,,
07/08/2008,649.5,462.75,162,,
14/08/2008,668.5,481.5,157,,
21/08/2008,643.5,441.75,164.5,,
28/08/2008,677.5,460.75,165.75,,
04/09/2008,675,460,167,,
11/09/2008,674.5,445.5,171.75,,
18/09/2008,594,419,161,,
25/09/2008,605,431.75,167.75,,
02/10/2008,624.5,429.5,155,,
09/10/2008,543.5,400,168.25,,
16/10/2008,533.5,361.5,163,,
23/10/2008,602.5,372.25,159,,
30/10/2008,595,378,151,,
06/11/2008,596.5,404.5,162,,
13/11/2008,582,394.75,160.5,,
20/11/2008,587,375,165,,
27/11/2008,602.5,414.25,157,,
04/12/2008,624.5,438.75,152,,
11/12/2008,632,471,137.5,,
18/12/2008,650.5,478.75,150.5,,
25/12/2008,643,468.25,153.5,,
01/01/2009,641,480,159.75,,
08/01/2009,612,475,153.75,,
15/01/2009,588.5,405.75,157.5,,
22/01/2009,643,424.25,147,,
29/01/2009,668.5,500,144,,
05/02/2009,672,486.5,141.5,,
12/02/2009,655.5,465.25,146,,
19/02/2009,641,458,135,,
26/02/2009,654.5,470.5,127,,
05/03/2009,654.5,448.5,140.5,,
12/03/2009,680.5,446.25,137,,
19/03/2009,693.5,458.5,134.5,,
26/03/2009,697,435.5,135,,
02/04/2009,732.5,432.25,119.5,,
09/04/2009,687.5,425.75,122.25,,
16/04/2009,670,440,127.5,,
23/04/2009,674,440.25,125,,
30/04/2009,706.5,486.75,125,,
07/05/2009,719,481.25,121,,
14/05/2009,693,468,120,,
21/05/2009,671,450.75,127.25,,
28/05/2009,666.5,452.5,120.5,,
04/06/2009,631.5,452.75,123.5,,
11/06/2009,617,449,122.5,,
18/06/2009,604,431,118,,
25/06/2009,614.5,451.75,123.5,,
02/07/2009,585.5,454.75,125,,
09/07/2009,586.5,477.75,128.5,,
16/07/2009,611.5,490.25,136.25,,
23/07/2009,623,517,142.5,,
30/07/2009,684.5,546,139,,
06/08/2009,704.5,534,136.5,,
13/08/2009,721,533.5,131,,
20/08/2009,722.5,542.5,130,,
27/08/2009,745,540.5,129.75,,
03/09/2009,735,535.5,135,,
10/09/2009,744,541,127,,
17/09/2009,754.5,541.5,125.25,,
24/09/2009,759,560,120.5,,
01/10/2009,767.5,573,123.5,,
08/10/2009,786,581,129.5,,
15/10/2009,808,571.5,131,,
22/10/2009,831,559.5,130,,
29/10/2009,841,539,128,,
05/11/2009,843,542.5,132,,
12/11/2009,845.5,539.5,126.25,,
19/11/2009,837,540,125,,
26/11/2009,825,532.5,127,,
03/12/2009,848,543.5,126.25,,
10/12/2009,862,564.5,127.5,,
17/12/2009,863.5,565,125,,
24/12/2009,878,561.5,129.5,,
31/12/2009,891,562,126.5,,
07/01/2010,869.5,568.5,126.5,,
14/01/2010,887.5,572.5,130,,
21/01/2010,891.5,560,130,,
28/01/2010,874.5,540,130,,
04/02/2010,870.5,532.5,128,,
11/02/2010,865,528,124,,
18/02/2010,875.5,534.5,125,,
25/02/2010,898.5,538,125.25,,
04/03/2010,974,558.5,122.5,,
11/03/2010,994,569.5,122.5,,
18/03/2010,1003,588,118,,
25/03/2010,1036,600,119,,
01/04/2010,1044,612.5,115,,
08/04/2010,997.5,602.5,115.5,,
15/04/2010,1010,623.5,112,,
22/04/2010,1019,628,110,,
29/04/2010,1050,625,111.5,,
06/05/2010,979,600,112.5,,
13/05/2010,1001,597,108.25,,
20/05/2010,943,560,106.5,,
27/05/2010,948,575.5,109.5,,
03/06/2010,958.5,580,108,,
10/06/2010,938,585.5,116.5,,
17/06/2010,956.5,699,113.5,,
24/06/2010,927,702,112,,
01/07/2010,864,695.5,115,,
08/07/2010,907,694.5,114,,
15/07/2010,936.5,699.5,116,,
22/07/2010,962,700,114,,
29/07/2010,1012,711,115.75,,
05/08/2010,1020,708.5,126.5,,
12/08/2010,983.5,706,118,,
19/08/2010,952,706,111.25,,
26/08/2010,948.5,706,112,,
02/09/2010,996.5,710.5,110,,
09/09/2010,1010,717,115,,
16/09/2010,1011,709.5,119.75,,
23/09/2010,994.5,708,115.5,,
30/09/2010,985.5,705.5,117.75,,
07/10/2010,991.5,707.5,124.5,,
14/10/2010,991,707,125,,
21/10/2010,986,697.5,125,,
28/10/2010,954.5,706,126,,
04/11/2010,973.5,711.5,124,,
11/11/2010,957,726.5,117,,
18/11/2010,937.5,726,113.25,,
25/11/2010,954.5,721,115,,
02/12/2010,982,729,119.25,,
09/12/2010,1014,736,117,,
16/12/2010,1024,731,122,,
23/12/2010,1027,742,122.5,,
30/12/2010,1015,736,122.25,,
06/01/2011,1013,746,123,,
13/01/2011,1010,740.5,120,,
20/01/2011,1039,746,116.75,,
27/01/2011,1049,762.5,117,,
03/02/2011,1040,767.5,114,,
10/02/2011,1060,759,114,,
17/02/2011,1048,749,115,,
24/02/2011,1013,755.5,112.5,,
03/03/2011,1054,823,124.25,,
10/03/2011,1105,827,120,,
17/03/2011,1054,821,118.75,,
24/03/2011,1077,828,127.13,,
31/03/2011,1101,825,130,,
07/04/2011,1098,833.5,131.5,,
14/04/2011,1106,834.5,132,,
21/04/2011,1131,835,131,,
28/04/2011,1151,842,135,,
05/05/2011,1125,839,135,,
12/05/2011,1160,840,135.5,,
19/05/2011,1158,842.5,132,,
26/05/2011,1121,838,132,,
02/06/2011,1135,828.5,128,,
09/06/2011,1161,835.5,130,,
16/06/2011,1146,826.5,129,,
23/06/2011,1133,835,128,,
30/06/2011,1176,846.5,129.75,,
07/07/2011,1202,812,133,,
14/07/2011,1156,696,114.37,,
21/07/2011,1155,741,114.25,,
28/07/2011,1139,716,113,,
04/08/2011,1119,659.5,102,,
11/08/2011,1077,654,104.5,,
18/08/2011,1038,634.5,102.75,,
25/08/2011,1063,622,100,,
01/09/2011,1122,673,100,,
08/09/2011,1097,669,100.5,,
15/09/2011,1110,699.5,101.25,,
22/09/2011,1116,668.5,99,,
29/09/2011,1144,682.5,98,,
06/10/2011,1156,689.5,97,,
13/10/2011,1162,679.5,98.25,,
20/10/2011,1135,725,97.75,,
27/10/2011,1185,729,99.75,,
03/11/2011,1148,733,95.13,,
10/11/2011,1119,738.5,96.25,,
17/11/2011,1102,721,97,,
24/11/2011,1069,715.5,95,,
01/12/2011,1135,766,94.75,,
08/12/2011,1133,734.5,97.25,,
15/12/2011,1134,725,98.38,,
22/12/2011,1191,712.5,99,,
29/12/2011,1222,734.5,98.38,,
05/01/2012,1212,721,95,,
12/01/2012,1222,697.5,92.5,,
19/01/2012,1230,666.5,103,,
26/01/2012,1177,671.5,109.5,,
02/02/2012,1196,686,112,,
09/02/2012,1202,701,114,,
16/02/2012,1221,689.5,124,,
23/02/2012,1233,687.5,121.75,,
01/03/2012,1211,674.5,121.25,,
08/03/2012,1209,694,117.25,,
15/03/2012,1210,693.5,115.25,,
22/03/2012,1205,693.5,113.75,,
29/03/2012,1170,667,109.5,,
05/04/2012,1135,635.5,109.5,,
12/04/2012,1134,662,109.87,,
19/04/2012,1113,665.5,109.87,,
26/04/2012,1150,667.5,106.75,,
03/05/2012,1166,704,108,,
10/05/2012,1163,692,109,,
17/05/2012,1143,689,105,,
24/05/2012,1137,699.5,115,,
31/05/2012,1137,688,114,,
07/06/2012,1148,681,112,,
14/06/2012,1184,671,113,,
21/06/2012,1210,678.5,113.25,,
28/06/2012,1243,680,115,,
05/07/2012,1250,687.5,115,,
12/07/2012,1249,688,115,,
19/07/2012,1290,693.5,128,,
26/07/2012,1294,706.5,135,,
02/08/2012,1223,723.5,129,,
09/08/2012,1235,752,135,,
16/08/2012,1212,766,140,,
23/08/2012,1212,760.5,145.25,,
30/08/2012,1201,760,136.25,,
06/09/2012,1202,769.5,130.25,,
13/09/2012,1179,744,134.5,,
20/09/2012,1182,734,133,,
27/09/2012,1217,751,134,,
04/10/2012,1252,761,134.5,,
11/10/2012,1248,751,131.25,,
18/10/2012,1215,733.5,140,,
25/10/2012,1212,720,131.75,,
01/11/2012,1252,759,126.75,,
08/11/2012,1230,749.5,123,,
15/11/2012,1189,746,120,,
22/11/2012,1175,766,120,,
29/11/2012,1175,771.5,120,,
06/12/2012,1190,766.5,118.75,,
13/12/2012,1184,761,119.88,,
20/12/2012,1200,780,119,,
27/12/2012,1196,780.5,117,,
03/01/2013,1211,780.5,118.25,,
10/01/2013,1193,773.5,118,,
17/01/2013,1232,790.5,121,,
24/01/2013,1187,794,122.75,,
31/01/2013,1194,817.5,115,,
07/02/2013,1203,818,112,,
14/02/2013,1207,831,110.13,,
21/02/2013,1222,824.5,108,,
28/02/2013,1155,850.5,104,,
07/03/2013,1165,866.5,108,,
14/03/2013,1204,881,106.75,,
21/03/2013,1172,886.5,113,,
28/03/2013,1184,883,115,,
04/04/2013,1142,878.5,116.25,,
11/04/2013,1155,864,115,,
18/04/2013,1119,836.5,113.38,,
25/04/2013,1149,850,114.5,,
02/05/2013,1169,851,115,,
09/05/2013,1186,809,117.5,,
16/05/2013,1204,795,118,,
23/05/2013,1217,791.5,121,,
30/05/2013,1238,782,130,,
06/06/2013,1177,764,126.25,,
13/06/2013,1179,792,121,,
20/06/2013,1162,775,125.75,,
27/06/2013,1154,790,127.75,,
04/07/2013,1206,812.5,127.5,,
11/07/2013,1242,826.5,133.5,,
18/07/2013,1264,845,137.5,,
25/07/2013,1252,850,134,,
01/08/2013,1344,833,139.5,,
08/08/2013,1324,841,140.63,,
15/08/2013,1313,830,140.5,,
22/08/2013,1325,827,141,,
29/08/2013,1280,847,137,,
05/09/2013,1285,851.5,142.75,,
12/09/2013,1275,857.5,144.25,,
19/09/2013,1286,861.5,146.5,,
26/09/2013,1253,877.5,147.25,,
03/10/2013,1226,881.5,154.5,,
