date,Pearson,Sky,Bloomsbury,highlight,annotate
10/10/2013,1297,869.5,165.75,,
17/10/2013,1317,940,168.5,,
24/10/2013,1355,950,171.75,,
31/10/2013,1304,937.5,172.5,,
07/11/2013,1293,934.5,174.75,,
14/11/2013,1325,818.5,174.75,,
21/11/2013,1342,834,168.5,,
28/11/2013,1352,819.5,170.88,,
05/12/2013,1287,789.5,171.75,,
12/12/2013,1271,788,174.75,,
19/12/2013,1300,793,177.75,,
26/12/2013,1326,833,176.25,,
02/01/2014,1340,843.5,175.25,,
09/01/2014,1305,824.5,168,,
16/01/2014,1291,845,167.25,,
23/01/2014,1191,854.5,168.5,,
30/01/2014,1115,878,173,,
06/02/2014,1086,893.5,170,,
13/02/2014,1115,891.5,177,,
20/02/2014,1110,917,178.75,,
27/02/2014,1076,939.5,174.38,,
06/03/2014,1033,932,175.25,,
13/03/2014,998.5,914.5,175.25,,
20/03/2014,999.5,942,176,,
27/03/2014,1026,930,174.75,,
03/04/2014,1008,892.5,174,,
10/04/2014,1041,887.5,169.25,,
17/04/2014,1062,890,167.12,,
24/04/2014,1050,893.5,169,,
01/05/2014,1102,900.5,158.25,,
08/05/2014,1118,889,150.25,,
15/05/2014,1150,850,167,,
22/05/2014,1144,872.5,163.5,,
29/05/2014,1164,885.5,167,,
05/06/2014,1148,872,167,,
12/06/2014,1129,876,166.5,,
19/06/2014,1123,871.5,188.5,,
26/06/2014,1144,889.5,178.75,,
03/07/2014,1143,903,177.75,,
10/07/2014,1092,869.5,165.75,,
17/07/2014,1109,897.5,173.5,,
24/07/2014,1101,925,175,,
31/07/2014,1141,879,176.25,,
07/08/2014,1119,850,171.75,,
14/08/2014,1120,854,171,,
21/08/2014,1125,861.5,177.13,,
28/08/2014,1111,871,179.38,,
04/09/2014,1109,885,173.5,,
11/09/2014,1154,868,170.5,,
18/09/2014,1218,884,164.25,,
25/09/2014,1230,872.5,166,,
02/10/2014,1204,875,165.25,,
09/10/2014,1173,892.5,165,,
16/10/2014,1132,850,159.25,,
23/10/2014,1169,859.5,154.25,,
30/10/2014,1160,882,157,,
06/11/2014,1186,885,162,,
13/11/2014,1201,850.5,161.25,,
20/11/2014,1220,897,163.88,,
27/11/2014,1224,922.5,162.75,,
04/12/2014,1212,926,161,,
11/12/2014,1170,918,160,,
18/12/2014,1190,900,161,,
25/12/2014,1179,899,162.5,,
01/01/2015,,899,162.13,begin,trading suspended
08/01/2015,,887,152.38,,
15/01/2015,,919.5,156.25,,
22/01/2015,,936.5,152,,
29/01/2015,,934,149,,
05/02/2015,,960,149.75,,
12/02/2015,,927.5,151.25,,
19/02/2015,,956,149.25,,
26/02/2015,,998.5,148.75,,
05/03/2015,,1003,153,,
12/03/2015,,991,145.25,,
19/03/2015,,1027,151.25,,
26/03/2015,,1006,153.75,,
02/04/2015,,997,150,,
09/04/2015,,1045,159.75,,
16/04/2015,,1047,160.25,,
23/04/2015,,1090,161.75,,
30/04/2015,,1077,167.5,,
07/05/2015,,1067,173.5,,
14/05/2015,,1077,178,,
21/05/2015,,1087,177.25,,
28/05/2015,,1068,184.5,,
04/06/2015,,1040,179,,
11/06/2015,,1039,177,,
18/06/2015,,1038,176.5,,
25/06/2015,,1069,168.25,,
02/07/2015,,1051,161.25,,
09/07/2015,,1044,158,,
16/07/2015,,1140,162,,
23/07/2015,,1136,163.25,,
30/07/2015,,1119,164.13,,
06/08/2015,,1100,164.5,,
13/08/2015,,1079,169.63,,
20/08/2015,,1064,173,,
27/08/2015,,1039,170.75,,
03/09/2015,,1030,169.25,,
10/09/2015,,1033,165.5,,
17/09/2015,,1014,168.75,,
24/09/2015,,1017,169.5,,
01/10/2015,,1041,169.25,,
08/10/2015,,1083,169.5,,
15/10/2015,,1074,169,,
22/10/2015,,1092,168,,
29/10/2015,,1104,167.25,,
05/11/2015,,1084,167.75,,
12/11/2015,,1078,163.5,,
19/11/2015,,1103,160.25,,
26/11/2015,,1118,159.5,,
03/12/2015,,1111,160,,
10/12/2015,,1076,158.38,,
17/12/2015,,1102,156.5,,
24/12/2015,,1099,154,,
31/12/2015,,1112,150.5,end,
07/01/2016,699,1084,151.75,,
14/01/2016,719.5,1057,147.25,,
21/01/2016,772,1012,147,,
28/01/2016,777,1041,145.5,,
04/02/2016,780.5,1066,148.75,,
11/02/2016,719.5,976,148.5,,
18/02/2016,796.5,1020,153.5,,
25/02/2016,801.5,1026,155.5,,
03/03/2016,857,1030,153,,
10/03/2016,850,984.5,147.25,,
17/03/2016,896.5,1013,150,,
24/03/2016,883,1016,147.25,,
31/03/2016,875,1024,147.25,,
07/04/2016,825,1019,147,,
14/04/2016,835.5,1008,148.13,,
21/04/2016,834.5,985,156,,
28/04/2016,814.5,944,155.25,,
05/05/2016,805,933.5,152,,
12/05/2016,806,926,150.88,,
19/05/2016,802.5,921,151,,
26/05/2016,825.5,971.5,163.5,,
02/06/2016,849.5,939,164,,
09/06/2016,818.5,955,161.38,,
16/06/2016,807.5,851.5,151.5,,
23/06/2016,888,893.5,161.5,,
30/06/2016,967,848,160.25,,
07/07/2016,948,848,160,,
14/07/2016,953.5,872,164.75,,
21/07/2016,963,867,167.5,,
28/07/2016,970,904,167.5,,
04/08/2016,893.5,909.5,168.75,,
11/08/2016,890,884.5,178.5,,
18/08/2016,863,855,175.5,,
25/08/2016,862,873,170,,
01/09/2016,858.5,852.5,163,,
08/09/2016,797,862,163.5,,
15/09/2016,780,833,159,,
22/09/2016,774,862,155.75,,
29/09/2016,749.5,910.5,156.25,,
06/10/2016,794,901,153,,
13/10/2016,814,848,150,,
20/10/2016,765.5,825,149,,
27/10/2016,743,820.5,149.75,,
03/11/2016,736,811,152,,
10/11/2016,749.5,790,153.5,,
17/11/2016,760.5,784.5,156.5,,
24/11/2016,783.5,757.5,157.25,,
01/12/2016,782.5,773.5,163.75,,
08/12/2016,780.5,789.5,160.75,,
15/12/2016,815,988,165.75,,
22/12/2016,819,988.5,167,,
29/12/2016,818.5,989,168.25,,
05/01/2017,812.5,990,169.25,,
12/01/2017,813,990.5,166,,
19/01/2017,588.5,999,163,,
26/01/2017,622,1004,169,,
02/02/2017,643,1005,169,,
09/02/2017,660,1000,170.63,,
16/02/2017,660,998,170,,
23/02/2017,646,1000,170.75,,
02/03/2017,687.5,998.5,172.5,,
09/03/2017,678,996.5,171.88,,
16/03/2017,659,991,172.5,,
23/03/2017,635,982.5,174,,
30/03/2017,668,977,177.75,,
06/04/2017,637,962,172.5,,
