category,name,Active,Active_rep,Passive,Passive_rep
Europe,2017,1935,14,186,1
Europe,18,2182,24,223,3
Europe,19,2391,88,276,5
Europe,20,2718,102,364,4
US,2017,182,0,69,0
US,18,196,0,85,0
US,19,217,0,95,0
US,20,251,0,111,0
Asia,2017,107,0,18,0
Asia,18,142,0,26,0
Asia,19,176,0,40,0
Asia,20,237,0,52,0
Global,2017,2224,14,273,1
Global,18,2520,24,334,3
Global,19,2784,88,411,5
Global,20,3206,102,527,4
