label,Laureate,Gems,Other,total
1991,0,0,3,3
1992,0,0,2,2
1993,0,0,1,1
1994,0,0,8,8
1995,0,0,7,7
1996,0,0,7,7
1997,0,0,3,3
1998,0,0,1,1
1999,0,0,10,10
2000,0,0,3,3
2001,0,0,3,3
2002,0,0,5,5
2003,0,0,5,5
2004,0,0,2,2
2005,0,0,1,1
2006,0,0,2,2
2007,0,0,2,2
2008,0,0,2,2
2009,0,0,7,7
2010,0,0,19,19
2011,0,0,2,2
2012,0,0,4,4
2013,0,0,8,8
2014,0,0,4,4
2015,0,0,3,3
2016,0,0,8,8
2017,0,0,7,7
2018,0,0,6,6
