label,Laureate,Gems,Other,total
1991,0,0,37,37
1992,0,0,36,36
1993,0,0,52,52
1994,0,0,37,37
1995,0,0,26,26
1996,0,0,15,15
1997,0,0,22,22
1998,0,0,27,27
1999,0,0,33,33
2000,0,0,20,20
2001,0,0,28,28
2002,0,0,23,23
2003,0,0,19,19
2004,0,0,10,10
2005,0,0,11,11
2006,0,0,10,10
2007,0,0,9,9
2008,0,0,26,26
2009,0,0,91,91
2010,0,0,20,20
2011,0,0,19,19
2012,0,0,35,35
2013,0,0,27,27
2014,0,0,19,19
2015,0,0,23,23
2016,0,0,25,25
2017,0,0,13,13
2018,0,0,,
