name,Africa,Australia,China,France,Germany,Italy,Poland,Spain,UK,US
Africa,1.12,0.13,2.48,0.64,0.51,0.001,0.001,0.64,0,5.14
Australia,0,0.19,0,0,0,0.001,0.001,0.001,0.001,0
China,0,1.97,10.95,0,,0.001,0.001,0.001,0.001,0
France,0,0.07,3.49,5.91,0,0.001,0.001,0.001,0.001,0
Germany,0,0.07,3.01,0.73,2.05,0.001,0.001,0.001,0.001,0
Italy,0.84,0.24,5.4,1.22,0.36,1.81,0,4.28,0,3.79
Poland,1.1,0.65,9.94,1.14,4.72,2.35,16.17,4.71,,11.21
Spain,0,1.21,8.99,0.96,1.01,0,0,1.07,0,0
UK,1.6,1.35,10.19,1.07,1.28,4.95,4.12,5.36,5.89,5.34
US,0,0.78,9.55,20.22,2.82,0,0,3.21,0,42.94
