id,name,winner_par,geometry,cent,x,y,swing1
E14000814,Mid Derbyshire,Conservative,"list(c(0.223855768234712, 0.234275094915984, 0.234275094915984, 0.223855768234712, 0.223855768234712, 0.231264101380925, 0.231264101380925, 0.220846115255174, 0.220846115255174, 0.231264101380925))","c(0.229065431575348, 0.22605510831805)",229,226,
E14000972,Stoke-on-Trent Central,Labour,"list(c(0.213411605998512, 0.213411605998512, 0.223830262402023, 0.223830262402023, 0.213411605998512, 0.220846115255174, 0.231264101380925, 0.231264101380925, 0.220846115255174, 0.220846115255174))","c(0.218620934200267, 0.22605510831805)",218,226,
S14000004,Angus,SNP,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.491713661113078, 0.502131965002009, 0.502131965002009, 0.491713661113078, 0.491713661113078))","c(0.208230535296043, 0.496922813057543)",208,496,
N06000005,East Antrim,DUP,"list(c(0.104018291667083, 0.104018291667083, 0.114435569609572, 0.114435569609572, 0.104018291667083, 0.293771912302094, 0.304188840094538, 0.304188840094538, 0.293771912302094, 0.293771912302094))","c(0.109226930638327, 0.298980376198316)",109,298,
N06000012,North Antrim,DUP,"list(c(0.0936016787469082, 0.0936016787469082, 0.104018291667083, 0.104018291667083, 0.0936016787469082, 0.293771912302094, 0.304188840094538, 0.304188840094538, 0.293771912302094, 0.293771912302094))","c(0.0988099852069954, 0.298980376198316)",98,298,
N06000014,South Antrim,uup,"list(c(0.0831825305558882, 0.0831825305558882, 0.0936016787469082, 0.0936016787469082, 0.0831825305558882, 0.283353933334467, 0.293771912302094, 0.293771912302094, 0.283353933334467, 0.283353933334467))","c(0.0883921046513982, 0.288562922818281)",88,288,
S14000005,Argyll and Bute,SNP,"list(c(0.17176675482816, 0.17176675482816, 0.182183894287265, 0.182183894287265, 0.17176675482816, 0.502131965002009, 0.512550621668717, 0.512550621668717, 0.502131965002009, 0.502131965002009))","c(0.176975324557713, 0.507341293335363)",176,507,
E14000534,Arundel and South Downs,Conservative,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.0645755472578316, 0.074992827828044, 0.074992827828044, 0.0645755472578316, 0.0645755472578316))","c(0.19781325472583, 0.0697841875429378)",197,69,
E14000536,Ashford,Conservative,"list(c(0.317619548366415, 0.317619548366415, 0.328038204769925, 0.328038204769925, 0.317619548366415, 0.0333209547223557, 0.0437399630618772, 0.0437399630618772, 0.0333209547223557, 0.0333209547223557))","c(0.32282887656817, 0.0385304588921165)",322,38,
E14000538,Aylesbury,Conservative,"list(c(0.17176675482816, 0.17176675482816, 0.182183894287265, 0.182183894287265, 0.17176675482816, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.176975324557713, 0.121874737006405)",176,121,
E14000539,Banbury,Conservative,"list(c(0.161350179813486, 0.161350179813486, 0.17176675482816, 0.17176675482816, 0.161350179813486, 0.12708304067901, 0.137501344304752, 0.137501344304752, 0.12708304067901, 0.12708304067901))","c(0.166558467320823, 0.132292192491881)",166,132,
S14000007,Banff and Buchan,SNP,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.512550621668717, 0.522968431668759, 0.522968431668759, 0.512550621668717, 0.512550621668717))","c(0.208230535296043, 0.517759526668738)",208,517,
E14000543,Barrow and Furness,Labour,"list(c(0.182183894287265, 0.182183894287265, 0.192603926524075, 0.192603926524075, 0.182183894287265, 0.345861922223606, 0.356280755279203, 0.356280755279203, 0.345861922223606, 0.345861922223606))","c(0.18739391040567, 0.351071338751404)",187,351,
E14000544,Basildon and Billericay,Conservative,"list(c(0.317619548366415, 0.317619548366415, 0.328038204769925, 0.328038204769925, 0.317619548366415, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.32282887656817, 0.142710160978742)",322,142,
E14000545,Basingstoke,Conservative,"list(c(0.161350179813486, 0.161350179813486, 0.17176675482816, 0.17176675482816, 0.161350179813486, 0.0854118370093238, 0.0958308461906036, 0.0958308461906036, 0.0854118370093238, 0.0854118370093238))","c(0.166558467320823, 0.0906213415999637)",166,90,
E14000546,Bassetlaw,Labour,"list(c(0.244693081041734, 0.244693081041734, 0.255110361611946, 0.255110361611946, 0.244693081041734, 0.252101061410178, 0.26251731892486, 0.26251731892486, 0.252101061410178, 0.252101061410178))","c(0.24990172132684, 0.257309190167519)",249,257,
E14000547,Bath,Conservative,"list(c(0.0987991183378528, 0.0987991183378528, 0.109218656685786, 0.109218656685786, 0.0987991183378528, 0.074992827828044, 0.0854118370093238, 0.0854118370093238, 0.074992827828044, 0.074992827828044))","c(0.104008887511819, 0.0802023324186839)",104,80,
E14000550,Beaconsfield,Conservative,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.19781325472583, 0.121874737006405)",197,121,
E14000552,Bedford,Conservative,"list(c(0.213438487664499, 0.213438487664499, 0.223855768234712, 0.223855768234712, 0.213438487664499, 0.12708304067901, 0.137501344304752, 0.137501344304752, 0.12708304067901, 0.12708304067901))","c(0.218647127949606, 0.132292192491881)",218,132,
E14000813,Mid Bedfordshire,Conservative,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.12708304067901, 0.137501344304752, 0.137501344304752, 0.12708304067901, 0.12708304067901))","c(0.208230535296043, 0.132292192491881)",208,132,
E14000841,North East Bedfordshire,Conservative,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.147913439041762, 0.158332095445273, 0.158332095445273, 0.147913439041762, 0.147913439041762))","c(0.208230535296043, 0.153122767243517)",208,153,
E14000949,South West Bedfordshire,Conservative,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.19781325472583, 0.142710160978742)",197,142,
N06000001,Belfast East,DUP,"list(c(0.104018291667083, 0.104018291667083, 0.114435569609572, 0.114435569609572, 0.104018291667083, 0.272935622550602, 0.283353933334467, 0.283353933334467, 0.272935622550602, 0.272935622550602))","c(0.109226930638327, 0.278144777942535)",109,278,
N06000002,Belfast North,DUP,"list(c(0.0831825305558882, 0.0831825305558882, 0.0936016787469082, 0.0936016787469082, 0.0831825305558882, 0.272935622550602, 0.283353933334467, 0.283353933334467, 0.272935622550602, 0.272935622550602))","c(0.0883921046513982, 0.278144777942535)",88,278,
N06000003,Belfast South,SDLP,"list(c(0.104018291667083, 0.104018291667083, 0.114435569609572, 0.114435569609572, 0.104018291667083, 0.283353933334467, 0.293771912302094, 0.293771912302094, 0.283353933334467, 0.283353933334467))","c(0.109226930638327, 0.288562922818281)",109,288,
N06000004,Belfast West,Sinn Féin,"list(c(0.0936016787469082, 0.0936016787469082, 0.104018291667083, 0.104018291667083, 0.0936016787469082, 0.272935622550602, 0.283353933334467, 0.283353933334467, 0.272935622550602, 0.272935622550602))","c(0.0988099852069954, 0.278144777942535)",98,278,
E14000554,Berwick-upon-Tweed,Conservative,"list(c(0.223855768234712, 0.223855768234712, 0.234275094915984, 0.234275094915984, 0.223855768234712, 0.41878719194612, 0.429206342501717, 0.429206342501717, 0.41878719194612, 0.41878719194612))","c(0.229065431575348, 0.423996767223918)",229,423,
E14000556,Beverley and Holderness,Conservative,"list(c(0.244693751319495, 0.244693751319495, 0.255113113278543, 0.255113113278543, 0.244693751319495, 0.272935622550602, 0.283353933334467, 0.283353933334467, 0.272935622550602, 0.272935622550602))","c(0.249903432299019, 0.278144777942535)",249,278,
E14000557,Bexhill and Battle,Conservative,"list(c(0.28636495498918, 0.28636495498918, 0.296782905837153, 0.296782905837153, 0.28636495498918, 0.0333209547223557, 0.0437399630618772, 0.0437399630618772, 0.0333209547223557, 0.0333209547223557))","c(0.291573930413167, 0.0385304588921165)",291,38,
E14000933,South Basildon and East Thurrock,Conservative,"list(c(0.307202267796202, 0.307202267796202, 0.317619548366415, 0.317619548366415, 0.307202267796202, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.312410908081308, 0.142710160978742)",312,142,
E14000569,Bishop Auckland,Labour,"list(c(0.182183894287265, 0.182183894287265, 0.192603926524075, 0.192603926524075, 0.182183894287265, 0.356280755279203, 0.366699411945911, 0.366699411945911, 0.356280755279203, 0.356280755279203))","c(0.18739391040567, 0.361490083612557)",187,361,
E14000769,Kettering,Conservative,"list(c(0.265529018015457, 0.265529018015457, 0.275948344696729, 0.275948344696729, 0.265529018015457, 0.168755937681986, 0.179172865474429, 0.179172865474429, 0.168755937681986, 0.168755937681986))","c(0.270738681356093, 0.173964401578208)",270,173,
E14000570,Blackburn,Labour,"list(c(0.150931876187744, 0.150931876187744, 0.161350179813486, 0.161350179813486, 0.150931876187744, 0.325026329290444, 0.335443927360649, 0.335443927360649, 0.325026329290444, 0.325026329290444))","c(0.156141028000615, 0.330235128325546)",156,330,
E14000572,Blackpool North and Cleveleys,Conservative,"list(c(0.150931876187744, 0.150931876187744, 0.140512867006464, 0.140512867006464, 0.150931876187744, 0.345861922223606, 0.335443927360649, 0.335443927360649, 0.345861922223606, 0.345861922223606))","c(0.145722371597104, 0.340652924792127)",145,340,
E14000573,Blackpool South,Labour,"list(c(0.150931876187744, 0.150931876187744, 0.161350179813486, 0.161350179813486, 0.150931876187744, 0.335443927360649, 0.345861922223606, 0.345861922223606, 0.335443927360649, 0.335443927360649))","c(0.156141028000615, 0.340652924792127)",156,340,
W07000072,Blaenau Gwent,Labour,"list(c(0.0988402875034796, 0.0988402875034796, 0.109257920851461, 0.109257920851461, 0.0988402875034796, 0.147913439041762, 0.158332095445273, 0.158332095445273, 0.147913439041762, 0.147913439041762))","c(0.10404910417747, 0.153122767243517)",104,153,
E14000622,Castle Point,Conservative,"list(c(0.317619548366415, 0.317619548366415, 0.328038204769925, 0.328038204769925, 0.317619548366415, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.32282887656817, 0.121874737006405)",322,121,
W07000066,Carmarthen West and South Pembrokeshire,Conservative,"list(c(0.0675856941262454, 0.0675856941262454, 0.0571687663338019, 0.0571687663338019, 0.0675856941262454, 0.158332095445273, 0.147913439041762, 0.147913439041762, 0.158332095445273, 0.158332095445273))","c(0.0623772302300237, 0.153122767243517)",62,153,
W07000067,Carmarthen East and Dinefwr,Plaid Cymru,"list(c(0.0988130883375, 0.0988130883375, 0.109231921129895, 0.109231921129895, 0.0988130883375, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.104022504733698, 0.163581922534894)",104,163,
W07000079,Cardiff West,Labour,"list(c(0.0780045269186408, 0.0780045269186408, 0.0884230069332673, 0.0884230069332673, 0.0780045269186408, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.083213766925954, 0.121874737006405)",83,121,
W07000080,Cardiff South and Penarth,Labour,"list(c(0.0884230069332673, 0.0884230069332673, 0.0988402875034796, 0.0988402875034796, 0.0884230069332673, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.0936316472183735, 0.121874737006405)",93,121,
W07000051,Cardiff North,Conservative,"list(c(0.0780045269186408, 0.0780045269186408, 0.0884230069332673, 0.0884230069332673, 0.0780045269186408, 0.12708304067901, 0.137501344304752, 0.137501344304752, 0.12708304067901, 0.12708304067901))","c(0.083213766925954, 0.132292192491881)",83,132,
W07000050,Cardiff Central,Labour,"list(c(0.0884230069332673, 0.0884230069332673, 0.0988402875034796, 0.0988402875034796, 0.0884230069332673, 0.12708304067901, 0.137501344304752, 0.137501344304752, 0.12708304067901, 0.12708304067901))","c(0.0936316472183735, 0.132292192491881)",93,132,
E14000619,Canterbury,Conservative,"list(c(0.338454109506839, 0.338454109506839, 0.348873436188111, 0.348873436188111, 0.338454109506839, 0.074992827828044, 0.0854118370093238, 0.0854118370093238, 0.074992827828044, 0.074992827828044))","c(0.343663772847475, 0.0802023324186839)",343,80,
E14000618,Cannock Chase,Conservative,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.210375424130756, 0.220792034423207, 0.220792034423207, 0.210375424130756, 0.210375424130756))","c(0.208230535296043, 0.215583729276981)",208,215,
E14000660,Daventry,Conservative,"list(c(0.223830262402023, 0.223830262402023, 0.234249589083295, 0.234249589083295, 0.223830262402023, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.229039925742659, 0.163581922534894)",229,163,
E14000937,South East Cambridgeshire,Conservative,"list(c(0.234275094915984, 0.234275094915984, 0.244693081041734, 0.244693081041734, 0.234275094915984, 0.147913439041762, 0.158332095445273, 0.158332095445273, 0.147913439041762, 0.147913439041762))","c(0.239484087978859, 0.153122767243517)",239,153,
E14000934,South Cambridgeshire,Conservative,"list(c(0.213438487664499, 0.213438487664499, 0.223855768234712, 0.223855768234712, 0.213438487664499, 0.147913439041762, 0.158332095445273, 0.158332095445273, 0.147913439041762, 0.147913439041762))","c(0.218647127949606, 0.153122767243517)",218,153,
E14000855,North West Cambridgeshire,Conservative,"list(c(0.244675159931075, 0.244675159931075, 0.255092440501288, 0.255092440501288, 0.244675159931075, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.249883800216181, 0.163581922534894)",249,163,
E14000842,North East Cambridgeshire,Conservative,"list(c(0.255092440501288, 0.255092440501288, 0.265511096904799, 0.265511096904799, 0.255092440501288, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.260301768703043, 0.163581922534894)",260,163,
E14000617,Cambridge,Labour,"list(c(0.223855768234712, 0.223855768234712, 0.234275094915984, 0.234275094915984, 0.223855768234712, 0.147913439041762, 0.158332095445273, 0.158332095445273, 0.147913439041762, 0.147913439041762))","c(0.229065431575348, 0.153122767243517)",229,153,
S14000009,"Caithness, Sutherland and Easter Ross",SNP,"list(c(0.182183894287265, 0.182183894287265, 0.192603926524075, 0.192603926524075, 0.182183894287265, 0.512550621668717, 0.522968431668759, 0.522968431668759, 0.512550621668717, 0.512550621668717))","c(0.18739391040567, 0.517759526668738)",187,517,
W07000076,Caerphilly,Labour,"list(c(0.0884230069332673, 0.0884230069332673, 0.0988402875034796, 0.0988402875034796, 0.0884230069332673, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.0936316472183735, 0.142710160978742)",93,142,
W07000057,Arfon,Plaid Cymru,"list(c(0.0988402875034796, 0.0988402875034796, 0.0884230069332673, 0.0884230069332673, 0.0988402875034796, 0.189590851600179, 0.179172865474429, 0.179172865474429, 0.189590851600179, 0.189590851600179))","c(0.0936316472183735, 0.184381858537304)",93,184,
E14000613,Bury St Edmunds,Conservative,"list(c(0.265511096904799, 0.265511096904799, 0.275929753308309, 0.275929753308309, 0.265511096904799, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.270720425106554, 0.163581922534894)",270,163,
E14000610,Burton,Conservative,"list(c(0.213438487664499, 0.213438487664499, 0.223855768234712, 0.223855768234712, 0.213438487664499, 0.200010183334134, 0.210429187462731, 0.210429187462731, 0.200010183334134, 0.200010183334134))","c(0.218647127949606, 0.205219685398432)",218,205,
E14000609,Burnley,Labour,"list(c(0.17176675482816, 0.17176675482816, 0.182183894287265, 0.182183894287265, 0.17176675482816, 0.325026329290444, 0.335443927360649, 0.335443927360649, 0.325026329290444, 0.325026329290444))","c(0.176975324557713, 0.330235128325546)",176,330,
E14000608,Buckingham,Conservative,"list(c(0.17176675482816, 0.17176675482816, 0.182183894287265, 0.182183894287265, 0.17176675482816, 0.12708304067901, 0.137501344304752, 0.137501344304752, 0.12708304067901, 0.12708304067901))","c(0.176975324557713, 0.132292192491881)",176,132,
E14000533,Amber Valley,Conservative,"list(c(0.234275094915984, 0.234275094915984, 0.244693081041734, 0.244693081041734, 0.234275094915984, 0.220846115255174, 0.231264101380925, 0.231264101380925, 0.220846115255174, 0.220846115255174))","c(0.239484087978859, 0.22605510831805)",239,226,
E14000606,Broxbourne,Conservative,"list(c(0.234275094915984, 0.234275094915984, 0.244693081041734, 0.244693081041734, 0.234275094915984, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.239484087978859, 0.142710160978742)",239,142,
E14000818,Mid Worcestershire,Conservative,"list(c(0.140512867006464, 0.140512867006464, 0.150931876187744, 0.150931876187744, 0.140512867006464, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.145722371597104, 0.142710160978742)",145,142,
E14000602,Bristol West,Labour,"list(c(0.0988402875034796, 0.0988402875034796, 0.109257920851461, 0.109257920851461, 0.0988402875034796, 0.0854118370093238, 0.0958308461906036, 0.0958308461906036, 0.0854118370093238, 0.0854118370093238))","c(0.10404910417747, 0.0906213415999637)",104,90,
E14000601,Bristol South,Labour,"list(c(0.0779652627529658, 0.0779652627529658, 0.0883818730454174, 0.0883818730454174, 0.0779652627529658, 0.074992827828044, 0.0854118370093238, 0.0854118370093238, 0.074992827828044, 0.074992827828044))","c(0.0831735678991916, 0.0802023324186839)",83,80,
E14000600,Bristol North West,Conservative,"list(c(0.0988402875034796, 0.0988402875034796, 0.0884230069332673, 0.0884230069332673, 0.0988402875034796, 0.0958308461906036, 0.0854118370093238, 0.0854118370093238, 0.0958308461906036, 0.0958308461906036))","c(0.0936316472183735, 0.0906213415999637)",93,90,
E14000598,"Brighton, Pavilion",Green,"list(c(0.234275094915984, 0.234275094915984, 0.244693081041734, 0.244693081041734, 0.234275094915984, 0.0437399630618772, 0.0541593250209259, 0.0541593250209259, 0.0437399630618772, 0.0437399630618772))","c(0.239484087978859, 0.0489496440414015)",239,48,
E14000597,"Brighton, Kemptown",Conservative,"list(c(0.244693081041734, 0.244693081041734, 0.255110361611946, 0.255110361611946, 0.244693081041734, 0.0437399630618772, 0.0541593250209259, 0.0541593250209259, 0.0437399630618772, 0.0437399630618772))","c(0.24990172132684, 0.0489496440414015)",249,48,
E14000596,Brigg and Goole,Conservative,"list(c(0.265529018015457, 0.265529018015457, 0.275948344696729, 0.275948344696729, 0.265529018015457, 0.2416820583343, 0.252101061410178, 0.252101061410178, 0.2416820583343, 0.2416820583343))","c(0.270738681356093, 0.246891559872239)",270,246,
E14000595,Bridgwater and West Somerset,Conservative,"list(c(0.0675856941262454, 0.0675856941262454, 0.0780045269186408, 0.0780045269186408, 0.0675856941262454, 0.0645755472578316, 0.074992827828044, 0.074992827828044, 0.0645755472578316, 0.0645755472578316))","c(0.0727951105224431, 0.0697841875429378)",72,69,
W07000073,Bridgend,Labour,"list(c(0.0571687663338019, 0.0675856941262454, 0.0675856941262454, 0.0571687663338019, 0.0571687663338019, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338, 0.12708304067901))","c(0.0623772302300237, 0.121874737006405)",62,121,
E14000594,Brentwood and Ongar,Conservative,"list(c(0.296782905837153, 0.296782905837153, 0.307202267796202, 0.307202267796202, 0.296782905837153, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.301992586816678, 0.142710160978742)",301,142,
W07000068,Brecon and Radnorshire,Conservative,"list(c(0.109231921129895, 0.109231921129895, 0.119649875000479, 0.119649875000479, 0.109231921129895, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.114440898065187, 0.163581922534894)",114,163,
E14000590,Braintree,Conservative,"list(c(0.286347033878522, 0.286347033878522, 0.296764984726495, 0.296764984726495, 0.286347033878522, 0.158372770722023, 0.168791074347765, 0.168791074347765, 0.158372770722023, 0.158372770722023))","c(0.291556009302508, 0.163581922534894)",291,163,
E14000586,Bracknell,Conservative,"list(c(0.182183894287265, 0.182183894287265, 0.192603926524075, 0.192603926524075, 0.182183894287265, 0.0958308461906036, 0.106248126760816, 0.106248126760816, 0.0958308461906036, 0.0958308461906036))","c(0.18739391040567, 0.10103948647571)",187,101,
E14000585,Bournemouth West,Conservative,"list(c(0.119676400866087, 0.119676400866087, 0.130094566667187, 0.130094566667187, 0.119676400866087, 0.0541593250209259, 0.0645755472578316, 0.0645755472578316, 0.0541593250209259, 0.0541593250209259))","c(0.124885483766637, 0.0593674361393788)",124,59,
E14000584,Bournemouth East,Conservative,"list(c(0.130094566667187, 0.130094566667187, 0.140512867006464, 0.140512867006464, 0.130094566667187, 0.0541593250209259, 0.0645755472578316, 0.0645755472578316, 0.0541593250209259, 0.0541593250209259))","c(0.135303716836825, 0.0593674361393788)",135,59,
E14000583,Bosworth,Conservative,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.168755937681986, 0.179172865474429, 0.179172865474429, 0.168755937681986, 0.168755937681986))","c(0.208230535296043, 0.173964401578208)",208,173,
E14000582,Boston and Skegness,Conservative,"list(c(0.255110361611946, 0.255110361611946, 0.265529018015457, 0.265529018015457, 0.255110361611946, 0.200010183334134, 0.210429187462731, 0.210429187462731, 0.200010183334134, 0.200010183334134))","c(0.260319689813702, 0.205219685398432)",260,205,
E14000577,Bolsover,Labour,"list(c(0.213438487664499, 0.213438487664499, 0.223855768234712, 0.223855768234712, 0.213438487664499, 0.231264101380925, 0.2416820583343, 0.2416820583343, 0.231264101380925, 0.231264101380925))","c(0.218647127949606, 0.236473079857612)",218,236,
E14000576,Bognor Regis and Littlehampton,Conservative,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.0541593250209259, 0.0645755472578316, 0.0645755472578316, 0.0541593250209259, 0.0541593250209259))","c(0.19781325472583, 0.0593674361393788)",197,59,
E14000575,Blyth Valley,Labour,"list(c(0.223855768234712, 0.223855768234712, 0.234275094915984, 0.234275094915984, 0.223855768234712, 0.408370581390522, 0.41878719194612, 0.41878719194612, 0.408370581390522, 0.408370581390522))","c(0.229065431575348, 0.413578886668321)",229,413,
E14000574,Blaydon,Labour,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.377116516390398, 0.387533797223772, 0.387533797223772, 0.377116516390398, 0.377116516390398))","c(0.19781325472583, 0.382325156807085)",197,382,
W07000064,Ceredigion,Liberal Democrats,"list(c(0.0988130883375, 0.0988130883375, 0.0883958077672876, 0.0883958077672876, 0.0988130883375, 0.168791074347765, 0.158372770722023, 0.158372770722023, 0.168791074347765, 0.168791074347765))","c(0.0936044480523938, 0.163581922534894)",93,163,
E14000625,Charnwood,Conservative,"list(c(0.234275094915984, 0.234275094915984, 0.244693081041734, 0.244693081041734, 0.234275094915984, 0.179172865474429, 0.189590851600179, 0.189590851600179, 0.179172865474429, 0.179172865474429))","c(0.239484087978859, 0.184381858537304)",239,184,
E14000626,Chatham and Aylesford,Conservative,"list(c(0.317619548366415, 0.317619548366415, 0.328038204769925, 0.328038204769925, 0.317619548366415, 0.0541593250209259, 0.0645755472578316, 0.0645755472578316, 0.0541593250209259, 0.0541593250209259))","c(0.32282887656817, 0.0593674361393788)",322,59,
E14000628,Chelmsford,Conservative,"list(c(0.275948344696729, 0.275948344696729, 0.28636495498918, 0.28636495498918, 0.275948344696729, 0.147913439041762, 0.158332095445273, 0.158332095445273, 0.147913439041762, 0.147913439041762))","c(0.281156649842955, 0.153122767243517)",281,153,
E14000630,Cheltenham,Conservative,"list(c(0.150931876187744, 0.150931876187744, 0.161350179813486, 0.161350179813486, 0.150931876187744, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.156141028000615, 0.121874737006405)",156,121,
E14000631,Chesham and Amersham,Conservative,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.1166664333338, 0.12708304067901, 0.12708304067901, 0.1166664333338, 0.1166664333338))","c(0.208230535296043, 0.121874737006405)",208,121,
E14000640,City of Chester,Labour,"list(c(0.161350179813486, 0.161350179813486, 0.17176675482816, 0.17176675482816, 0.161350179813486, 0.220846115255174, 0.231264101380925, 0.231264101380925, 0.220846115255174, 0.220846115255174))","c(0.166558467320823, 0.22605510831805)",166,226,
E14000632,Chesterfield,Labour,"list(c(0.234275094915984, 0.234275094915984, 0.244693081041734, 0.244693081041734, 0.234275094915984, 0.2416820583343, 0.252101061410178, 0.252101061410178, 0.2416820583343, 0.2416820583343))","c(0.239484087978859, 0.246891559872239)",239,246,
