id,name,winner_par,geometry,cent,x,y,swing1
E14000792,Lincoln,Conservative,"list(c(0.26553589718195, 0.26553589718195, 0.275955259140999, 0.275955259140999, 0.26553589718195, 0.220846115255174, 0.231264101380925, 0.231264101380925, 0.220846115255174, 0.220846115255174))","c(0.270745578161474, 0.22605510831805)",270,226,
E14001057,Wyre and Preston North,Conservative,"list(c(0.17176675482816, 0.17176675482816, 0.182183894287265, 0.182183894287265, 0.17176675482816, 0.345862275001384, 0.356280402501425, 0.356280402501425, 0.345862275001384, 0.345862275001384))","c(0.176975324557713, 0.351071338751404)",176,351,
S14000054,Perth and North Perthshire,SNP,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.481297403335259, 0.491713661113078, 0.491713661113078, 0.481297403335259, 0.481297403335259))","c(0.208230535296043, 0.486505532224168)",208,486,
S14000013,Dumfries and Galloway,SNP,"list(c(0.182183894287265, 0.192603926524075, 0.192603926524075, 0.182183894287265, 0.182183894287265, 0.439625175557314, 0.439625175557314, 0.429206342501717, 0.429206342501717, 0.439625175557314))","c(0.18739391040567, 0.434415759029516)",187,434,
W07000049,Aberavon,Labour,"list(c(0.0675856941262454, 0.0675856941262454, 0.0780045269186408, 0.0780045269186408, 0.0675856941262454, 0.137501344304752, 0.147918977652733, 0.147918977652733, 0.137501344304752, 0.137501344304752))","c(0.0727951105224431, 0.142710160978742)",72,142,
S14000001,Aberdeen North,SNP,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.502131965002009, 0.512550621668717, 0.512550621668717, 0.502131965002009, 0.502131965002009))","c(0.19781325472583, 0.507341293335363)",197,507,
S14000002,Aberdeen South,SNP,"list(c(0.203022582927586, 0.203022582927586, 0.213438487664499, 0.213438487664499, 0.203022582927586, 0.502131965002009, 0.512550621668717, 0.512550621668717, 0.502131965002009, 0.502131965002009))","c(0.208230535296043, 0.507341293335363)",208,507,
S14000058,West Aberdeenshire and Kincardine,SNP,"list(c(0.192603926524075, 0.192603926524075, 0.203022582927586, 0.203022582927586, 0.192603926524075, 0.491713661113078, 0.502131965002009, 0.502131965002009, 0.491713661113078, 0.491713661113078))","c(0.19781325472583, 0.496922813057543)",197,496,
E14000530,Aldershot,Conservative,"list(c(0.182183894287265, 0.182183894287265, 0.192603926524075, 0.192603926524075, 0.182183894287265, 0.0854118370093238, 0.0958308461906036, 0.0958308461906036, 0.0854118370093238, 0.0854118370093238))","c(0.18739391040567, 0.0906213415999637)",187,90,
W07000043,Alyn and Deeside,Labour,"list(c(0.119676400866087, 0.119676400866087, 0.130094566667187, 0.130094566667187, 0.119676400866087, 0.189590851600179, 0.200010183334134, 0.200010183334134, 0.189590851600179, 0.189590851600179))","c(0.124885483766637, 0.194800517467156)",124,194,
