date,name,category,value,label
30/01/2020,Trinidad and Tobago,Americas,2,
30/01/2020,Vietnam,Asia,2,
31/01/2020,France,Europe,2,yes
31/01/2020,Guatemala,Americas,2,
01/02/2020,Bangladesh,Asia,2,
02/02/2020,US,Americas,2,yes
03/02/2020,Oman,Asia,2,
05/02/2020,Mauritania,Africa,2,
06/02/2020,Angola,Africa,2,
06/02/2020,Uganda,Africa,2,
07/02/2020,Seychelles,Africa,2,
12/02/2020,Romania,Europe,2,
17/02/2020,Macao,Asia,2,
21/02/2020,Zambia,Africa,2,
24/02/2020,Sri Lanka,Asia,2,
24/02/2020,South Sudan,Africa,2,
24/02/2020,Taiwan,Asia,2,
25/02/2020,China,Asia,2,yes
28/02/2020,Lebanon,Asia,2,
28/02/2020,Pakistan,Asia,2,
01/03/2020,Kyrgyz Republic,Asia,2,
01/03/2020,Kuwait,Asia,2,
01/03/2020,Uzbekistan,Asia,2,
03/03/2020,Denmark,Europe,2,
05/03/2020,United Arab Emirates,Asia,2,
05/03/2020,Burundi,Africa,2,
06/03/2020,Democratic Republic of Congo,Africa,2,
06/03/2020,Lesotho,Africa,2,
06/03/2020,Thailand,Asia,2,
07/03/2020,Barbados,Americas,2,
07/03/2020,Czech Republic,Europe,2,
09/03/2020,Japan,Asia,2,
09/03/2020,Slovak Republic,Europe,2,
09/03/2020,Tunisia,Africa,2,
11/03/2020,Argentina,Americas,2,
11/03/2020,Peru,Americas,2,
11/03/2020,Kosovo,Europe,2,
12/03/2020,Puerto Rico,Americas,2,
13/03/2020,Belize,Americas,2,
13/03/2020,Brazil,Americas,2,
13/03/2020,Kazakhstan,Asia,2,
13/03/2020,Uruguay,Americas,2,
14/03/2020,Norway,Europe,2,
15/03/2020,Croatia,Europe,2,
15/03/2020,Laos,Asia,2,
15/03/2020,Myanmar,Asia,2,
16/03/2020,Greece,Europe,2,
16/03/2020,Malawi,Africa,2,
18/03/2020,Finland,Europe,2,
19/03/2020,Iceland,Europe,2,
20/03/2020,Mozambique,Africa,2,
22/03/2020,Tanzania,Africa,2,
06/04/2020,UK,Europe,2,yes
