name,2000,2016,group,label
"Bloomington, IL",82618,73861,,
"Chicago-Naperville-Elgin, IL-IN-WI",75967,67917,,
"Montgomery, AL",67757,60497,,
"Colorado Springs, CO",74434,66472,,
"Lake Havasu City-Kingman, AZ",52686,46986,,
"Santa Maria-Santa Barbara, CA",69041,61576,,
"Albuquerque, NM",66067,58865,,
"Naples-Immokalee-Marco Island, FL",78542,69911,,
"Canton-Massillon, OH",70467,62640,,
"Santa Cruz-Watsonville, CA",68844,61233,,
"Decatur, AL",69744,61941,,
"St. Louis, MO-IL",82228,72911,,
"Muncie, IN",61990,55005,,
"Tampa-St. Petersburg-Clearwater, FL",64523,57151,,
"Jacksonville, FL",70478,62448,,
"Chattanooga, TN-GA",68394,60561,,
"Lakeland-Winter Haven, FL",60402,53419,,
"Shreveport-Bossier City, LA",62832,55441,,
"Springfield, MO",63717,56146,,
"Racine, WI",82181,72306,,
"Akron, OH",77688,68191,,
"Fresno, CA",53349,46830,,
"Santa Fe, NM",77382,67840,,
"Wichita, KS",74894,65717,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",75471,66093,,
"Saginaw, MI",69030,60486,,
"Gainesville, GA",73718,64516,,
"Birmingham-Hoover, AL",70026,61295,,
"Stockton-Lodi, CA",61853,54038,,
"Memphis, TN-MS-AR",68564,59841,,
"Gadsden, AL",60976,53231,,
"El Centro, CA",49200,42969,,
"Erie, PA",63263,55166,,
"Youngstown-Warren-Boardman, OH-PA",67412,58683,,
"Beaumont-Port Arthur, TX",62538,54365,,
"Rochester, NY",72711,63220,,
"Indianapolis-Carmel-Anderson, IN",78492,68041,,
"Miami-Fort Lauderdale-West Palm Beach, FL",60761,52686,,
"Visalia-Porterville, CA",50740,43933,,
"Raleigh, NC",85784,74283,,
"Lansing-East Lansing, MI",75117,64756,,
"Yuma, AZ",52889,45511,,
"Kansas City, MO-KS",81574,70243,,
"Cleveland-Elyria, OH",78487,67598,,
"Pueblo, CO",56783,48815,,
"Toledo, OH",71680,61488,,
"Merced, CA",52031,44657,,
"Medford, OR",60860,52151,,
"Champaign-Urbana, IL",68555,58776,,
"Milwaukee-Waukesha-West Allis, WI",79736,68056,,
"Clarksville, TN-KY",62146,53063,,
"Orlando-Kissimmee-Sanford, FL",67149,57297,,
"Las Vegas-Henderson-Paradise, NV",70185,59714,,
"Kalamazoo-Portage, MI",71919,61232,,
"Fayetteville, NC",64618,55016,,
"Boise City, ID",71025,60357,,
"Spartanburg, SC",69216,58739,,
"Charlotte-Concord-Gastonia, NC-SC",77604,65771,,
"Salinas, CA",68542,58116,,
"Monroe, MI",80170,67868,,
"Greenville-Anderson-Mauldin, SC",67922,57522,,
"Ann Arbor, MI",83378,70566,,
"Janesville-Beloit, WI",77897,65838,,
"Muskegon, MI",66672,56243,,
"Monroe, LA",59838,50422,,
"Niles-Benton Harbor, MI",68809,57993,,
"Dayton, OH",74669,62715,,
"Owensboro, KY",68626,57594,,
"Grand Rapids-Wyoming, MI",78194,65310,,
"Reno, NV",74113,61607,,
"Eugene, OR",63067,52276,,
"Atlanta-Sandy Springs-Roswell, GA",83531,69136,,
"Tyler, TX",64739,53284,,
"Fort Wayne, IN",76374,62706,,
"Fort Collins, CO",79495,65166,,
"Detroit-Warren-Dearborn, MI",80140,65641,,
"Greensboro-High Point, NC",71300,58114,,
"Rockford, IL",78139,63703,,
"Mansfield, OH",68194,55544,,
"Jackson, TN",73166,58876,,
"Sheboygan, WI",78622,63319,Worst,
"Winston-Salem, NC",73098,58693,Worst,
"Jackson, MI",74783,59575,Worst,
"Hickory-Lenoir-Morganton, NC",67817,53361,Worst,
"Elkhart-Goshen, IN",73793,57818,Worst,
"Michigan City-La Porte, IN",77371,59796,Worst,
"Burlington, NC",67127,51278,Worst,
"Rocky Mount, NC",64752,48832,Worst,
"Goldsboro, NC",66035,48570,Worst,
"Springfield, OH",73895,53957,Worst,yes
