origin,Union 2017,SPD 2017,AfD 2017,FDP 2017,Linke 2017,Grune 2017,Andere 2017,Versorbene 2017,Nichtwahler 2017
Union 2013,11090,800,1040,1620,200,330,200,1290,1610
SPD 2013,820,5920,510,550,700,760,200,760,1030
AfD 2013,60,40,1430,80,20,10,40,100,270
FDP 2013,260,100,120,1220,30,50,40,130,130
Linke 2013,110,270,420,90,1980,160,220,220,290
Grune 2013,300,380,50,160,330,1870,130,140,330
Andere 2013,140,190,730,180,170,90,870,80,270
Erstwahler 2013,480,380,130,240,220,320,190,0,1000
Zugezogene 2013,70,30,20,30,10,10,10,0,60
Nichtwahler 2013,1990,1390,1470,830,560,560,430,790,10200
