date,Price ($),Volume (m),annotate,type
23/03/2021 13:45,0.0221,64175803,,
23/03/2021 14:00,0.02165,24206631,,
23/03/2021 14:15,0.0213,15751240,,
23/03/2021 14:30,0.021,20851495,,
23/03/2021 14:45,0.0204,25835225,,
23/03/2021 15:00,0.021,22490601,,
23/03/2021 15:15,0.0209,7261530,,
23/03/2021 15:30,0.0217,13727829,,
23/03/2021 15:45,0.0213,9192764,,
23/03/2021 16:00,0.021,7293564,,
23/03/2021 16:15,0.02071,10450862,,
23/03/2021 16:30,0.0206,6678944,,
23/03/2021 16:45,0.0207,7677830,,
23/03/2021 17:00,0.0207,7111338,,
23/03/2021 17:15,0.0208,4312905,,
23/03/2021 17:30,0.02105,7719260,,
23/03/2021 17:45,0.0208,8535053,,
23/03/2021 18:00,0.0213,3533013,,
23/03/2021 18:15,0.0212,4120646,,
23/03/2021 18:30,0.0213,3860267,,
23/03/2021 18:45,0.0217,9426786,,
23/03/2021 19:00,0.0215,6485118,,
23/03/2021 19:15,0.0206,12885309,,
23/03/2021 19:30,0.0208,9322074,,
23/03/2021 19:45,0.0212,8172944,,
23/03/2021 20:00,0.021,34889323,,
24/03/2021 13:45,0.0212,38615944,,
24/03/2021 14:00,0.0215,21918531,,
24/03/2021 14:15,0.0217,27169826,,
24/03/2021 14:30,0.0213,8352820,,
24/03/2021 14:45,0.0213,8324164,,
24/03/2021 15:00,0.0217,7030096,,
24/03/2021 15:15,0.0217,2550455,,
24/03/2021 15:30,0.0218,3538350,,
24/03/2021 15:45,0.0218,4963548,,
24/03/2021 16:00,0.0213,5857954,,
24/03/2021 16:15,0.0213,5522822,,
24/03/2021 16:30,0.0215,8929986,,
24/03/2021 16:45,0.0217,5961876,,
24/03/2021 17:00,0.0215,6120327,,
24/03/2021 17:15,0.0215,3811923,,
24/03/2021 17:30,0.0216,5714520,,
24/03/2021 17:45,0.0225,6630472,,
24/03/2021 18:00,0.0228,32432498,,
24/03/2021 18:15,0.0227,7744098,,
24/03/2021 18:30,0.02215,5576328,,
24/03/2021 18:45,0.0226,4540749,,
24/03/2021 19:00,0.0226,8114739,,
24/03/2021 19:15,0.0231,9196637,,
24/03/2021 19:30,0.023,27701442,,
24/03/2021 19:45,0.023,14409288,,
24/03/2021 20:00,0.0234,27511854,,
24/03/2021 20:02,,197500,,
25/03/2021 13:45,0.0249,86149484,,
25/03/2021 14:00,0.0241,43845654,,
25/03/2021 14:15,0.0241,17220309,,
25/03/2021 14:30,0.0246,13835185,,
25/03/2021 14:45,0.02445,15796120,,
25/03/2021 15:00,0.0223,36832251,,
25/03/2021 15:15,0.0227,38271336,,
25/03/2021 15:30,0.0232,11577108,,
25/03/2021 15:45,0.0235,4734852,,
25/03/2021 16:00,0.0237,6852138,,
25/03/2021 16:15,0.0236,5451531,,
25/03/2021 16:30,0.0235,4820822,,
25/03/2021 16:45,0.0238,4044065,,
25/03/2021 17:00,0.0234,4082118,,
25/03/2021 17:15,0.023,9555632,,
25/03/2021 17:30,0.0235,3771463,,
25/03/2021 17:45,0.0232,4833374,,
25/03/2021 18:00,0.0239,5645151,,
25/03/2021 18:15,0.0237,4271583,,
25/03/2021 18:30,0.0247,5179008,,
25/03/2021 18:45,0.025,6219586,,
25/03/2021 19:00,0.0269,13637269,,
25/03/2021 19:15,0.0279,27254226,,
25/03/2021 19:30,0.0274,11808666,,
25/03/2021 19:45,0.02875,37766958,,
25/03/2021 20:00,0.0286,39895776,,
25/03/2021 20:02,0.0286,164087,,
26/03/2021 13:45,0.0255,129508308,,
26/03/2021 14:00,0.025,30826957,,
26/03/2021 14:15,0.025,21222038,,
26/03/2021 14:30,0.0258,21137968,,
26/03/2021 14:45,0.0255,18039662,,
26/03/2021 15:00,0.025,24100420,,
26/03/2021 15:15,0.0255,15473825,,
26/03/2021 15:30,0.0249,17841912,,
26/03/2021 15:45,0.0249,10595604,,
26/03/2021 16:00,0.0247,33352478,,
26/03/2021 16:15,0.0235,19860678,,
26/03/2021 16:30,0.0244,10744503,,
26/03/2021 16:45,0.025,14388153,,
26/03/2021 17:00,0.0255,9036943,,
26/03/2021 17:15,0.0265,10684664,,
26/03/2021 17:30,0.0268,20902556,,
26/03/2021 17:45,0.027,5776321,,
26/03/2021 18:00,0.027,7389357,,
26/03/2021 18:15,0.0264,7626390,,
26/03/2021 18:30,0.026,8065446,,
26/03/2021 18:45,0.027,14428806,,
26/03/2021 19:00,0.0267,6276432,,
26/03/2021 19:15,0.0266,7471903,,
26/03/2021 19:30,0.026,7506746,,
26/03/2021 19:45,0.0255,13175807,,
26/03/2021 20:00,0.0259,28510641,,
26/03/2021 20:02,,838001,,
29/03/2021 13:45,0.03225,158166092,,
29/03/2021 14:00,0.033,36370997,,
29/03/2021 14:15,0.0317,40001138,,
29/03/2021 14:30,0.03275,20562021,,
29/03/2021 14:45,0.0325,19031709,,
29/03/2021 15:00,0.0321,14395193,,
29/03/2021 15:15,0.0319,9488978,,
29/03/2021 15:30,0.0315,13479149,,
29/03/2021 15:45,0.0316,10933011,,
29/03/2021 16:00,0.0315,7514159,,
29/03/2021 16:15,0.03205,9259149,,
29/03/2021 16:30,0.0322,9857261,,
29/03/2021 16:45,0.0322,6856760,,
29/03/2021 17:00,0.0324,7309792,,
29/03/2021 17:15,0.0329,17609630,,
29/03/2021 17:30,0.0338,17221303,,
29/03/2021 17:45,0.033,16630357,,
29/03/2021 18:00,0.0336,10735406,,
29/03/2021 18:15,0.0335,21442013,,
29/03/2021 18:30,0.033,15031971,,
29/03/2021 18:45,0.0345,12843345,,
29/03/2021 19:00,0.0341,22884717,,
29/03/2021 19:15,0.0333,15284941,,
29/03/2021 19:30,0.0332,14658384,,
29/03/2021 19:45,0.033,12028197,,
29/03/2021 20:00,0.0319,23685718,,
29/03/2021 20:02,,39000,,
30/03/2021 13:45,0.0354,67427840,,
30/03/2021 14:00,0.0357,35815816,,
30/03/2021 14:15,0.0357,21527235,,
30/03/2021 14:30,0.0366,26533613,,
30/03/2021 14:45,0.038,24573755,,
30/03/2021 15:00,0.0397,38442791,,
30/03/2021 15:15,0.0395,38683687,,
30/03/2021 15:30,0.039,31054062,,
30/03/2021 15:45,0.0392,21511761,,
30/03/2021 16:00,0.0413,31033732,,
30/03/2021 16:15,0.0407,36216903,,
30/03/2021 16:30,0.0421,20415207,,
30/03/2021 16:45,0.0444,27920927,,
30/03/2021 17:00,0.0479,44792576,,
30/03/2021 17:15,0.04471,53103562,,
30/03/2021 17:30,0.0465,31212198,,
30/03/2021 17:45,0.0455,31694490,,
30/03/2021 18:00,0.0445,22846727,,
30/03/2021 18:15,0.0448,25299084,,
30/03/2021 18:30,0.0457,12307795,,
30/03/2021 18:45,0.0448,10443253,,
30/03/2021 19:00,0.0447,16107799,,
30/03/2021 19:15,0.043,23774124,,
30/03/2021 19:30,0.0412,42420097,,
30/03/2021 19:45,0.045,31375581,,
30/03/2021 20:00,0.0449,41935218,,
30/03/2021 20:02,0.0449,786097,,
31/03/2021 13:45,0.0617,154128153,,
31/03/2021 14:00,0.065,89667128,,
31/03/2021 14:15,0.0599,81910886,,
31/03/2021 14:30,0.0585,40328782,,
31/03/2021 14:45,0.059,62567880,,
31/03/2021 15:00,0.0583,27674958,,
31/03/2021 15:15,0.0579,21851379,,
31/03/2021 15:30,0.0583,16942914,,
31/03/2021 15:45,0.0586,15901783,,
31/03/2021 16:00,0.0615,20533400,,
31/03/2021 16:15,0.0623,18916184,,
31/03/2021 16:30,0.0628,19739781,,
31/03/2021 16:45,0.0638,17605963,,
31/03/2021 17:00,0.0647,30794088,,
31/03/2021 17:15,0.069,35018217,,
31/03/2021 17:30,0.067,23313145,,
31/03/2021 17:45,0.07,36749462,,
31/03/2021 18:00,0.07185,29520259,,
31/03/2021 18:15,0.07,53164510,,
31/03/2021 18:30,0.071,28199680,,
31/03/2021 18:45,0.0745,28034319,,
31/03/2021 19:00,0.0715,31920034,,
31/03/2021 19:15,0.0725,26515046,,
31/03/2021 19:30,0.0713,33436261,,
31/03/2021 19:45,0.0725,36351472,,
31/03/2021 20:00,0.0707,51633324,,
31/03/2021 20:02,0.0707,857997,,
01/04/2021 13:45,0.0621,238503620,,
01/04/2021 14:00,0.0598,68971135,,
01/04/2021 14:15,0.0572,100015420,,
01/04/2021 14:30,0.0537,74733816,,
01/04/2021 14:45,0.055,79206393,,
01/04/2021 15:00,0.056,49464891,,
01/04/2021 15:15,0.0539,39380570,,
01/04/2021 15:30,0.0538,31768997,,
01/04/2021 15:45,0.0556,22062183,,
01/04/2021 16:00,0.0568,20816489,,
01/04/2021 16:15,0.0585,28729567,,
01/04/2021 16:30,0.0599,33590604,,
01/04/2021 16:45,0.0609,26364358,,
01/04/2021 17:00,0.0614,17835602,,
01/04/2021 17:15,0.0623,19834539,,
01/04/2021 17:30,0.0645,27122322,,
01/04/2021 17:45,0.067,51262443,,
01/04/2021 18:00,0.0672,39760638,,
01/04/2021 18:15,0.0625,43344460,,
01/04/2021 18:30,0.063,25541613,,
01/04/2021 18:45,0.059,23666650,,
01/04/2021 19:00,0.05865,50820364,,
01/04/2021 19:15,0.0597,17042837,,
01/04/2021 19:30,0.0607,17483611,,
01/04/2021 19:45,0.0603,39912517,,
01/04/2021 20:00,0.0597,49214318,,
01/04/2021 20:02,,49000,,
05/04/2021 13:45,0.0798,174391425,,
05/04/2021 14:00,0.083,81165816,,
05/04/2021 14:15,0.0763,63204550,,
05/04/2021 14:30,0.078,40834983,,
05/04/2021 14:45,0.0793,25524199,,
05/04/2021 15:00,0.0807,24880982,,
05/04/2021 15:15,0.0817,15520918,,
05/04/2021 15:30,0.085,36241785,,
05/04/2021 15:45,0.0863,34777941,,
05/04/2021 16:00,0.0887,33816092,,
05/04/2021 16:15,0.089,32575768,,
05/04/2021 16:30,0.0878,24341228,,
05/04/2021 16:45,0.0873,14018627,,
05/04/2021 17:00,0.0845,41970645,,
05/04/2021 17:15,0.0877,21282074,,
05/04/2021 17:30,0.0857,14368240,,
05/04/2021 17:45,0.0875,11789321,,
05/04/2021 18:00,0.0888,13372250,,
05/04/2021 18:15,0.0875,14790036,,
05/04/2021 18:30,0.0871,14885681,,
05/04/2021 18:45,0.087,12151828,,
05/04/2021 19:00,0.0833,16450894,,
05/04/2021 19:15,0.0865,26680590,,
05/04/2021 19:30,0.0853,22059905,,
05/04/2021 19:45,0.0863,17998714,,
05/04/2021 20:00,0.085,31600237,,
05/04/2021 20:02,0.0848,640813,,
06/04/2021 13:45,0.02,763611566,,
06/04/2021 14:00,0.0205,288970300,,
06/04/2021 14:15,0.01965,172814106,,
06/04/2021 14:30,0.01877,164574732,,
06/04/2021 14:45,0.0185,90598206,,
06/04/2021 15:00,0.0167,124770830,,
06/04/2021 15:15,0.0171,124537373,,
06/04/2021 15:30,0.0167,127035522,,
06/04/2021 15:45,0.0165,73162156,,
06/04/2021 16:00,0.0167,52273451,,
06/04/2021 16:15,0.0175,79141893,,
06/04/2021 16:30,0.0179,47871247,,
06/04/2021 16:45,0.0187,70675710,,
06/04/2021 17:00,0.0187,47469418,,
06/04/2021 17:15,0.0187,41734529,,
06/04/2021 17:30,0.0179,31857206,,
06/04/2021 17:45,0.0182,17042887,,
06/04/2021 18:00,0.0184,14397570,,
06/04/2021 18:15,0.0184,23586842,,
06/04/2021 18:30,0.0179,23534021,,
06/04/2021 18:45,0.0176,26927003,,
06/04/2021 19:00,0.0179,39788009,,
06/04/2021 19:15,0.01824,34313830,,
06/04/2021 19:30,0.0179,26090618,,
06/04/2021 19:45,0.018,22109546,,
06/04/2021 20:00,0.0185,40507550,,
06/04/2021 20:02,,158800,,
07/04/2021 13:45,0.0241,257959482,,
07/04/2021 14:00,0.0231,99028973,,
07/04/2021 14:15,0.0234,53010299,,
07/04/2021 14:30,0.0233,42569873,,
07/04/2021 14:45,0.0232,36660830,,
07/04/2021 15:00,0.0214,47048596,,
07/04/2021 15:15,0.0209,35209541,,
07/04/2021 15:30,0.0212,34184494,,
07/04/2021 15:45,0.0214,20488093,,
07/04/2021 16:00,0.0212,20178647,,
07/04/2021 16:15,0.0215,14625747,,
07/04/2021 16:30,0.0211,6967941,,
07/04/2021 16:45,0.0212,11248591,,
07/04/2021 17:00,0.0213,10846394,,
07/04/2021 17:15,0.0212,4585458,,
07/04/2021 17:30,0.0211,7752470,,
07/04/2021 17:45,0.0209,10708980,,
07/04/2021 18:00,0.0205,12472252,,
07/04/2021 18:15,0.0198,44028145,,
07/04/2021 18:30,0.0195,26318501,,
07/04/2021 18:45,0.02,26790118,,
07/04/2021 19:00,0.02,13084877,,
07/04/2021 19:15,0.0199,12586474,,
07/04/2021 19:30,0.0192,28372393,,
07/04/2021 19:45,0.0199,18976241,,
07/04/2021 20:00,0.0206,30633110,,
07/04/2021 20:02,,757834,,
08/04/2021 13:45,0.0221,93579578,,
08/04/2021 14:00,0.0217,37382036,,
08/04/2021 14:15,0.0219,23085864,,
08/04/2021 14:30,0.0216,15778150,,
08/04/2021 14:45,0.0214,18012849,,
08/04/2021 15:00,0.0209,26546215,,
08/04/2021 15:15,0.0205,14434393,,
08/04/2021 15:30,0.0205,36865154,,
