date,Price (USD),annotate,type
11/03/2021 14:45,0.008,,
11/03/2021 15:00,0.0082,,
11/03/2021 15:15,0.0084,,
11/03/2021 15:30,0.0081,,
11/03/2021 15:45,0.008,,
11/03/2021 16:00,0.0082,,
11/03/2021 16:15,0.008,,
11/03/2021 16:30,0.008,,
11/03/2021 16:45,0.0081,,
11/03/2021 17:00,0.008,,
11/03/2021 17:15,0.0084,,
11/03/2021 17:30,0.0084,,
11/03/2021 17:45,0.009,,
11/03/2021 18:00,0.009,,
11/03/2021 18:15,0.009,,
11/03/2021 18:30,0.009,,
11/03/2021 18:45,0.0095,,
11/03/2021 19:00,0.0098,,
11/03/2021 19:15,0.0107,,
11/03/2021 19:30,0.0126,,
11/03/2021 19:45,0.0121,,
11/03/2021 20:00,0.0135,,
11/03/2021 20:15,0.0135,,
11/03/2021 20:30,0.0165,,
11/03/2021 20:45,0.014,,
11/03/2021 21:00,0.0138,,
11/03/2021 21:02,,,
12/03/2021 14:45,0.0186,,
12/03/2021 15:00,0.0143,,
12/03/2021 15:15,0.0176,,
12/03/2021 15:30,0.0155,,
12/03/2021 15:45,0.0164,,
12/03/2021 16:00,0.014,,
12/03/2021 16:15,0.014,,
12/03/2021 16:30,0.0136,,
12/03/2021 16:45,0.0135,,
12/03/2021 17:00,0.0138,,
12/03/2021 17:15,0.0145,,
12/03/2021 17:30,0.015,,
12/03/2021 17:45,0.0154,,
12/03/2021 18:00,0.0155,,
12/03/2021 18:15,0.0158,,
12/03/2021 18:30,0.0153,,
12/03/2021 18:45,0.0157,,
12/03/2021 19:00,0.0157,,
12/03/2021 19:15,0.016,,
12/03/2021 19:30,0.016,,
12/03/2021 19:45,0.016,,
12/03/2021 20:00,0.016,,
12/03/2021 20:15,0.0155,,
12/03/2021 20:30,0.0147,,
12/03/2021 20:45,0.015,,
12/03/2021 21:00,0.015,,
12/03/2021 21:02,,,
15/03/2021 13:45,0.019,,
15/03/2021 14:00,0.0218,,
15/03/2021 14:15,0.0228,,
15/03/2021 14:30,0.021,,
15/03/2021 14:45,0.0228,,
15/03/2021 15:00,0.024,,
15/03/2021 15:15,0.024,,
15/03/2021 15:30,0.0231,,
15/03/2021 15:45,0.0223,,
15/03/2021 16:00,0.0213,,
15/03/2021 16:15,0.019,,
15/03/2021 16:30,0.0203,,
15/03/2021 16:45,0.0206,,
15/03/2021 17:00,0.0214,,
15/03/2021 17:15,0.0216,,
15/03/2021 17:30,0.0213,,
15/03/2021 17:45,0.0199,,
15/03/2021 18:00,0.0209,,
15/03/2021 18:15,0.0214,,
15/03/2021 18:30,0.021,,
15/03/2021 18:45,0.021,,
15/03/2021 19:00,0.0207,,
15/03/2021 19:15,0.0206,,
15/03/2021 19:30,0.0195,,
15/03/2021 19:45,0.0202,,
15/03/2021 20:00,0.0204,,
15/03/2021 20:02,,,
16/03/2021 13:45,0.018,,
16/03/2021 14:00,0.0178,,
16/03/2021 14:15,0.0162,,
16/03/2021 14:30,0.0171,,
16/03/2021 14:45,0.0173,,
16/03/2021 15:00,0.017,,
16/03/2021 15:15,0.0173,,
16/03/2021 15:30,0.0171,,
16/03/2021 15:45,0.0172,,
16/03/2021 16:00,0.0173,,
16/03/2021 16:15,0.017,,
16/03/2021 16:30,0.0171,,
16/03/2021 16:45,0.0175,,
16/03/2021 17:00,0.0174,,
16/03/2021 17:15,0.0175,,
16/03/2021 17:30,0.0172,,
16/03/2021 17:45,0.0172,,
16/03/2021 18:00,0.0174,,
16/03/2021 18:15,0.0174,,
16/03/2021 18:30,0.0169,,
16/03/2021 18:45,0.01715,,
16/03/2021 19:00,0.0173,,
16/03/2021 19:15,0.0176,,
16/03/2021 19:30,0.0179,,
16/03/2021 19:45,0.0176,,
16/03/2021 20:00,0.0172,,
16/03/2021 20:02,,,
17/03/2021 13:45,0.0152,,
17/03/2021 14:00,0.0145,,
17/03/2021 14:15,0.0145,,
17/03/2021 14:30,0.016,,
17/03/2021 14:45,0.0157,,
17/03/2021 15:00,0.0159,,
17/03/2021 15:15,0.016,,
17/03/2021 15:30,0.0175,,
17/03/2021 15:45,0.0179,,
17/03/2021 16:00,0.0174,,
17/03/2021 16:15,0.017,,
17/03/2021 16:30,0.0171,,
17/03/2021 16:45,0.0166,,
17/03/2021 17:00,0.0169,,
17/03/2021 17:15,0.0172,,
17/03/2021 17:30,0.0169,,
17/03/2021 17:45,0.0166,,
17/03/2021 18:00,0.01695,,
17/03/2021 18:15,0.017,,
17/03/2021 18:30,0.0177,,
17/03/2021 18:45,0.0177,,
17/03/2021 19:00,0.0175,,
17/03/2021 19:15,0.0173,,
17/03/2021 19:30,0.0171,,
17/03/2021 19:45,0.0171,,
17/03/2021 20:00,0.0169,,
17/03/2021 20:02,,,
18/03/2021 13:45,0.0149,,
18/03/2021 14:00,0.0159,,
18/03/2021 14:15,0.0157,,
18/03/2021 14:30,0.0153,,
18/03/2021 14:45,0.0157,,
18/03/2021 15:00,0.0154,,
18/03/2021 15:15,0.0156,,
18/03/2021 15:30,0.0158,,
18/03/2021 15:45,0.0158,,
18/03/2021 16:00,0.0159,,
18/03/2021 16:15,0.0155,,
18/03/2021 16:30,0.016,,
18/03/2021 16:45,0.0152,,
18/03/2021 17:00,0.0159,,
18/03/2021 17:15,0.0156,,
18/03/2021 17:30,0.0159,,
18/03/2021 17:45,0.01575,,
