date,Volume (m)
17/03/2021 16:00,11414473
17/03/2021 16:15,6970521
17/03/2021 16:30,10964208
17/03/2021 16:45,5836363
17/03/2021 17:00,5143158
17/03/2021 17:15,2631408
17/03/2021 17:30,2712752
17/03/2021 17:45,4008786
17/03/2021 18:00,2713050
17/03/2021 18:15,6872438
17/03/2021 18:30,6703117
17/03/2021 18:45,3548961
17/03/2021 19:00,4597566
17/03/2021 19:15,5537153
17/03/2021 19:30,5301769
17/03/2021 19:45,4402295
17/03/2021 20:00,9366191
17/03/2021 20:02,873708
18/03/2021 13:45,42930892
18/03/2021 14:00,18122787
18/03/2021 14:15,8581070
18/03/2021 14:30,6747929
18/03/2021 14:45,6732074
18/03/2021 15:00,5140412
18/03/2021 15:15,3847457
18/03/2021 15:30,4663264
18/03/2021 15:45,2307994
18/03/2021 16:00,3597036
18/03/2021 16:15,4189403
18/03/2021 16:30,8600150
18/03/2021 16:45,12645138
18/03/2021 17:00,9105941
18/03/2021 17:15,3924225
18/03/2021 17:30,8694647
18/03/2021 17:45,5044241
18/03/2021 18:00,2290484
18/03/2021 18:15,2050120
18/03/2021 18:30,1961036
18/03/2021 18:45,3516341
18/03/2021 19:00,2762304
18/03/2021 19:15,5753084
18/03/2021 19:30,5836589
18/03/2021 19:45,5502841
18/03/2021 20:00,7557103
18/03/2021 20:02,2000
19/03/2021 13:45,42488139
19/03/2021 14:00,13010204
19/03/2021 14:15,9045059
19/03/2021 14:30,5029283
19/03/2021 14:45,9854046
19/03/2021 15:00,8406806
19/03/2021 15:15,6108910
19/03/2021 15:30,7069246
19/03/2021 15:45,4534607
19/03/2021 16:00,9786262
19/03/2021 16:15,14535240
19/03/2021 16:30,8696050
19/03/2021 16:45,7740680
19/03/2021 17:00,14223222
19/03/2021 17:15,15510605
19/03/2021 17:30,6326303
19/03/2021 17:45,6281339
19/03/2021 18:00,5373944
19/03/2021 18:15,6052925
19/03/2021 18:30,16059578
19/03/2021 18:45,8882783
19/03/2021 19:00,4848522
19/03/2021 19:15,8201227
19/03/2021 19:30,3916276
19/03/2021 19:45,8078996
19/03/2021 20:00,20125360
19/03/2021 20:02,565555
22/03/2021 13:45,153048714
22/03/2021 14:00,50606467
22/03/2021 14:15,59068835
22/03/2021 14:30,47747042
22/03/2021 14:45,39853692
22/03/2021 15:00,29951158
22/03/2021 15:15,19118567
22/03/2021 15:30,18102757
22/03/2021 15:45,15689065
22/03/2021 16:00,10970960
22/03/2021 16:15,21866048
22/03/2021 16:30,20494688
22/03/2021 16:45,18385647
22/03/2021 17:00,14123548
22/03/2021 17:15,6004969
22/03/2021 17:30,11414710
22/03/2021 17:45,8313745
22/03/2021 18:00,4899560
22/03/2021 18:15,5877288
22/03/2021 18:30,9196663
22/03/2021 18:45,6263687
22/03/2021 19:00,35223900
22/03/2021 19:15,18976916
22/03/2021 19:30,18951310
22/03/2021 19:45,11525132
22/03/2021 20:00,46766557
22/03/2021 20:02,3446435
23/03/2021 13:45,64175803
23/03/2021 14:00,24206631
23/03/2021 14:15,15751240
23/03/2021 14:30,20851495
23/03/2021 14:45,25835225
23/03/2021 15:00,22490601
23/03/2021 15:15,7261530
23/03/2021 15:30,13727829
23/03/2021 15:45,9192764
23/03/2021 16:00,7293564
23/03/2021 16:15,10450862
23/03/2021 16:30,6678944
23/03/2021 16:45,7677830
23/03/2021 17:00,7111338
23/03/2021 17:15,4312905
23/03/2021 17:30,7719260
23/03/2021 17:45,8535053
23/03/2021 18:00,3533013
23/03/2021 18:15,4120646
23/03/2021 18:30,3860267
23/03/2021 18:45,9426786
23/03/2021 19:00,6485118
23/03/2021 19:15,12885309
23/03/2021 19:30,9322074
23/03/2021 19:45,8172944
23/03/2021 20:00,34889323
24/03/2021 13:45,38615944
24/03/2021 14:00,21918531
24/03/2021 14:15,27169826
24/03/2021 14:30,8352820
24/03/2021 14:45,8324164
24/03/2021 15:00,7030096
24/03/2021 15:15,2550455
24/03/2021 15:30,3538350
24/03/2021 15:45,4963548
24/03/2021 16:00,5857954
24/03/2021 16:15,5522822
24/03/2021 16:30,8929986
24/03/2021 16:45,5961876
24/03/2021 17:00,6120327
24/03/2021 17:15,3811923
24/03/2021 17:30,5714520
24/03/2021 17:45,6630472
24/03/2021 18:00,32432498
24/03/2021 18:15,7744098
24/03/2021 18:30,5576328
