Date (GMT),Price (USD),Volume
11/03/2021 14:45,0.00800000,23144683
11/03/2021 15:00,0.00820000,12970286
11/03/2021 15:15,0.00840000,10796838
11/03/2021 15:30,0.00810000,3186522
11/03/2021 15:45,0.00800000,696120
11/03/2021 16:00,0.00820000,1988656
11/03/2021 16:15,0.00800000,4022142
11/03/2021 16:30,0.00800000,5328152
11/03/2021 16:45,0.00810000,2057940
11/03/2021 17:00,0.00800000,3112981
11/03/2021 17:15,0.00840000,6518175
11/03/2021 17:30,0.00840000,2981467
11/03/2021 17:45,0.00900000,5867894
11/03/2021 18:00,0.00900000,9309183
11/03/2021 18:15,0.00900000,4193483
11/03/2021 18:30,0.00900000,5925789
11/03/2021 18:45,0.00950000,8473169
11/03/2021 19:00,0.00980000,24256548
11/03/2021 19:15,0.01070000,44307538
11/03/2021 19:30,0.01260000,50399988
11/03/2021 19:45,0.01210000,72205177
11/03/2021 20:00,0.01350000,40342748
11/03/2021 20:15,0.01350000,18740368
11/03/2021 20:30,0.01650000,35555616
11/03/2021 20:45,0.01400000,34308729
11/03/2021 21:00,0.01380000,70298819
11/03/2021 21:02,,2130000
12/03/2021 14:45,0.01860000,234117196
12/03/2021 15:00,0.01430000,147680507
12/03/2021 15:15,0.01760000,90482288
12/03/2021 15:30,0.01550000,62194770
12/03/2021 15:45,0.01640000,35769531
12/03/2021 16:00,0.01400000,51117882
12/03/2021 16:15,0.01400000,64430118
12/03/2021 16:30,0.01360000,26527960
12/03/2021 16:45,0.01350000,22783812
12/03/2021 17:00,0.01380000,10595873
12/03/2021 17:15,0.01450000,18607663
12/03/2021 17:30,0.01500000,9895320
12/03/2021 17:45,0.01540000,10419278
12/03/2021 18:00,0.01550000,19125781
12/03/2021 18:15,0.01580000,11915111
12/03/2021 18:30,0.01530000,12852498
12/03/2021 18:45,0.01570000,7218082
12/03/2021 19:00,0.01570000,16444794
12/03/2021 19:15,0.01600000,17837475
12/03/2021 19:30,0.01600000,17772292
12/03/2021 19:45,0.01600000,16292770
12/03/2021 20:00,0.01600000,8758665
12/03/2021 20:15,0.01550000,16054449
12/03/2021 20:30,0.01470000,28553916
12/03/2021 20:45,0.01500000,11778028
12/03/2021 21:00,0.01500000,32625551
12/03/2021 21:02,,293000
15/03/2021 13:45,0.01900000,275349819
15/03/2021 14:00,0.02180000,86144363
15/03/2021 14:15,0.02280000,62668124
15/03/2021 14:30,0.02100000,45081301
15/03/2021 14:45,0.02280000,70310779
15/03/2021 15:00,0.02400000,38261286
15/03/2021 15:15,0.02400000,29890508
15/03/2021 15:30,0.02310000,33163440
15/03/2021 15:45,0.02230000,28105736
15/03/2021 16:00,0.02130000,29959793
15/03/2021 16:15,0.01900000,56239333
15/03/2021 16:30,0.02030000,29160683
15/03/2021 16:45,0.02060000,18207867
15/03/2021 17:00,0.02140000,10470042
15/03/2021 17:15,0.02160000,9301450
15/03/2021 17:30,0.02130000,7200607
15/03/2021 17:45,0.01990000,19236905
15/03/2021 18:00,0.02090000,4892171
15/03/2021 18:15,0.02140000,7075442
15/03/2021 18:30,0.02100000,13034665
15/03/2021 18:45,0.02100000,10159686
15/03/2021 19:00,0.02070000,8537422
15/03/2021 19:15,0.02060000,5896999
15/03/2021 19:30,0.01950000,27119067
15/03/2021 19:45,0.02020000,11681628
15/03/2021 20:00,0.02040000,39286894
15/03/2021 20:02,,280000
16/03/2021 13:45,0.01800000,117717331
16/03/2021 14:00,0.01780000,35335422
16/03/2021 14:15,0.01620000,62219324
16/03/2021 14:30,0.01710000,37670729
16/03/2021 14:45,0.01730000,18583778
16/03/2021 15:00,0.01700000,10043580
16/03/2021 15:15,0.01730000,5722235
16/03/2021 15:30,0.01710000,6467802
