date,Price (USD),annotate,type
23/03/2021 13:45,0.0221,,
23/03/2021 14:00,0.02165,,
23/03/2021 14:15,0.0213,,
23/03/2021 14:30,0.021,,
23/03/2021 14:45,0.0204,,
23/03/2021 15:00,0.021,,
23/03/2021 15:15,0.0209,,
23/03/2021 15:30,0.0217,,
23/03/2021 15:45,0.0213,,
23/03/2021 16:00,0.021,,
23/03/2021 16:15,0.02071,,
23/03/2021 16:30,0.0206,,
23/03/2021 16:45,0.0207,,
23/03/2021 17:00,0.0207,,
23/03/2021 17:15,0.0208,,
23/03/2021 17:30,0.02105,,
23/03/2021 17:45,0.0208,,
23/03/2021 18:00,0.0213,,
23/03/2021 18:15,0.0212,,
23/03/2021 18:30,0.0213,,
23/03/2021 18:45,0.0217,,
23/03/2021 19:00,0.0215,,
23/03/2021 19:15,0.0206,,
23/03/2021 19:30,0.0208,,
23/03/2021 19:45,0.0212,,
23/03/2021 20:00,0.021,,
24/03/2021 13:45,0.0212,,
24/03/2021 14:00,0.0215,,
24/03/2021 14:15,0.0217,,
24/03/2021 14:30,0.0213,,
24/03/2021 14:45,0.0213,,
24/03/2021 15:00,0.0217,,
24/03/2021 15:15,0.0217,,
24/03/2021 15:30,0.0218,,
24/03/2021 15:45,0.0218,,
24/03/2021 16:00,0.0213,,
24/03/2021 16:15,0.0213,,
24/03/2021 16:30,0.0215,,
24/03/2021 16:45,0.0217,,
24/03/2021 17:00,0.0215,,
24/03/2021 17:15,0.0215,,
24/03/2021 17:30,0.0216,,
24/03/2021 17:45,0.0225,,
24/03/2021 18:00,0.0228,,
24/03/2021 18:15,0.0227,,
24/03/2021 18:30,0.02215,,
24/03/2021 18:45,0.0226,,
24/03/2021 19:00,0.0226,,
24/03/2021 19:15,0.0231,,
24/03/2021 19:30,0.023,,
24/03/2021 19:45,0.023,,
24/03/2021 20:00,0.0234,,
24/03/2021 20:02,,,
25/03/2021 13:45,0.0249,,
25/03/2021 14:00,0.0241,,
25/03/2021 14:15,0.0241,,
25/03/2021 14:30,0.0246,,
25/03/2021 14:45,0.02445,,
25/03/2021 15:00,0.0223,,
25/03/2021 15:15,0.0227,,
25/03/2021 15:30,0.0232,,
25/03/2021 15:45,0.0235,,
25/03/2021 16:00,0.0237,,
25/03/2021 16:15,0.0236,,
25/03/2021 16:30,0.0235,,
25/03/2021 16:45,0.0238,,
25/03/2021 17:00,0.0234,,
25/03/2021 17:15,0.023,,
25/03/2021 17:30,0.0235,,
25/03/2021 17:45,0.0232,,
25/03/2021 18:00,0.0239,,
25/03/2021 18:15,0.0237,,
25/03/2021 18:30,0.0247,,
25/03/2021 18:45,0.025,,
25/03/2021 19:00,0.0269,,
25/03/2021 19:15,0.0279,,
25/03/2021 19:30,0.0274,,
25/03/2021 19:45,0.02875,,
25/03/2021 20:00,0.0286,,
25/03/2021 20:02,0.0286,,
26/03/2021 13:45,0.0255,,
26/03/2021 14:00,0.025,,
26/03/2021 14:15,0.025,,
26/03/2021 14:30,0.0258,,
26/03/2021 14:45,0.0255,,
26/03/2021 15:00,0.025,,
26/03/2021 15:15,0.0255,,
26/03/2021 15:30,0.0249,,
26/03/2021 15:45,0.0249,,
26/03/2021 16:00,0.0247,,
26/03/2021 16:15,0.0235,,
26/03/2021 16:30,0.0244,,
26/03/2021 16:45,0.025,,
26/03/2021 17:00,0.0255,,
26/03/2021 17:15,0.0265,,
26/03/2021 17:30,0.0268,,
26/03/2021 17:45,0.027,,
26/03/2021 18:00,0.027,,
26/03/2021 18:15,0.0264,,
26/03/2021 18:30,0.026,,
26/03/2021 18:45,0.027,,
26/03/2021 19:00,0.0267,,
26/03/2021 19:15,0.0266,,
26/03/2021 19:30,0.026,,
26/03/2021 19:45,0.0255,,
26/03/2021 20:00,0.0259,,
26/03/2021 20:02,,,
29/03/2021 13:45,0.03225,,
29/03/2021 14:00,0.033,,
29/03/2021 14:15,0.0317,,
29/03/2021 14:30,0.03275,,
29/03/2021 14:45,0.0325,,
29/03/2021 15:00,0.0321,,
29/03/2021 15:15,0.0319,,
29/03/2021 15:30,0.0315,,
29/03/2021 15:45,0.0316,,
29/03/2021 16:00,0.0315,,
29/03/2021 16:15,0.03205,,
29/03/2021 16:30,0.0322,,
29/03/2021 16:45,0.0322,,
29/03/2021 17:00,0.0324,,
29/03/2021 17:15,0.0329,,
29/03/2021 17:30,0.0338,,
29/03/2021 17:45,0.033,,
29/03/2021 18:00,0.0336,,
29/03/2021 18:15,0.0335,,
29/03/2021 18:30,0.033,,
29/03/2021 18:45,0.0345,,
29/03/2021 19:00,0.0341,,
29/03/2021 19:15,0.0333,,
29/03/2021 19:30,0.0332,,
29/03/2021 19:45,0.033,,
29/03/2021 20:00,0.0319,,
29/03/2021 20:02,,,
30/03/2021 13:45,0.0354,,
30/03/2021 14:00,0.0357,,
30/03/2021 14:15,0.0357,,
30/03/2021 14:30,0.0366,,
30/03/2021 14:45,0.038,,
30/03/2021 15:00,0.0397,,
30/03/2021 15:15,0.0395,,
30/03/2021 15:30,0.039,,
30/03/2021 15:45,0.0392,,
30/03/2021 16:00,0.0413,,
30/03/2021 16:15,0.0407,,
30/03/2021 16:30,0.0421,,
30/03/2021 16:45,0.0444,,
30/03/2021 17:00,0.0479,,
30/03/2021 17:15,0.04471,,
30/03/2021 17:30,0.0465,,
30/03/2021 17:45,0.0455,,
30/03/2021 18:00,0.0445,,
30/03/2021 18:15,0.0448,,
30/03/2021 18:30,0.0457,,
30/03/2021 18:45,0.0448,,
30/03/2021 19:00,0.0447,,
30/03/2021 19:15,0.043,,
30/03/2021 19:30,0.0412,,
30/03/2021 19:45,0.045,,
30/03/2021 20:00,0.0449,,
30/03/2021 20:02,0.0449,,
31/03/2021 13:45,0.0617,,
31/03/2021 14:00,0.065,,
31/03/2021 14:15,0.0599,,
31/03/2021 14:30,0.0585,,
31/03/2021 14:45,0.059,,
31/03/2021 15:00,0.0583,,
31/03/2021 15:15,0.0579,,
31/03/2021 15:30,0.0583,,
31/03/2021 15:45,0.0586,,
31/03/2021 16:00,0.0615,,
31/03/2021 16:15,0.0623,,
31/03/2021 16:30,0.0628,,
31/03/2021 16:45,0.0638,,
31/03/2021 17:00,0.0647,,
31/03/2021 17:15,0.069,,
31/03/2021 17:30,0.067,,
31/03/2021 17:45,0.07,,
31/03/2021 18:00,0.07185,,
31/03/2021 18:15,0.07,,
31/03/2021 18:30,0.071,,
31/03/2021 18:45,0.0745,,
31/03/2021 19:00,0.0715,,
31/03/2021 19:15,0.0725,,
31/03/2021 19:30,0.0713,,
31/03/2021 19:45,0.0725,,
31/03/2021 20:00,0.0707,,
31/03/2021 20:02,0.0707,,
01/04/2021 13:45,0.0621,,
01/04/2021 14:00,0.0598,,
01/04/2021 14:15,0.0572,,
01/04/2021 14:30,0.0537,,
01/04/2021 14:45,0.055,,
01/04/2021 15:00,0.056,,
01/04/2021 15:15,0.0539,,
01/04/2021 15:30,0.0538,,
01/04/2021 15:45,0.0556,,
01/04/2021 16:00,0.0568,,
01/04/2021 16:15,0.0585,,
01/04/2021 16:30,0.0599,,
01/04/2021 16:45,0.0609,,
01/04/2021 17:00,0.0614,,
01/04/2021 17:15,0.0623,,
01/04/2021 17:30,0.0645,,
01/04/2021 17:45,0.067,,
01/04/2021 18:00,0.0672,,
01/04/2021 18:15,0.0625,,
01/04/2021 18:30,0.063,,
01/04/2021 18:45,0.059,,
01/04/2021 19:00,0.05865,,
01/04/2021 19:15,0.0597,,
01/04/2021 19:30,0.0607,,
01/04/2021 19:45,0.0603,,
01/04/2021 20:00,0.0597,,
01/04/2021 20:02,,,
05/04/2021 13:45,0.0798,,
05/04/2021 14:00,0.083,,
05/04/2021 14:15,0.0763,,
05/04/2021 14:30,0.078,,
05/04/2021 14:45,0.0793,,
05/04/2021 15:00,0.0807,,
05/04/2021 15:15,0.0817,,
05/04/2021 15:30,0.085,,
05/04/2021 15:45,0.0863,,
05/04/2021 16:00,0.0887,,
05/04/2021 16:15,0.089,,
05/04/2021 16:30,0.0878,,
05/04/2021 16:45,0.0873,,
05/04/2021 17:00,0.0845,,
05/04/2021 17:15,0.0877,,
05/04/2021 17:30,0.0857,,
05/04/2021 17:45,0.0875,,
05/04/2021 18:00,0.0888,,
05/04/2021 18:15,0.0875,,
05/04/2021 18:30,0.0871,,
05/04/2021 18:45,0.087,,
05/04/2021 19:00,0.0833,,
05/04/2021 19:15,0.0865,,
05/04/2021 19:30,0.0853,,
05/04/2021 19:45,0.0863,,
05/04/2021 20:00,0.085,,
05/04/2021 20:02,0.0848,,
06/04/2021 13:45,0.02,,
06/04/2021 14:00,0.0205,,
06/04/2021 14:15,0.01965,,
06/04/2021 14:30,0.01877,,
06/04/2021 14:45,0.0185,,
06/04/2021 15:00,0.0167,,
06/04/2021 15:15,0.0171,,
06/04/2021 15:30,0.0167,,
06/04/2021 15:45,0.0165,,
06/04/2021 16:00,0.0167,,
06/04/2021 16:15,0.0175,,
06/04/2021 16:30,0.0179,,
06/04/2021 16:45,0.0187,,
06/04/2021 17:00,0.0187,,
06/04/2021 17:15,0.0187,,
06/04/2021 17:30,0.0179,,
06/04/2021 17:45,0.0182,,
06/04/2021 18:00,0.0184,,
06/04/2021 18:15,0.0184,,
06/04/2021 18:30,0.0179,,
06/04/2021 18:45,0.0176,,
06/04/2021 19:00,0.0179,,
06/04/2021 19:15,0.01824,,
06/04/2021 19:30,0.0179,,
06/04/2021 19:45,0.018,,
06/04/2021 20:00,0.0185,,
06/04/2021 20:02,,,
07/04/2021 13:45,0.0241,,
07/04/2021 14:00,0.0231,,
07/04/2021 14:15,0.0234,,
07/04/2021 14:30,0.0233,,
07/04/2021 14:45,0.0232,,
07/04/2021 15:00,0.0214,,
07/04/2021 15:15,0.0209,,
07/04/2021 15:30,0.0212,,
07/04/2021 15:45,0.0214,,
07/04/2021 16:00,0.0212,,
07/04/2021 16:15,0.0215,,
07/04/2021 16:30,0.0211,,
07/04/2021 16:45,0.0212,,
07/04/2021 17:00,0.0213,,
07/04/2021 17:15,0.0212,,
07/04/2021 17:30,0.0211,,
07/04/2021 17:45,0.0209,,
07/04/2021 18:00,0.0205,,
07/04/2021 18:15,0.0198,,
07/04/2021 18:30,0.0195,,
07/04/2021 18:45,0.02,,
07/04/2021 19:00,0.02,,
07/04/2021 19:15,0.0199,,
07/04/2021 19:30,0.0192,,
07/04/2021 19:45,0.0199,,
07/04/2021 20:00,0.0206,,
07/04/2021 20:02,,,
08/04/2021 13:45,0.0221,,
08/04/2021 14:00,0.0217,,
08/04/2021 14:15,0.0219,,
08/04/2021 14:30,0.0216,,
08/04/2021 14:45,0.0214,,
08/04/2021 15:00,0.0209,,
08/04/2021 15:15,0.0205,,
08/04/2021 15:30,0.0205,,
