date,Facebook revenue ($bn)
01/01/2014,2.502
01/04/2014,2.91
01/07/2014,3.203
01/10/2014,3.851
01/01/2015,3.543
01/04/2015,4.042
01/07/2015,4.501
01/10/2015,5.841
01/01/2016,5.382
01/04/2016,6.436
01/07/2016,7.011
01/10/2016,8.809
01/01/2017,8.032
01/04/2017,9.321
