date,open,close,high,low,annotate,highlight
02/01/09,19.53,20.33,20.4,19.37,,
05/01/09,20.2,20.52,20.67,20.06,,
06/01/09,20.75,20.76,21,20.61,,
07/01/09,20.19,19.51,20.29,19.48,,
08/01/09,19.63,20.12,20.19,19.55,,
09/01/09,20.17,19.52,20.3,19.41,,
12/01/09,19.71,19.47,19.79,19.3,,
13/01/09,19.52,19.82,19.99,19.52,,
14/01/09,19.53,19.09,19.68,19.01,,
15/01/09,19.07,19.24,19.3,18.52,,
16/01/09,19.63,19.71,19.91,19.15,,
20/01/09,19.46,18.48,19.62,18.37,,
21/01/09,18.87,19.38,19.45,18.46,,
22/01/09,18.05,17.11,18.18,17.07,,
23/01/09,16.97,17.2,17.49,16.75,,
26/01/09,17.29,17.63,17.81,17.23,,
27/01/09,17.78,17.66,17.97,17.43,,
28/01/09,17.8,18.04,18.31,17.76,,
29/01/09,17.78,17.59,17.96,17.56,,
30/01/09,17.74,17.1,17.79,17.1,,
02/02/09,17.03,17.83,18.13,17,,
03/02/09,17.85,18.5,18.61,17.6,,
04/02/09,18.54,18.63,19,18.5,,
05/02/09,18.51,19.04,19.14,18.25,,
06/02/09,19.16,19.66,19.93,19.06,,
09/02/09,19.64,19.44,19.77,19.26,,
10/02/09,19.25,18.8,19.8,18.7,,
11/02/09,18.94,19.21,19.49,18.92,,
12/02/09,18.97,19.26,19.32,18.54,,
13/02/09,19.27,19.09,19.47,19.04,,
17/02/09,18.49,18.09,18.5,17.89,,
18/02/09,18.22,18.12,18.45,18,,
19/02/09,18.3,17.91,18.38,17.81,,
20/02/09,17.77,18,18.19,17.66,,
23/02/09,18.02,17.21,18.15,17.16,,
24/02/09,17.03,17.17,17.35,16.36,,
25/02/09,17.01,16.96,17.24,16.46,,
26/02/09,17.05,16.42,17.08,16.42,,
27/02/09,16.29,16.15,16.52,16.1,,
02/03/09,15.96,15.79,16.25,15.72,,
03/03/09,16.03,15.88,16.24,15.64,,
04/03/09,16.12,16.12,16.4,15.89,,
05/03/09,15.86,15.27,15.88,15.27,,
06/03/09,15.35,15.28,15.62,14.87,,
09/03/09,15.2,15.15,15.74,15.1,,
10/03/09,15.37,16.48,16.62,15.25,,
11/03/09,16.63,17.11,17.2,16.43,,
12/03/09,17.01,17.01,17.04,16.48,,
13/03/09,16.98,16.65,17.05,16.18,,
16/03/09,16.82,16.25,16.96,16.24,,
17/03/09,16.32,16.9,16.9,16.26,,
18/03/09,17.03,16.96,17.22,16.6,,
19/03/09,17.37,17.14,17.45,16.92,,
20/03/09,17.32,17.06,17.65,16.88,,
23/03/09,17.37,18.33,18.59,17.31,,
24/03/09,18.04,17.93,18.21,17.84,,
25/03/09,17.98,17.88,18.31,17.52,,
26/03/09,18.17,18.83,18.88,18.12,,
27/03/09,18.54,18.13,18.62,18.05,,
30/03/09,17.74,17.48,17.76,17.27,,
31/03/09,17.83,18.37,18.79,17.78,,
