date,close,open,high,low,annotate,highlight
29/08/17,612.5,614,618,607.5,,
30/08/17,604.5,614.5,616,603,,
31/08/17,606.5,605.5,608.5,602,,
01/09/17,603,604,607.5,600.5,,
04/09/17,603.5,603.5,604,598,,
05/09/17,596,600,603.5,595,,
06/09/17,599,597,602,588,,
07/09/17,596,600.5,604.5,595.5,,
08/09/17,586,594,596,584.5,,
11/09/17,588,589,595,588,,
12/09/17,587,585,589,582,,
13/09/17,590.5,586,592,584,,
14/09/17,586.5,592.5,596,579.95,,
15/09/17,568.5,585.5,585.55,565,,
18/09/17,572.5,567.5,574.5,567,improvement,begin
19/09/17,570.5,570.5,575.5,569.16,,
20/09/17,574.5,571.5,580.5,568.77,,
21/09/17,566.5,572.5,576.5,566.49,,
22/09/17,576.5,564.5,578,563,,
25/09/17,584.5,574,584.5,573,,
26/09/17,583.5,581.5,590,579,,
27/09/17,606,584,614.5,583.5,,
28/09/17,606,605.5,607.5,597,,
29/09/17,612,606,614.54,603.5,,
02/10/17,614.5,613,617.5,610.47,,end
03/10/17,607,616,616,605.5,,
04/10/17,613.5,604.5,616,604.06,,
05/10/17,616,614,617.5,611.5,,
06/10/17,629.5,618.5,634.33,618.5,,
09/10/17,631.5,626.5,632.5,626.5,,
10/10/17,619.5,629.5,631.5,618.5,,
11/10/17,616.5,620,627.5,613.5,,
12/10/17,622,614.5,625.5,613.5,,
13/10/17,634,622.5,640,621.5,,
16/10/17,621.5,634,637.5,619.5,,
17/10/17,667,658,680.5,644.5,,
18/10/17,687,670.5,691,662,,
