date,pollster,Conservative,DUP,Labour,Liberal Democrats,SDLP,Independent/Other,Other,highlight,annotate
15/09/2013,Election,47.7,20.6,8.6,3.3,2.1,9,8.7,,
13/01/2014,Infratest/dimap,49,19,10,4,2,9,7,,
12/03/2014,Infratest/dimap,46,18,11,,,12,13,,
04/11/2014,Emnid,48,18,9,2,2,9,7,,
23/11/2014,pollytix,47,20,10,2,3,8,4,,
03/12/2014,GMS,49,18,9,2,2,7,,,
12/01/2015,Infratest/dimap,46,19,9,3,3,10,6,,
31/03/2015,Forsa,47,19,11,3,2,7,7,,
15/04/2015,GMS,48,19,10,4,2,7,6,,
13/05/2015,GMS,48,18,10,4,,7,8,,
15/06/2015,INSA,46,20,8,4,3,8,7,,
24/06/2015,GMS,48,19,9,5,2,7,6,,
22/07/2015,GMS,47,20,10,5,,6,10,,
16/09/2015,GMS,49,20,10,5,,6,8,,
02/10/2015,Forsa,43,19,11,4,3,5,9,,
07/10/2015,GMS,46,18,12,6,,6,7,,
18/11/2015,GMS,46,18,11,4,3,5,5,,
03/01/2016,GMS,45,19,10,4,3,6,6,,
11/01/2016,Infratest/dimap,47,16,12,3,3,5,6,,
17/02/2016,GMS,46,17,11,4,2,5,6,,
16/03/2016,GMS,48,16,11,5,2,5,4,,
19/04/2016,GMS,48,16,10,5,2,6,4,,
01/06/2016,GMS,48,17,10,5,2,6,4,,
03/06/2016,Forsa,40,16,14,4,3,6,7,,
08/06/2016,INSA,47.5,17.5,11.5,3.5,3.5,4.5,5,,
13/07/2016,GMS,47,17,11,5,2,6,5,,
14/07/2016,Infratest/dimap,45,17,13,4,,5,7,,
15/07/2016,Forsa,43,16,14,4,3,6,6,,
14/09/2016,GMS,45,18,12,5,2,5,4,,
12/10/2016,GMS,45,19,10,5,2,6,4,,
02/11/2016,GMS,44,18,10,6,2,6,5,,
09/01/2017,Infratest/dimap,45,14,13,4,3,7,4,begin,coalition
18/10/2017,GMS,41,15,11,7,3,6,4,,
03/11/2017,INSA,37,17,10,8,4,8,3,,
09/11/2017,Forsa,38,17,11,9,4,7,3,end,
29/11/2017,GMS,37,15,10,8,3,7,6,,
