name,radius,value,category,colour,label,type
ABN AMRO GROUP,22.1,-23.6,FTSE Eurofirst 300,,,
ACCOR,12.3,-13.7,FTSE Eurofirst 300,,,
ACS ACTIV.CONSTR.Y SERV.,12.2,7.8,FTSE Eurofirst 300,,,
ADIDAS (XET),42,9.1,FTSE Eurofirst 300,,,
ADP,18.7,4.4,FTSE Eurofirst 300,,,
ADYEN,16,4.4,FTSE Eurofirst 300,,,
AEGON,10.3,-23.3,FTSE Eurofirst 300,,,
AENA SME,23.3,-19.7,FTSE Eurofirst 300,,,
AGEAS (EX-FORTIS),9.1,-3.5,FTSE Eurofirst 300,,,
AIB GROUP,11.4,-33.1,FTSE Eurofirst 300,,,
AIR LIQUIDE,53.1,3.2,FTSE Eurofirst 300,,,
AIRBUS,74.5,1.2,FTSE Eurofirst 300,,,
AKER BP,9.1,8,FTSE Eurofirst 300,,,
AKZO NOBEL,20.3,-3.6,FTSE Eurofirst 300,,,
ALFA LAVAL,9,-2.1,FTSE Eurofirst 300,,,
ALLIANZ (XET),85.3,-8.5,FTSE Eurofirst 300,,,
ALSTOM,9,1.9,FTSE Eurofirst 300,,,
AMADEUS IT GROUP,30.5,1.2,FTSE Eurofirst 300,,,
AMUNDI (WI),10.6,-34.7,FTSE Eurofirst 300,,,
ANGLO AMERICAN,31.3,12.8,FTSE Eurofirst 300,,,
ANHEUSER-BUSCH INBEV,133.2,-38,FTSE Eurofirst 300,,,
ANTOFAGASTA,9.8,-22.1,FTSE Eurofirst 300,,,
ARCELORMITTAL,21.2,-33.1,FTSE Eurofirst 300,,,
ASHTEAD GROUP,10,-17.8,FTSE Eurofirst 300,,,
ASML HOLDING,67.6,-5.5,FTSE Eurofirst 300,,,
ASSA ABLOY B,19.8,-7.2,FTSE Eurofirst 300,,,
ASSICURAZIONI GENERALI,26.1,-3.9,FTSE Eurofirst 300,,,
ASSOCIATED BRIT.FOODS,20.6,-27.6,FTSE Eurofirst 300,,,
ASTRAZENECA,94.8,14.7,FTSE Eurofirst 300,,,
ATLANTIA,17.1,-31.3,FTSE Eurofirst 300,,,
ATLAS COPCO A,28.4,-19.1,FTSE Eurofirst 300,,,
ATOS,8.7,-41.1,FTSE Eurofirst 300,,,
AVIVA,18.7,-25.9,FTSE Eurofirst 300,,,
AXA,52.3,-23.8,FTSE Eurofirst 300,,,
BAE SYSTEMS,18.7,-19.9,FTSE Eurofirst 300,,,
BANCO SANTANDER,73.7,-26.9,FTSE Eurofirst 300,,,
BANKIA,9,-35.8,FTSE Eurofirst 300,,,
BARCLAYS,32.8,-25.9,FTSE Eurofirst 300,,,
BASF (XET),63.4,-34.2,FTSE Eurofirst 300,,,
BAYER (XET),64.8,-40.8,FTSE Eurofirst 300,,,
BBV.ARGENTARIA,35.3,-34.8,FTSE Eurofirst 300,,,
BEIERSDORF (XET),26.3,-6.9,FTSE Eurofirst 300,,,
BHP GROUP,115.4,8.5,FTSE Eurofirst 300,,,
BMW (XET),52.5,-18.6,FTSE Eurofirst 300,,,
BNP PARIBAS,56.4,-36.6,FTSE Eurofirst 300,,,
BOLLORE,11.7,-22.7,FTSE Eurofirst 300,,,
BOUYGUES,13.1,-27.6,FTSE Eurofirst 300,,,
BP,127.3,-5.1,FTSE Eurofirst 300,,,
BRITISH AMERICAN TOBACCO,73,-50.2,FTSE Eurofirst 300,,,
BT GROUP,30.1,-12.4,FTSE Eurofirst 300,,,
BUNZL,10.2,14.3,FTSE Eurofirst 300,,,
BURBERRY GROUP,9.1,-3.2,FTSE Eurofirst 300,,,
BUREAU VERITAS,9,-21.9,FTSE Eurofirst 300,,,
CAIXABANK,21.6,-18.6,FTSE Eurofirst 300,,,
CAPGEMINI,16.6,-12.2,FTSE Eurofirst 300,,,
CARLSBERG B,16.1,-7,FTSE Eurofirst 300,,,
CARNIVAL,34,-23.1,FTSE Eurofirst 300,,,
CARREFOUR,13.5,-17.4,FTSE Eurofirst 300,,,
CENTRICA,9.8,-1.7,FTSE Eurofirst 300,,,
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,16.8,4,FTSE Eurofirst 300,,,
CHRISTIAN HANSEN HOLDING,11.6,-0.9,FTSE Eurofirst 300,,,
CNH INDUSTRIAL,12.2,-29.7,FTSE Eurofirst 300,,,
CNP ASSURANCES,14.5,-3.8,FTSE Eurofirst 300,,,
COCA-COLA HBC,11.5,1.3,FTSE Eurofirst 300,,,
COLOPLAST B,20,22.6,FTSE Eurofirst 300,,,
COMMERZBANK (XET),8.2,-53.8,FTSE Eurofirst 300,,yes,
COMPASS GROUP,33.3,3.1,FTSE Eurofirst 300,,,
CONTINENTAL (XET),27.4,-46.3,FTSE Eurofirst 300,,,
COVESTRO (XET),9,-49.8,FTSE Eurofirst 300,,,
CREDIT AGRICOLE,30.9,-31.7,FTSE Eurofirst 300,,,
CREDIT SUISSE GROUP,28,-37.9,FTSE Eurofirst 300,,,
CRH,21.5,-22.1,FTSE Eurofirst 300,,,
DAIMLER (XET),56,-35.2,FTSE Eurofirst 300,,,
DANONE,48.2,-12.1,FTSE Eurofirst 300,,,
DANSKE BANK,17.7,-46.6,FTSE Eurofirst 300,,yes,
DASSAULT AVIATION,11.5,-6.8,FTSE Eurofirst 300,,,
DASSAULT SYSTEMES,31,17.1,FTSE Eurofirst 300,,,
DAVIDE CAMPARI MILANO,9.8,14.6,FTSE Eurofirst 300,,,
DEUTSCHE BANK (XET),16.5,-56.1,FTSE Eurofirst 300,,yes,
DEUTSCHE BOERSE (XET),22.8,8.4,FTSE Eurofirst 300,,,
DEUTSCHE LUFTHANSA (XET),10.6,-35.9,FTSE Eurofirst 300,,,
DEUTSCHE POST (XET),33.7,-39.8,FTSE Eurofirst 300,,,
DEUTSCHE TELEKOM (XET),80.6,0.2,FTSE Eurofirst 300,,,
DEUTSCHE WOHNEN (XET) BR.SHS.,16.4,9.7,FTSE Eurofirst 300,,,
DIAGEO,86.1,2.6,FTSE Eurofirst 300,,,
DNB,25.6,-9.2,FTSE Eurofirst 300,,,
DSM KONINKLIJKE,14.8,-10.3,FTSE Eurofirst 300,,,
DSV 'B',12.4,-12.2,FTSE Eurofirst 300,,,
E ON N (XET),21.6,-4.8,FTSE Eurofirst 300,,,
EDF,47.5,32.4,FTSE Eurofirst 300,,,
EDP ENERGIAS DE PORTUGAL,12.7,5.7,FTSE Eurofirst 300,,,
EMS-CHEMIE 'N',11.1,-28.2,FTSE Eurofirst 300,,,
ENDESA,24.4,12.7,FTSE Eurofirst 300,,,
ENEL,58.6,-1.7,FTSE Eurofirst 300,,,
ENGIE,34.9,-12.6,FTSE Eurofirst 300,,,
ENI,57.1,-0.4,FTSE Eurofirst 300,,,
EPIROC A,11.3,-7.7,FTSE Eurofirst 300,,,
EQUINOR,70.8,4.9,FTSE Eurofirst 300,,,
ERICSSON A,29.3,45.4,FTSE Eurofirst 300,,yes,
ERSTE GROUP BANK,14.3,-19.5,FTSE Eurofirst 300,,,
ESSILORLUXOTTICA,53.9,-3.9,FTSE Eurofirst 300,,,
ESSITY B,17.2,-6.6,FTSE Eurofirst 300,,,
EVONIK INDUSTRIES (XET),11.7,-30.5,FTSE Eurofirst 300,,,
EXOR ORD,13,-7.5,FTSE Eurofirst 300,,,
EXPERIAN,22.1,16.4,FTSE Eurofirst 300,,,
FERGUSON,14.8,-10.8,FTSE Eurofirst 300,,,
FERRARI (MIL),18.8,-0.8,FTSE Eurofirst 300,,,
FERROVIAL,14.9,-2.6,FTSE Eurofirst 300,,,
FIAT CHRYSLER AUTOS.,22.5,-14.9,FTSE Eurofirst 300,,,
FORTUM,19.4,15.8,FTSE Eurofirst 300,,,
FRESENIUS (XET),26.8,-34.9,FTSE Eurofirst 300,,,
FRESENIUS MED.CARE (XET),19.8,-35.5,FTSE Eurofirst 300,,,
GALP ENERGIA SGPS,12.2,-10,FTSE Eurofirst 300,,,
GBL NEW,14,-15.5,FTSE Eurofirst 300,,,
GEBERIT 'R',14.4,-10.9,FTSE Eurofirst 300,,,
GECINA REIT,9.9,-26.6,FTSE Eurofirst 300,,,
GENMAB,10.1,3.7,FTSE Eurofirst 300,,,
GIVAUDAN 'N',21.3,1.1,FTSE Eurofirst 300,,,
GLAXOSMITHKLINE,94.3,12.8,FTSE Eurofirst 300,,,
GLENCORE,51.9,-25.3,FTSE Eurofirst 300,,,
GRIFOLS CLASS 'B' PREF.,16,-15.1,FTSE Eurofirst 300,,,
GRIFOLS ORD CL A,16,-6.2,FTSE Eurofirst 300,,,
H LUNDBECK,8.7,-9.4,FTSE Eurofirst 300,,,
HANNOVER RUECK (XET),16.1,12.2,FTSE Eurofirst 300,,,
HARGREAVES LANSDOWN,11.2,2.6,FTSE Eurofirst 300,,,
HEIDELBERGCEMENT (XET),12.1,-40.9,FTSE Eurofirst 300,,,
HEINEKEN,50.8,-11.2,FTSE Eurofirst 300,,,
HEINEKEN HOLDING,24.3,-10.6,FTSE Eurofirst 300,,,
HENKEL (XET),45.1,-14.3,FTSE Eurofirst 300,,,
HENNES & MAURITZ B,23.5,-25.6,FTSE Eurofirst 300,,,
HERMES INTL.,58.5,8.6,FTSE Eurofirst 300,,,
HEXAGON B,16.7,-0.7,FTSE Eurofirst 300,,,
HOCHTIEF (XET),9.4,-20.3,FTSE Eurofirst 300,,,
HSBC HOLDINGS,165.8,-18.9,FTSE Eurofirst 300,,,
IBERDROLA,51.3,14.2,FTSE Eurofirst 300,,,
ICTL.HTLS.GP.,10.3,-10.2,FTSE Eurofirst 300,,,
IMPERIAL BRANDS,28.9,-24.9,FTSE Eurofirst 300,,,
INDITEX,79.6,-23.1,FTSE Eurofirst 300,,,
INDUSTRIVARDEN A,8.9,-13.4,FTSE Eurofirst 300,,,
INFINEON TECHS. (XET),22.7,-24,FTSE Eurofirst 300,,,
INFORMA,10,-12.7,FTSE Eurofirst 300,,,
ING GROEP,41.9,-38.6,FTSE Eurofirst 300,,,
INNOGY (XET),25.7,24.7,FTSE Eurofirst 300,,,
INTERTEK GROUP,9.9,-7.5,FTSE Eurofirst 300,,,
INTESA SANPAOLO,38.8,-30,FTSE Eurofirst 300,,,
INTL.CONS.AIRL.GP.,15.6,-5.1,FTSE Eurofirst 300,,,
INVESTOR B,32.6,0.4,FTSE Eurofirst 300,,,
IPSEN,10.8,13.3,FTSE Eurofirst 300,,,
JULIUS BAER GRUPPE,7.9,-41.3,FTSE Eurofirst 300,,,
KBC GROUP,26.9,-20.3,FTSE Eurofirst 300,,,
KERING,59.4,12.7,FTSE Eurofirst 300,,,
KERRY GROUP 'A',17.4,-7.5,FTSE Eurofirst 300,,,
KLEPIERRE REIT,9.7,-26.5,FTSE Eurofirst 300,,,
KNORR BREMSE (XET),14.4,-3.7,FTSE Eurofirst 300,,,
KONE 'B',25.1,-7,FTSE Eurofirst 300,,,
KONINKLIJKE AHOLD DELHAIZE,29.9,20.4,FTSE Eurofirst 300,,,
KPN KON,12.3,-12,FTSE Eurofirst 300,,,
KUEHNE UND NAGEL INTERNATIONAL,15.4,-26.8,FTSE Eurofirst 300,,,
LAFARGEHOLCIM,24.9,-26.3,FTSE Eurofirst 300,,,
LEGAL & GENERAL,17.5,-15.5,FTSE Eurofirst 300,,,
LEGRAND,15,-23.2,FTSE Eurofirst 300,,,
LLOYDS BANKING GROUP,47,-23.8,FTSE Eurofirst 300,,,
LONDON STOCK EX.GROUP,18,7.1,FTSE Eurofirst 300,,,
LONZA GROUP,19.2,-3.3,FTSE Eurofirst 300,,,
L'OREAL,128.9,8.8,FTSE Eurofirst 300,,,
LUNDIN PETROLEUM,8.5,17.9,FTSE Eurofirst 300,,,
LVMH,149.1,5.2,FTSE Eurofirst 300,,,
MAN (XET),15.1,-5.5,FTSE Eurofirst 300,,,
MAPFRE,8.2,-13.4,FTSE Eurofirst 300,,,
MELROSE INDUSTRIES,10.1,-22.8,FTSE Eurofirst 300,,,
MERCK KGAA (XET),44.9,0.3,FTSE Eurofirst 300,,,
MICHELIN,17.8,-27.5,FTSE Eurofirst 300,,,
MONCLER,8.5,10.9,FTSE Eurofirst 300,,,
MOWI,10.9,31.4,FTSE Eurofirst 300,,,
MTU AERO ENGINES (XET) HLDG.,9.4,6,FTSE Eurofirst 300,,,
MUENCHENER RUCK. (XET),32.5,5.4,FTSE Eurofirst 300,,,
NATIONAL GRID,33.1,-12.7,FTSE Eurofirst 300,,,
NATIXIS,14.8,-37.6,FTSE Eurofirst 300,,,
NATURGY ENERGY,25.5,15.6,FTSE Eurofirst 300,,,
NESTE,19.7,26.3,FTSE Eurofirst 300,,,
NESTLE 'R',248,-4.8,FTSE Eurofirst 300,,yes,
NN GROUP,13.6,-3.7,FTSE Eurofirst 300,,,
NOKIA,32.4,29.2,FTSE Eurofirst 300,,,
NORDEA BANK,33.7,-28,FTSE Eurofirst 300,,,
NORSK HYDRO,9.4,-37.1,FTSE Eurofirst 300,,,
NOVARTIS 'R',217.4,2,FTSE Eurofirst 300,,,
NOVO NORDISK 'B',111.8,-10.9,FTSE Eurofirst 300,,,
NOVOZYMES B,13.2,-17.9,FTSE Eurofirst 300,,,
OMV,14.3,-27.6,FTSE Eurofirst 300,,,
ORANGE,43,-2.2,FTSE Eurofirst 300,,,
ORSTED,28.1,28.6,FTSE Eurofirst 300,,,
PARTNERS GROUP HOLDING,16.1,-10.8,FTSE Eurofirst 300,,,
PERNOD-RICARD,43.5,8.6,FTSE Eurofirst 300,,,
PERSIMMON,7.8,-29.5,FTSE Eurofirst 300,,,
PEUGEOT,19.3,10,FTSE Eurofirst 300,,,
PHILIPS ELTN.KONINKLIJKE,32.7,-1.9,FTSE Eurofirst 300,,,
PKO BANK,13.1,-10.9,FTSE Eurofirst 300,,,
PLKNC.NAFTOWY ORLEN,12.3,2,FTSE Eurofirst 300,,,
POLISH OIL AND GAS,10.6,9.9,FTSE Eurofirst 300,,,
PORSCHE AML.HLDG. (XET) PREF.,18.1,-26,FTSE Eurofirst 300,,,
POSTE ITALIANE,10.4,11.3,FTSE Eurofirst 300,,,
PRUDENTIAL,46.3,-26.4,FTSE Eurofirst 300,,,
PUBLICIS GROUPE,13.5,-11.6,FTSE Eurofirst 300,,,
RAIFFEISEN BANK INTL.,8.3,-26.5,FTSE Eurofirst 300,,,
RANDSTAD,8.4,-21.8,FTSE Eurofirst 300,,,
RECKITT BENCKISER GROUP,54.2,-13.1,FTSE Eurofirst 300,,,
RED ELECTRICA,12.1,4.2,FTSE Eurofirst 300,,,
RELX,40.5,-7,FTSE Eurofirst 300,,,
RENAULT,18.4,-35,FTSE Eurofirst 300,,,
REPSOL YPF,25.3,1.1,FTSE Eurofirst 300,,,
RICHEMONT N,33.4,-28.7,FTSE Eurofirst 300,,,
RIO TINTO,81.2,-5.4,FTSE Eurofirst 300,,,
ROCHE HOLDING,212.3,-1.3,FTSE Eurofirst 300,,yes,
ROLLS-ROYCE HOLDINGS,20,-0.6,FTSE Eurofirst 300,,,
ROYAL BANK OF SCTL.GP.,33.3,-22.1,FTSE Eurofirst 300,,,
ROYAL DUTCH SHELL A,242.8,-7.7,FTSE Eurofirst 300,,yes,
RTL GROUP (XET),8.2,-30.4,FTSE Eurofirst 300,,,
RWE (XET),13.2,11.6,FTSE Eurofirst 300,,,
RWE PREF. (XET),13.2,31.5,FTSE Eurofirst 300,,,
SAFRAN,49.3,22.7,FTSE Eurofirst 300,,,
SAINT GOBAIN,18.2,-36.6,FTSE Eurofirst 300,,,
SAMPO 'A',24.4,-16.1,FTSE Eurofirst 300,,,
SANDVIK,17.9,-12.1,FTSE Eurofirst 300,,,
SANOFI,108.3,5.3,FTSE Eurofirst 300,,,
SAP (XET),122.4,-7,FTSE Eurofirst 300,,,
SARTORIUS STEDIM BIOTECH,9.2,44.9,FTSE Eurofirst 300,,yes,
SCHINDLER,21,-13.2,FTSE Eurofirst 300,,,
SCHNEIDER ELECTRIC,39.5,-15.7,FTSE Eurofirst 300,,,
SCHRODERS,8.5,-30.5,FTSE Eurofirst 300,,,
SGS 'N',17.1,-13,FTSE Eurofirst 300,,,
SIEMENS (XET),95,-16.2,FTSE Eurofirst 300,,,
SIEMENS (XET) HEALTHINEERS,41.8,21,FTSE Eurofirst 300,,,
SIEMENS GAMESA RENEWABLE ENERGY,8.3,-6.9,FTSE Eurofirst 300,,,
SIKA,17.9,-3.4,FTSE Eurofirst 300,,,
SKANDINAVISKA ENSKILDA BANKEN A,21.3,-10.6,FTSE Eurofirst 300,,,
SMITH & NEPHEW,16.3,13.7,FTSE Eurofirst 300,,,
SNAM,15.1,-6.4,FTSE Eurofirst 300,,,
SOCIETE GENERALE,25.7,-35.4,FTSE Eurofirst 300,,,
SODEXO,15.1,-20.1,FTSE Eurofirst 300,,,
SOLVAY,10.6,-24.7,FTSE Eurofirst 300,,,
SONOVA N,10.6,5.5,FTSE Eurofirst 300,,,
SSE,14.1,-18.1,FTSE Eurofirst 300,,,
STANDARD CHARTERED,25.7,-21.9,FTSE Eurofirst 300,,,
STANDARD LIFE ABERDEEN,8.3,-40.8,FTSE Eurofirst 300,,,
STMICROELECTRONICS,13,-31.4,FTSE Eurofirst 300,,,
STORA ENSO R,9.3,-23.7,FTSE Eurofirst 300,,,
STRAUMANN HOLDING,10,-10.2,FTSE Eurofirst 300,,,
SVENSKA HANDELSBANKEN A,21.6,-12.4,FTSE Eurofirst 300,,,
SWEDBANK A,25.2,-0.1,FTSE Eurofirst 300,,,
SWISS LIFE HOLDING,13.1,9.7,FTSE Eurofirst 300,,,
SWISS RE,31,-1.2,FTSE Eurofirst 300,,,
SWISSCOM 'R',24.7,-9.4,FTSE Eurofirst 300,,,
SYMRISE (XET),9.7,-9.9,FTSE Eurofirst 300,,,
TALANX AKTGSF. (XET),8.6,-12.5,FTSE Eurofirst 300,,,
TECHNIPFMC (PAR),8.8,-31.7,FTSE Eurofirst 300,,,
TELECOM ITALIA,11.3,-32.9,FTSE Eurofirst 300,,,
TELECOM ITALIA RSP,11.3,-30,FTSE Eurofirst 300,,,
TELEFONICA,43.6,-9.7,FTSE Eurofirst 300,,,
TELEFONICA DTL. (XET) HLDG.,11.6,-18.3,FTSE Eurofirst 300,,,
TELENOR,28.5,-4.8,FTSE Eurofirst 300,,,
TELEPERFORMANCE,9.2,16.9,FTSE Eurofirst 300,,,
TELIA COMPANY,20.5,14.9,FTSE Eurofirst 300,,,
TEMENOS N,8.5,-5.7,FTSE Eurofirst 300,,,
TENARIS,12.7,-28.3,FTSE Eurofirst 300,,,
TERNA RETE ELETTRICA NAZ,11.4,2.3,FTSE Eurofirst 300,,,
TESCO,23.7,-9.2,FTSE Eurofirst 300,,,
THALES,24.8,13.5,FTSE Eurofirst 300,,,
THE SWATCH GROUP,16.1,-23.8,FTSE Eurofirst 300,,,
THYSSENKRUPP (XET),10.6,-38.1,FTSE Eurofirst 300,,,
TOTAL,139.3,0.3,FTSE Eurofirst 300,,,
TUI (LON),8.3,-26.9,FTSE Eurofirst 300,,,
UBISOFT ENTERTAINMENT CAT A,9.1,9.9,FTSE Eurofirst 300,,,
UBS GROUP,47.9,-31.8,FTSE Eurofirst 300,,,
UCB,15.9,7.7,FTSE Eurofirst 300,,,
UMICORE,9.8,-11.6,FTSE Eurofirst 300,,,
UNICREDIT,25.2,-36.5,FTSE Eurofirst 300,,,
UNILEVER (UK),154.1,-0.4,FTSE Eurofirst 300,,yes,
UNIPER SE (XET),9.3,-13.1,FTSE Eurofirst 300,,,
UNITED INTERNET (XET),9,-33.4,FTSE Eurofirst 300,,,
UPM-KYMMENE,13.5,-14.5,FTSE Eurofirst 300,,,
VEOLIA ENVIRON,11.6,-15.6,FTSE Eurofirst 300,,,
VESTAS WINDSYSTEMS,15.5,14.8,FTSE Eurofirst 300,,,
VIFOR PHARMA,7,-14.4,FTSE Eurofirst 300,,,
VINCI,49.2,-15.4,FTSE Eurofirst 300,,,
VIVENDI,31.8,-5.1,FTSE Eurofirst 300,,,
VODAFONE GROUP,52,-34.9,FTSE Eurofirst 300,,,
VOLKSWAGEN (XET),79.3,-17.5,FTSE Eurofirst 300,,yes,
VOLVO B,27.8,-24.1,FTSE Eurofirst 300,,,
VONOVIA (XET),23.6,-4.3,FTSE Eurofirst 300,,,
WARTSILA,9.4,-20.8,FTSE Eurofirst 300,,,
WFD UNIBAIL RODAMCO STAPLED UNITS,21.1,-35.5,FTSE Eurofirst 300,,,
WHITBREAD,10.7,14.5,FTSE Eurofirst 300,,,
WIRECARD (XET),18.8,42.7,FTSE Eurofirst 300,,,
WOLTERS KLUWER,16.5,18.8,FTSE Eurofirst 300,,,
WPP,13.6,-36.9,FTSE Eurofirst 300,,,
YARA INTERNATIONAL,10.5,-11.5,FTSE Eurofirst 300,,,
ZALANDO (XET),6.4,-49.1,FTSE Eurofirst 300,,,
ZURICH INSURANCE GROUP,45,-1.2,FTSE Eurofirst 300,,,
3M,110.9,-19,S&P 500,,,
ABBOTT LABORATORIES,127,26.7,S&P 500,,,
ABBVIE,138.7,-4.7,S&P 500,,,
ABIOMED,14.6,73.4,S&P 500,,,
ACCENTURE CLASS A,93.9,-7.9,S&P 500,,,
ACTIVISION BLIZZARD,35.5,-26.5,S&P 500,,,
ADOBE (NAS),110.4,29.1,S&P 500,,,
ADV.AUTO PARTS,11.5,57.9,S&P 500,,,
ADVANCED MICRO DEVICES,18.4,79.6,S&P 500,,yes,
AES,9.6,33.5,S&P 500,,,
AFFILIATED MANAGERS,5.1,-52.5,S&P 500,,,
AFLAC,34.7,3.8,S&P 500,,,
AGILENT TECHS.,21.5,0.7,S&P 500,,,
AIR PRDS.& CHEMS.,35.1,-2.5,S&P 500,,,
