name,radius,value,category,colour,label,type
3I GROUP,9.6,-15.3,FTSE 100,,,
ADMIRAL GROUP,7.6,2.2,FTSE 100,,,
ANGLO AMERICAN,31.3,12.8,FTSE 100,,,
ANTOFAGASTA,9.8,-22.1,FTSE 100,,,
ASHTEAD GROUP,10,-17.8,FTSE 100,,,
ASSOCIATED BRIT.FOODS,20.6,-27.6,FTSE 100,,,
ASTRAZENECA,94.8,14.7,FTSE 100,,,
AUTO TRADER GROUP,5.4,28.9,FTSE 100,,,
AVIVA,18.7,-25.9,FTSE 100,,,
BAE SYSTEMS,18.7,-19.9,FTSE 100,,,
BARCLAYS,32.8,-25.9,FTSE 100,,,
BARRATT DEVELOPMENTS,6,-28.5,FTSE 100,,yes,
BERKELEY GROUP HDG.,5.7,-17.1,FTSE 100,,,
BHP GROUP,115.4,8.5,FTSE 100,,,
BP,127.3,-5.1,FTSE 100,,,
BRITISH AMERICAN TOBACCO,73,-50.2,FTSE 100,,yes,
BRITISH LAND,6.5,-22.9,FTSE 100,,,
BT GROUP,30.1,-12.4,FTSE 100,,,
BUNZL,10.2,14.3,FTSE 100,,,
BURBERRY GROUP,9.1,-3.2,FTSE 100,,,
CARNIVAL,34,-23.1,FTSE 100,,,
CENTRICA,9.8,-1.7,FTSE 100,,,
COCA-COLA HBC,11.5,1.3,FTSE 100,,,
COMPASS GROUP,33.3,3.1,FTSE 100,,,
CRH,21.5,-22.1,FTSE 100,,,
CRODA INTERNATIONAL,7.9,5.9,FTSE 100,,,
DCC,7.5,-19.8,FTSE 100,,,
DIAGEO,86.1,2.6,FTSE 100,,,
DIRECT LINE IN.GROUP,5.6,-16.5,FTSE 100,,,
EASYJET,5.6,-24.5,FTSE 100,,,
EVRAZ,8.8,41.3,FTSE 100,,,
EXPERIAN,22.1,16.4,FTSE 100,,,
FERGUSON,14.8,-10.8,FTSE 100,,,
FRESNILLO,8.1,-39.8,FTSE 100,,,
GLAXOSMITHKLINE,94.3,12.8,FTSE 100,,,
GLENCORE,51.9,-25.3,FTSE 100,,,
GVC HOLDINGS,5,-27.1,FTSE 100,,,
HALMA,6.6,8.3,FTSE 100,,,
HARGREAVES LANSDOWN,11.2,2.6,FTSE 100,,,
HIKMA PHARMACEUTICALS,5.3,51.3,FTSE 100,,yes,
HISCOX DI,5.9,10.7,FTSE 100,,,
HSBC HOLDINGS,165.1,-15.6,FTSE 100,,yes,
ICTL.HTLS.GP.,10.3,-10.2,FTSE 100,,,
IMPERIAL BRANDS,28.9,-24.9,FTSE 100,,,
INFORMA,10,-12.7,FTSE 100,,,
INTERTEK GROUP,9.9,-7.5,FTSE 100,,,
INTL.CONS.AIRL.GP.,15.6,-5.1,FTSE 100,,,
ITV,6.4,-24.6,FTSE 100,,,
JOHNSON MATTHEY,6.9,-9,FTSE 100,,,
KINGFISHER,5.6,-38.6,FTSE 100,,,
LAND SECURITIES GROUP,7.6,-20.2,FTSE 100,,yes,
LEGAL & GENERAL,17.5,-15.5,FTSE 100,,,
LLOYDS BANKING GROUP,47,-23.8,FTSE 100,,,
LONDON STOCK EX.GROUP,18,7.1,FTSE 100,,,
MARKS & SPENCER GROUP,5.1,-21.5,FTSE 100,,,
MELROSE INDUSTRIES,10.1,-22.8,FTSE 100,,,
MICRO FOCUS INTL.,7.4,-45.2,FTSE 100,,yes,
MONDI,10.2,-15.4,FTSE 100,,,
MORRISON(WM)SPMKTS.,6.4,-3,FTSE 100,,,
NATIONAL GRID,33.1,-12.7,FTSE 100,,,
NEXT,7.1,-11.8,FTSE 100,,,
NMC HEALTH,7.3,-5.2,FTSE 100,,,
OCADO,7,98.9,FTSE 100,,yes,
PADDY POWER BETFAIR,6.5,-27.5,FTSE 100,,,
PEARSON,9.3,27.5,FTSE 100,,yes,
PERSIMMON,7.8,-29.5,FTSE 100,,yes,
PRUDENTIAL,46.3,-26.4,FTSE 100,,,
RECKITT BENCKISER GROUP,54.2,-13.1,FTSE 100,,,
RELX,40.5,-7,FTSE 100,,,
RENTOKIL INITIAL,7.9,6,FTSE 100,,,
RIGHTMOVE,4.9,-3.9,FTSE 100,,,
RIO TINTO,81.2,-5.4,FTSE 100,,,
ROLLS-ROYCE HOLDINGS,20,-0.6,FTSE 100,,,
ROYAL BANK OF SCTL.GP.,33.3,-22.1,FTSE 100,,,
ROYAL DUTCH SHELL A(LON),242.8,-7,FTSE 100,,yes,
RSA INSURANCE GROUP,6.7,-18.8,FTSE 100,,,
SAGE GROUP,8.3,-24.6,FTSE 100,,,
SAINSBURY J,7.4,9.8,FTSE 100,,,
SCHRODERS,8.5,-30.5,FTSE 100,,,
SCOTTISH MORTGAGE,8.7,4,FTSE 100,,,
SEGRO,7.6,0.3,FTSE 100,,,
SEVERN TRENT,5.5,-16,FTSE 100,,,
SMITH & NEPHEW,16.3,13.7,FTSE 100,,,
SMITH (DS),5.2,-37.8,FTSE 100,,,
SMITHS GROUP,6.9,-8.5,FTSE 100,,,
SMURFIT KAPPA GP. (LON),6.3,-17,FTSE 100,,,
SPIRAX-SARCO ENGR.,5.9,11,FTSE 100,,,
SSE,14.1,-18.1,FTSE 100,,,
ST.JAMES'S PLACE ORD,6.4,-23,FTSE 100,,,
STANDARD CHARTERED,25.7,-21.9,FTSE 100,,,
STANDARD LIFE ABERDEEN,8.3,-40.8,FTSE 100,,yes,
TAYLOR WIMPEY,5.7,-34,FTSE 100,,yes,
TESCO,23.7,-9.2,FTSE 100,,,
TUI (LON),8.3,-26.9,FTSE 100,,,
UNILEVER (UK),154.1,-0.4,FTSE 100,,,
UNITED UTILITIES GROUP,6.4,-11.2,FTSE 100,,,
VODAFONE GROUP,52,-34.9,FTSE 100,,,
WHITBREAD,10.7,14.5,FTSE 100,,,
WOOD GROUP (JOHN),4.4,-22.1,FTSE 100,,,
WPP,13.6,-36.9,FTSE 100,,,
1&1 DRILLISCH,8.9,-35.3,FTSE Eurofirst 300,,,
3I GROUP,9.6,-15.3,FTSE Eurofirst 300,,,
A P MOLLER MAERSK A,25.3,-25.7,FTSE Eurofirst 300,,,
ABB LTD N,41.1,-28.4,FTSE Eurofirst 300,,,
