date,Pearson,Sky,Bloomsbury,Vitesse Media,Totally,highlight,annotate
05/04/07,850,562,203.5,32.5,286.26,,
12/04/07,846,571.5,200,32.5,286.26,,
19/04/07,856,572.5,204,33,273.81,,
26/04/07,863.5,568.5,191.25,33.5,261.37,,
03/05/07,875.5,628.5,183.5,33.5,273.81,,
10/05/07,875.5,621.5,189,34,261.37,,
17/05/07,901.5,641.5,183,34,261.37,,
24/05/07,882,634.5,185,35,261.37,,
31/05/07,898,660,186.25,35,261.37,,
07/06/07,851.5,640,182.5,35,273.81,,
14/06/07,863,646,191,35,286.26,,
21/06/07,824.5,634.5,190,35,286.26,,
28/06/07,835,631,194,35,286.26,,
05/07/07,827.5,649,193.25,37.5,286.26,,
12/07/07,825.5,709,185.25,40.5,286.26,,
19/07/07,824.5,705.5,184,39,286.26,,
26/07/07,769.5,675.5,176,34.5,286.26,,
02/08/07,797,660,154,34.5,286.26,,
09/08/07,774,694.5,168.25,34.5,248.92,,
16/08/07,737,646.5,162,33.5,248.92,,
23/08/07,747,658,164,36,224.03,,
30/08/07,746.5,667,163,36,224.03,,
06/09/07,744,674,159,36,211.58,,
13/09/07,747.5,677.5,165,36,211.58,,
20/09/07,759.5,679,158.5,36,211.58,,
27/09/07,754.5,694,153,36,211.58,,
04/10/07,751.5,693,144,35.5,211.58,,
11/10/07,791,696,145.5,35.5,211.58,,
18/10/07,766,676,155,35.5,224.03,,
25/10/07,784,655.5,156.75,35,199.14,,
01/11/07,790.5,690,168.25,38,199.14,,
08/11/07,753.5,617.5,151.75,38,199.14,,
15/11/07,738.5,626,136.5,38,199.14,,
22/11/07,714,623,119,38,174.25,,
29/11/07,749.5,634.5,130,37,161.8,,
06/12/07,735,604.5,122.25,37,174.25,,
13/12/07,704,599,129.5,37,174.25,,
20/12/07,711.5,600,144.5,37,174.25,,
27/12/07,742.5,618,153,37,174.25,,
03/01/08,720,599.5,150,37,149.35,,
10/01/08,672,549,152,37,149.35,,
17/01/08,649,521,161,37,149.35,,
24/01/08,669,551,161,37,136.91,,
31/01/08,690.5,550,157.75,37,136.91,,
07/02/08,641,558,153,32.5,124.46,,
14/02/08,674,588,156,30.5,112.02,,
21/02/08,681,595,156,30.5,124.46,,
28/02/08,680,571,172,30.5,136.91,,
06/03/08,688.5,551,162,30.5,136.91,,
13/03/08,678,547,159.5,28.5,136.91,,
20/03/08,682,537.5,146,27.75,112.02,,
27/03/08,684,566,148,26,112.02,,
03/04/08,698,569,160,25.5,112.02,,
10/04/08,668.5,558,152,25.5,99.57,,
17/04/08,652.5,544,133.5,25.5,99.57,,
24/04/08,665.5,536.5,128,25.5,112.02,,
01/05/08,660.5,548,140.5,25.5,112.02,,
