name,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,2012, FY 2013, FY 2014,2015, FY 2016,H1 2017,group
Goldman Sachs,1,1,1,2,2,2,2,2,2,2,3,US
Deutsche Bank,2,4,3,3,2,3,2,3,5,6,6,EUR
Morgan Stanley,3,3,7,6,5,7,6,6,5,5,5,US
Citi,4,5,5,4,4,3,2,3,3,2,2,US
JPMorgan,5,2,2,1,1,1,1,1,1,1,1,US
Credit Suisse,6,9,7,6,8,7,8,7,7,8,7,EUR
UBS,7,6,10,9,9,9,9,9,9,9,10,EUR
Barclays,10,6,3,6,7,6,6,8,8,7,7,EUR
BAML,,,5,4,6,3,2,3,3,4,3,US
HSBC,,,,,,,,,10,9,9,EUR
