date,Households,Non-financial corporates,Government,Financial corporates
01/03/2000,61.6,77.8,66.2,85.5
01/06/2000,61.4,77.9,65.2,85.6
01/09/2000,62.0,78.7,64.3,86.4
01/12/2000,62.1,79.7,64.0,87.7
01/03/2001,62.5,80.2,64.6,91.0
01/06/2001,63.0,80.4,64.3,90.6
01/09/2001,64.3,80.9,64.7,92.1
01/12/2001,64.7,81.6,64.9,93.0
01/03/2002,65.1,81.5,64.9,94.1
01/06/2002,65.7,81.2,66.0,94.3
01/09/2002,66.4,80.9,66.7,94.4
01/12/2002,67.3,80.8,67.0,95.5
01/03/2003,68.0,80.2,67.9,98.0
01/06/2003,69.1,79.7,69.3,98.8
01/09/2003,69.7,78.7,68.7,99.4
01/12/2003,70.4,78.1,68.5,98.8
01/03/2004,70.9,77.8,72.3,100.4
01/06/2004,71.7,77.3,72.8,100.8
01/09/2004,72.3,77.1,72.8,102.0
01/12/2004,73.3,77.3,73.1,103.0
01/03/2005,73.1,78.0,73.7,104.3
01/06/2005,74.2,78.5,74.8,107.6
01/09/2005,74.7,78.7,74.0,107.9
01/12/2005,75.5,79.1,73.7,110.4
01/03/2006,76.0,79.7,72.9,112.4
01/06/2006,77.0,80.3,72.5,112.0
01/09/2006,77.8,81.0,72.7,113.4
01/12/2006,78.3,81.5,71.9,114.6
01/03/2007,78.5,82.2,71.7,117.8
01/06/2007,79.2,83.0,70.8,119.5
01/09/2007,79.6,84.2,71.0,121.8
01/12/2007,80.0,85.4,71.2,123.4
01/03/2008,80.4,86.7,72.3,126.2
01/06/2008,80.2,87.1,71.9,125.7
01/09/2008,80.6,88.2,74.0,126.8
01/12/2008,80.8,90.2,78.9,128.8
01/03/2009,81.6,91.3,82.7,131.0
01/06/2009,82.3,91.0,85.8,129.4
01/09/2009,82.6,90.8,88.4,129.8
01/12/2009,82.4,89.6,89.4,127.7
01/03/2010,81.7,89.3,91.5,125.6
01/06/2010,81.0,88.1,93.7,123.7
01/09/2010,80.2,87.4,94.8,122.7
01/12/2010,79.7,86.5,95.9,120.4
01/03/2011,79.5,86.3,96.7,120.5
01/06/2011,78.8,86.3,98.2,118.9
01/09/2011,77.9,86.0,99.7,118.1
01/12/2011,77.3,85.9,100.3,116.8
01/03/2012,76.7,86.2,101.6,117.7
01/06/2012,76.6,86.3,104.1,116.4
01/09/2012,76.1,86.9,105.4,116.6
01/12/2012,76.2,87.3,107.0,116.0
01/03/2013,75.7,87.1,108.0,115.1
01/06/2013,75.6,87.2,107.9,114.0
01/09/2013,75.2,86.9,107.1,111.3
01/12/2013,74.7,86.3,107.7,110.8
01/03/2014,74.5,86.5,109.0,110.6
01/06/2014,74.3,86.2,109.9,110.5
01/09/2014,73.9,86.2,110.1,111.0
01/12/2014,73.8,86.9,110.8,112.5
01/03/2015,73.6,88.5,111.3,113.7
01/06/2015,73.5,88.1,109.4,111.1
01/09/2015,73.4,88.4,109.3,110.8
01/12/2015,73.5,88.6,110.1,110.0
01/03/2016,73.5,89.2,112.0,110.5
01/06/2016,73.7,89.6,113.6,110.7
01/09/2016,73.7,89.9,113.4,110.9
01/12/2016,73.7,89.5,111.7,110.8
01/03/2017,73.6,89.8,110.5,110.6
01/06/2017,73.6,89.4,110.1,109.0
01/09/2017,73.4,89.6,109.9,108.8
