date,Households,Non-financial corporates,Government,Financial corporates
01/03/2000,13.2,63.0,43.0,13.5
01/06/2000,13.2,61.5,42.6,13.0
01/09/2000,13.2,61.6,42.0,12.3
01/12/2000,13.2,62.7,41.5,12.5
01/03/2001,12.9,59.6,41.6,13.2
01/06/2001,12.8,60.2,42.4,12.7
01/09/2001,13.0,60.6,43.2,12.9
01/12/2001,13.1,60.7,43.2,12.7
01/03/2002,13.7,64.3,44.6,13.9
01/06/2002,14.0,65.6,45.7,16.2
01/09/2002,14.3,66.6,46.8,17.2
01/12/2002,14.3,66.6,46.1,17.2
01/03/2003,14.4,67.5,45.6,17.0
01/06/2003,14.7,68.9,45.0,17.1
01/09/2003,14.8,69.5,45.2,17.9
01/12/2003,14.9,68.7,44.6,17.4
01/03/2004,15.0,69.5,44.1,18.3
01/06/2004,15.0,68.1,43.5,19.1
01/09/2004,15.0,67.1,42.7,18.5
01/12/2004,15.1,66.3,42.1,19.5
01/03/2005,15.1,65.6,41.6,21.0
01/06/2005,15.2,64.6,40.1,21.7
01/09/2005,15.4,64.3,39.3,22.2
01/12/2005,15.6,63.9,39.1,23.4
01/03/2006,16.0,65.2,38.5,24.7
01/06/2006,15.8,66.1,37.8,25.2
01/09/2006,16.0,65.7,37.1,25.4
01/12/2006,16.3,65.3,36.4,25.1
01/03/2007,19.3,63.3,36.5,26.7
01/06/2007,19.8,63.7,36.3,26.8
01/09/2007,20.2,63.6,36.1,26.8
01/12/2007,20.2,62.9,36.0,26.2
01/03/2008,20.3,63.9,35.3,27.7
01/06/2008,20.3,64.0,34.6,28.0
01/09/2008,20.4,64.6,33.8,28.4
01/12/2008,20.4,65.3,34.7,27.9
01/03/2009,20.9,70.6,36.1,27.2
01/06/2009,21.7,73.5,37.5,27.1
01/09/2009,22.7,75.0,39.0,26.5
01/12/2009,23.2,75.0,39.7,26.8
01/03/2010,23.9,74.9,39.4,27.0
01/06/2010,24.4,75.2,39.3,27.2
01/09/2010,24.8,74.9,38.9,27.1
01/12/2010,25.0,74.6,38.4,26.8
01/03/2011,25.2,74.5,38.2,26.7
01/06/2011,25.5,74.3,38.0,26.6
01/09/2011,25.6,74.1,38.0,26.6
01/12/2011,25.8,74.6,37.9,25.8
01/03/2012,25.9,75.8,38.0,25.8
01/06/2012,26.3,77.1,38.5,25.9
01/09/2012,26.8,77.9,38.5,25.6
01/12/2012,27.2,79.1,38.9,25.4
01/03/2013,27.7,81.7,39.1,26.3
01/06/2013,28.5,83.2,39.5,26.1
01/09/2013,29.0,84.4,39.8,26.0
01/12/2013,29.3,84.7,40.3,26.7
01/03/2014,29.5,86.6,40.5,27.6
01/06/2014,29.8,88.0,40.9,28.1
01/09/2014,30.1,88.5,41.2,28.3
01/12/2014,30.4,90.0,42.1,28.5
01/03/2015,30.7,91.5,42.7,28.9
01/06/2015,31.1,92.5,43.0,29.5
01/09/2015,31.6,94.0,43.9,30.4
01/12/2015,31.9,96.3,44.5,31.0
01/03/2016,32.4,97.5,45.4,30.9
01/06/2016,33.1,97.6,45.9,31.6
01/09/2016,33.8,97.2,46.3,32.0
01/12/2016,34.3,97.2,46.7,32.4
01/03/2017,34.6,96.7,47.1,33.2
01/06/2017,35.1,95.8,47.4,33.2
01/09/2017,35.2,96.0,47.8,32.1
