date,category,Information Technology,Health Care,Consumer Discretionary,Communication Services,Financials,others,annotate,highlight
31/12/2007,ASX,0.43,3.0733,5.508,3.768,40.289,46.9253,,
31/12/2008,ASX,0.49,4.59,3.77,5.6838,37.564,47.8835,,
31/12/2009,ASX,0.638,3.439,3.858,3.807,39.499,48.7542,,
31/12/2010,ASX,0.618,3.306,3.709,3.15,37.4,51.8043,,
31/12/2011,ASX,0.6302,3.5902,3.65,4.498,39.001,48.628,,
31/12/2012,ASX,0.6449,4.435,3.42,5.073,41.685,44.7308,,
31/12/2013,ASX,0.808,4.7068,4.6555,5.299,44.548,39.97835,,
31/12/2014,ASX,0.75899,5.8706,3.849,5.891,46.845,36.7827,,
31/12/2015,ASX,0.937,6.85,4.745,5.449,48.655,33.35,,
31/12/2016,ASX,1.342,6.808,5.276,4.831,41.96,39.758,,
31/12/2017,ASX,1.89,7.069,4.69,3.07,35.611,47.62,,
31/12/2018,ASX,2.1,8.74,6.32,3.49,32.6,46.67,,
31/12/2019,ASX,2.52,10.44,6.67,3.56,29.8,46.94,,
31/12/2020,ASX,4.46,10.66,7.45,3.98,27.76,45.65,,
31/12/2021,ASX,4.69,10.2,7.94,4.13,28.7,44.33,,
31/12/2007,FTSE,0.5,7.4,2.9,9.8,20.8,58.4,,
31/12/2008,FTSE,0.6,10.9,3.5,10.9,16.3,57.8,,
31/12/2009,FTSE,0.5,8.9,3,8.2,19.7,59.7,,
31/12/2010,FTSE,0.9,7.9,3.2,8.6,19.3,60.2,,
31/12/2011,FTSE,1.1,9.1,3.2,9.4,15.1,62.1,,
31/12/2012,FTSE,1.3,7.9,3.7,8.5,19,59.6,,
31/12/2013,FTSE,1.5,8.4,4.7,10.9,19.6,54.9,,
31/12/2014,FTSE,1.6,9.7,6.1,8.2,21,53.4,,
31/12/2015,FTSE,2,10.3,7.2,9.4,21.8,49.4,,
31/12/2016,FTSE,1.1,10.6,6.3,7.6,20.8,53.6,,
31/12/2017,FTSE,1.6,9,6.4,6.6,21.5,54.9,,
31/12/2018,FTSE,1,9.7,6.3,5.8,20.1,57.1,,
31/12/2019,FTSE,1,11,6.7,5.4,19.8,56.2,,
31/12/2020,FTSE,1.28,10.43,8.299,4.528,17.36,58.103,,
31/12/2021,FTSE,1.31,10.13,8.49,4.58,17.53,57.96,,
31/12/2007,S&P,19.9,12.6,9.6,3.2,14.4,40.4,,
31/12/2008,S&P,18.6,10.9,10.6,3.1,16.1,40.5,,
31/12/2009,S&P,19,11.9,10.7,3.2,13.4,41.9,,
31/12/2010,S&P,19,12,11.5,3.1,15.6,38.7,,
31/12/2011,S&P,18.6,13,12.5,2.3,16.2,37.4,,
31/12/2012,S&P,19.7,14.2,12.1,2.3,16.6,35,,
31/12/2013,S&P,20.7,15.2,12.9,2.4,16.5,32.4,,
31/12/2014,S&P,20.8,13.6,12,2.7,14.8,36.2,,
31/12/2015,S&P,23.8,13.8,12.2,2.1,14.8,33.4,,
31/12/2016,S&P,20.1,15.5,9.9,10.1,13.3,30.9,,
31/12/2017,S&P,23.2,14.2,9.8,10.4,13,29.5,,
31/12/2018,S&P,27.7,13.6,11.2,11.1,10.4,25.9,,
31/12/2019,S&P,23.2,14.2,9.8,10.4,12.95,29.5,,
31/12/2020,S&P,27.6,13.46,12.7,10.77,10.44,24.98,,
31/12/2021,S&P,27.86,13.16,12.9,10.98,10.61,24.439,,
