date,Alcoholic,Automobiles,Financials,Gambling,Retail,Technology,Telecoms,Travel,Other
1992,4,1,2,0,1,8,0,0,6
1993,4,2,1,0,1,6,0,0,8
1994,6,2,1,0,0,9,0,0,4
1995,5,2,0,0,1,10,1,0,1
1996,5,2,1,0,1,9,1,0,1
1997,2,2,1,0,2,9,2,0,2
1998,2,3,2,0,1,8,2,0,2
1999,3,5,1,0,1,5,3,0,2
2000,4,4,2,0,1,1,3,0,5
2001,4,1,2,0,2,2,4,1,4
2002,2,2,3,1,3,2,4,2,1
2003,2,1,5,0,3,1,3,3,2
2004,2,1,5,1,3,0,3,4,1
2005,2,1,2,1,4,2,4,3,1
2006,2,0,4,4,2,3,1,2,2
2007,2,0,4,4,2,5,0,3,0
2008,2,0,3,2,2,4,1,3,3
2009,2,0,3,7,0,2,0,2,4
2010,1,0,9,5,0,2,0,2,1
2011,1,0,6,7,0,2,0,3,1
2012,1,0,5,5,0,2,0,3,4
2013,1,0,5,3,0,2,0,3,6
2014,1,1,4,4,0,4,0,4,2
2015,1,2,4,7,0,2,0,3,1
2016,1,2,3,10,0,0,0,3,1
2017,0,2,4,9,0,0,0,3,2
2018,0,2,4,9,0,0,0,4,1
