date,averageVote__result,annotate,highlight
27/09/09,33.8,election,
23/10/09,34.82032043,,
19/11/09,35,,
14/12/09,35,,
19/01/10,35,,
01/03/10,35,,
25/03/10,34,,
22/04/10,35,,
20/05/10,33,,
23/06/10,32,,
21/07/10,32,,
20/08/10,31,,
17/09/10,31,,
27/10/10,32,,
16/11/10,32,,
16/12/10,33,,
24/01/11,34,,
18/02/11,34,,
21/03/11,34,,
19/04/11,33,,
20/05/11,33,,
21/06/11,33,,
21/07/11,32,,
25/08/11,34,,
21/09/11,33,,
24/10/11,33,,
24/11/11,34,,
13/12/11,34,,
26/01/12,36,,
23/02/12,38,,
22/03/12,37,,
27/03/12,36.47688062,,
03/04/12,36.41547515,,
11/04/12,35.59396858,,
16/04/12,36.17946206,,
23/04/12,35,,
23/04/12,35,,
01/05/12,35.54556145,,
09/05/12,35,,
15/05/12,34.2553355,,
22/05/12,33.08578796,,
23/05/12,33,,
29/05/12,33,,
05/06/12,33.59605913,,
12/06/12,34.40603142,,
19/06/12,34.76537264,,
22/06/12,34.4886843,,
25/06/12,34,,
03/07/12,34.5737454,,
10/07/12,34.66700941,,
17/07/12,35.64107588,,
24/07/12,35,,
24/07/12,35,,
02/08/12,35,,
07/08/12,35.60839614,,
14/08/12,35,,
21/08/12,35.91815622,,
23/08/12,36,,
28/08/12,35.47688062,,
04/09/12,36,,
11/09/12,36.68437179,,
20/09/12,36,,
21/09/12,37.00502513,,
25/09/12,36.96622581,,
02/10/12,36.85250921,,
09/10/12,36.66598118,,
15/10/12,36.41361121,,
23/10/12,35,,
25/10/12,36.51941969,,
30/10/12,37.47688062,,
06/11/12,38,,
13/11/12,38,,
19/11/12,38,,
22/11/12,37.4886843,,
27/11/12,36.47688062,,
04/12/12,35.83095031,,
11/12/12,37,,
17/12/12,38.58994322,,
18/12/12,37.98994975,,
07/01/13,39.27693438,,
15/01/13,39.04289398,,
22/01/13,41,,
29/01/13,41,,
29/01/13,41,,
04/02/13,40.94003786,,
12/02/13,40.17481158,,
19/02/13,40,,
19/02/13,40,,
26/02/13,40,,
04/03/13,40.59605913,,
12/03/13,40,,
19/03/13,40,,
22/03/13,40,,
25/03/13,39.47001893,,
09/04/13,39.27693438,,
16/04/13,40.5,,
16/04/13,40.5,,
21/04/13,40.43064186,,
22/04/13,39.88007571,,
29/04/13,39.61576348,,
07/05/13,38.38467189,,
13/05/13,37.58656841,,
16/05/13,38.53394709,,
17/05/13,38.49246231,,
22/05/13,38.94003786,,
27/05/13,39.4262546,,
01/06/13,39.36429173,,
04/06/13,39.31562821,,
11/06/13,39.14973297,,
18/06/13,40.07492206,,
19/06/13,40.49748744,,
24/06/13,39.94003786,,
01/07/13,40.40394087,,
09/07/13,39.55386876,,
16/07/13,39.5,,
16/07/13,39.5,,
23/07/13,39.38761691,,
30/07/13,39.78320772,,
05/08/13,39.59396858,,
13/08/13,39.16368757,,
20/08/13,39.5,,
20/08/13,39.5,,
26/08/13,39.94003786,,
02/09/13,39.80788174,,
09/09/13,39.59396858,,
10/09/13,39.50251256,,
15/09/13,38.95376124,,
19/09/13,38.89141125,,
22/09/13,41.5,election,
27/09/13,41.73185154,,
29/09/13,41.97179391,,
01/10/13,42.04912358,,
06/10/13,41.90865735,,
09/10/13,42.54808868,,
10/10/13,42.74068965,,
10/10/13,42.74068965,,
13/10/13,42.76173987,,
15/10/13,42.53975747,,
15/10/13,42.53975747,,
16/10/13,42.4203849,,
18/10/13,42.32046728,,
20/10/13,42.32610913,,
21/10/13,42.50629649,,
23/10/13,42.15339571,,
23/10/13,42.15339571,,
25/10/13,41.83431189,,
27/10/13,41.66983978,,
30/10/13,41.39817285,,
30/10/13,41.39817285,,
03/11/13,41.5686476,,
06/11/13,41.59617976,,
06/11/13,41.59617976,,
07/11/13,41.88399879,,
08/11/13,41.89918676,,
10/11/13,41.72615939,,
12/11/13,41.73235455,,
13/11/13,41.54780975,,
17/11/13,41.5362245,,
19/11/13,41.43596356,,
20/11/13,41.25601811,,
20/11/13,41.25601811,,
22/11/13,41.30104376,,
24/11/13,41.4780948,,
27/11/13,41.29676825,,
27/11/13,41.29676825,,
27/11/13,41.29676825,,
29/11/13,41.35318994,,
01/12/13,41.20834924,,
03/12/13,41.52354166,,
04/12/13,41.53777116,,
05/12/13,41.7276418,,
08/12/13,41.90783202,,
09/12/13,41.8416718,,
10/12/13,42.08995477,,
11/12/13,42.25797769,,
13/12/13,42.26155476,,
15/12/13,42.27117643,,
17/12/13,42.12307524,,
17/12/13,42.12307524,,
19/12/13,42.15241841,,
20/12/13,42.0432797,,
22/12/13,41.87762547,,
01/01/14,41.83170549,,
06/01/14,41.68973269,,
08/01/14,41.39423651,,
09/01/14,41.20254998,,
12/01/14,41.38974724,,
13/01/14,41.2711126,,
15/01/14,41.0056182,,
17/01/14,41.41706527,,
19/01/14,41.22192882,,
21/01/14,41.371266,,
22/01/14,41.50825684,,
22/01/14,41.50825684,,
26/01/14,41.49200005,,
27/01/14,41.48105305,,
29/01/14,41.38236248,,
29/01/14,41.38236248,,
31/01/14,41.57450773,,
31/01/14,41.57450773,,
02/02/14,41.72229082,,
