name,"CDU/CSU","SPD","FDP","Green","Left","AfD"
Grand Coaltion,39,24,0,0,0,0
Jamaica,39,0,10,8,0,0
Black-Yellow,39,0,10,0,0,0
Black-Blue,39,0,0,0,0,10
Black-Green,39,0,0,8,0,0
Traffic Light,0,24,10,8,0,0
Red-Red-Green,0,24,0,8,0,0
