id,constituency,county,region,country,Conservative Party,Liberal Democrats,Labour 
E14000608,BUCKINGHAM,Buckinghamshire,South East,England,,,
E14000609,BURNLEY,Lancashire,North West,England,0.31,0.15,0.47
E14000610,BURTON,Staffordshire,West Midlands,England,0.58,0.03,0.38
E14000611,BURY NORTH,Greater Manchester,North West,England,0.44,0.02,0.54
E14000612,BURY SOUTH,Greater Manchester,North West,England,0.42,0.02,0.53
E14000613,BURY ST EDMUNDS,Suffolk,Eastern,England,0.59,0.06,0.30
E14000614,CALDER VALLEY,West Yorkshire,Yorkshire and The Humber,England,0.46,0.03,0.45
E14000615,CAMBERWELL AND PECKHAM,London,London,England,0.13,0.06,0.78
E14000616,CAMBORNE AND REDRUTH,Cornwall,South West,England,0.47,0.06,0.44
E14000617,CAMBRIDGE,Cambridgeshire,Eastern,England,0.16,0.29,0.52
E14000618,CANNOCK CHASE,Staffordshire,West Midlands,England,0.55,0.02,0.37
E14000619,CANTERBURY,Kent,South East,England,0.45,0.08,0.45
E14000620,CARLISLE,Cumbria,North West,England,0.50,0.03,0.44
E14000621,CARSHALTON AND WALLINGTON,London,London,England,0.38,0.41,0.18
E14000622,CASTLE POINT,Essex,Eastern,England,0.67,0.02,0.25
E14000623,CENTRAL DEVON,Devon,South West,England,0.54,0.12,0.27
E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,Suffolk,Eastern,England,0.60,0.04,0.30
E14000625,CHARNWOOD,Leicestershire,East Midlands,England,0.60,0.04,0.31
E14000626,CHATHAM AND AYLESFORD,Kent,South East,England,0.57,0.02,0.34
E14000627,CHEADLE,Greater Manchester,North West,England,0.45,0.36,0.19
E14000628,CHELMSFORD,Essex,Eastern,England,0.54,0.12,0.30
E14000629,CHELSEA AND FULHAM,London,London,England,0.53,0.11,0.33
E14000630,CHELTENHAM,Gloucestershire,South West,England,0.47,0.42,0.09
E14000631,CHESHAM AND AMERSHAM,Buckinghamshire,South East,England,0.61,0.13,0.21
E14000632,CHESTERFIELD,Derbyshire,East Midlands,England,0.35,0.05,0.55
E14000633,CHICHESTER,West Sussex,South East,England,0.60,0.11,0.22
E14000634,CHINGFORD AND WOODFORD GREEN,London,London,England,0.49,0.04,0.44
E14000635,CHIPPENHAM,Wiltshire,South West,England,0.55,0.26,0.20
E14000636,CHIPPING BARNET,London,London,England,0.46,0.05,0.46
E14000637,CHORLEY,Lancashire,North West,England,0.42,0.02,0.55
E14000638,CHRISTCHURCH,Dorset,South West,England,0.70,0.08,0.20
E14000639,CITIES OF LONDON AND WESTMINSTER,London,London,England,0.47,0.11,0.38
E14000640,CITY OF CHESTER,Cheshire,North West,England,0.40,0.03,0.57
E14000641,CITY OF DURHAM,Durham,North East,England,0.30,0.10,0.55
E14000642,CLACTON,Essex,Eastern,England,0.61,0.02,0.25
E14000643,CLEETHORPES,Humberside,Yorkshire and The Humber,England,0.57,0.02,0.35
E14000644,COLCHESTER,Essex,Eastern,England,0.46,0.17,0.35
E14000645,COLNE VALLEY,West Yorkshire,Yorkshire and The Humber,England,0.46,0.04,0.48
E14000646,CONGLETON,Cheshire,North West,England,0.57,0.05,0.34
E14000647,COPELAND,Cumbria,North West,England,0.49,0.03,0.45
E14000648,CORBY,Northamptonshire,East Midlands,England,0.49,0.03,0.45
E14000649,COVENTRY NORTH EAST,West Midlands,West Midlands,England,0.30,0.02,0.63
E14000650,COVENTRY NORTH WEST,West Midlands,West Midlands,England,0.37,0.03,0.54
E14000651,COVENTRY SOUTH,West Midlands,West Midlands,England,0.38,0.03,0.55
E14000652,CRAWLEY,West Sussex,South East,England,0.51,0.04,0.46
E14000653,CREWE AND NANTWICH,Cheshire,North West,England,0.47,0.02,0.47
E14000654,CROYDON CENTRAL,London,London,England,0.42,0.02,0.52
E14000655,CROYDON NORTH,London,London,England,0.20,0.03,0.74
E14000656,CROYDON SOUTH,London,London,England,0.54,0.06,0.36
E14000657,DAGENHAM AND RAINHAM,London,London,England,0.40,0.01,0.50
E14000658,DARLINGTON,Durham,North East,England,0.43,0.02,0.51
E14000659,DARTFORD,Kent,South East,England,0.58,0.03,0.33
E14000660,DAVENTRY,Northamptonshire,East Midlands,England,0.64,0.07,0.25
E14000661,DENTON AND REDDISH,Greater Manchester,North West,England,0.28,0.02,0.64
E14000662,DERBY NORTH,Derbyshire,East Midlands,England,0.44,0.05,0.49
E14000663,DERBY SOUTH,Derbyshire,East Midlands,England,0.34,0.03,0.58
E14000664,DERBYSHIRE DALES,Derbyshire,East Midlands,England,0.60,0.06,0.31
E14000665,DEVIZES,Wiltshire,South West,England,0.63,0.09,0.21
E14000666,DEWSBURY,West Yorkshire,Yorkshire and The Humber,England,0.45,0.02,0.51
E14000667,DON VALLEY,South Yorkshire,Yorkshire and The Humber,England,0.42,0.02,0.53
E14000668,DONCASTER CENTRAL,South Yorkshire,Yorkshire and The Humber,England,0.34,0.02,0.58
E14000669,DONCASTER NORTH,South Yorkshire,Yorkshire and The Humber,England,0.28,0.02,0.61
E14000670,DOVER,Kent,South East,England,0.52,0.03,0.40
E14000671,DUDLEY NORTH,West Midlands,West Midlands,England,0.46,0.01,0.46
E14000672,DUDLEY SOUTH,West Midlands,West Midlands,England,0.56,0.02,0.36
E14000673,DULWICH AND WEST NORWOOD,London,London,England,0.19,0.08,0.70
E14000674,EALING CENTRAL AND ACTON,London,London,England,0.35,0.06,0.60
E14000675,EALING NORTH,London,London,England,0.28,0.02,0.66
E14000676,"EALING, SOUTHALL",London,London,England,0.21,0.04,0.70
E14000677,EASINGTON,Durham,North East,England,0.23,0.01,0.64
E14000678,EAST DEVON,Devon,South West,England,0.49,0.02,0.11
E14000679,EAST HAM,London,London,England,0.13,0.01,0.83
E14000680,EAST HAMPSHIRE,Hampshire,South East,England,0.64,0.15,0.17
E14000681,EAST SURREY,Surrey,South East,England,0.60,0.10,0.19
E14000682,EAST WORTHING AND SHOREHAM,West Sussex,South East,England,0.49,0.05,0.39
E14000683,EAST YORKSHIRE,Humberside,Yorkshire and The Humber,England,0.58,0.04,0.30
E14000684,EASTBOURNE,East Sussex,South East,England,0.44,0.47,0.08
E14000685,EASTLEIGH,Hampshire,South East,England,0.50,0.26,0.20
E14000686,EDDISBURY,Cheshire,North West,England,0.57,0.05,0.34
E14000687,EDMONTON,London,London,England,0.23,0.02,0.71
E14000688,ELLESMERE PORT AND NESTON,Cheshire,North West,England,0.37,0.02,0.59
E14000689,ELMET AND ROTHWELL,West Yorkshire,Yorkshire and The Humber,England,0.54,0.04,0.38
E14000690,ELTHAM,London,London,England,0.41,0.03,0.54
