fips,postalAbbreviation,code..str,stateNameShort,stateNameLong,electoralColleage,2016,2020
1,AL,al,Alabama,Alabama,9,republican,
2,AK,ak,Alaska,Alaska,3,republican,
4,AZ,az,Ariz,Arizona,11,republican,
5,AR,ar,Ark,Arkansas,6,republican,
6,CA,ca,Calif,California,55,democrat,
8,CO,co,colorado,Colorado,9,democrat,
9,CT,ct,Conn,Connecticut,7,democrat,
10,DE,de,delaware,Delaware,3,democrat,
11,DC,dc,DC,District of Columbia,3,democrat,
12,FL,fl,Fla,Florida,29,republican,
13,GA,ga,Ga,Georgia,16,republican,
15,HI,hi,Hawaii,Hawaii,4,democrat,
16,ID,id,Idaho,Idaho,4,republican,
17,IL,il,Ill,Illinois,20,democrat,
18,IN,in,Ind,Indiana,11,republican,
19,IA,ia,Iowa,Iowa,6,republican,
20,KS,ks,Kan,Kansas,6,republican,democrat
21,KY,ky,Ky,Kentucky,8,republican,
22,LA,la,La,Louisiana,8,republican,
23,ME,me,Maine,Maine,2,democrat,
23,ME1,me1,ME-1,Maine (District 1),1,democrat,
23,ME2,me2,ME-2,Maine (District 2),1,republican,
24,MD,md,Maryland,Maryland,10,democrat,
25,MA,ma,Mass,Massachusetts,11,democrat,
26,MI,mi,Mich,Michigan,16,republican,
27,MN,mn,Minn,Minnesota,10,democrat,
28,MS,ms,Mississippi,Mississippi,6,republican,
29,MO,mo,Missouri,Missouri,10,republican,
30,MT,mt,Mont,Montana,3,republican,
31,NE,ne,Nebraska,Nebraska,2,republican,
31,NE1,ne1,NE-1,Nebraska (District 1),1,republican,
31,NE2,ne2,NE-2,Nebraska (District 2),1,republican,
31,NE3,ne3,NE-3,Nebraska (District 3),1,republican,
32,NV,nv,Nev,Nevada,6,democrat,
33,NH,nh,New Hampshire,New Hampshire,4,democrat,
34,NJ,nj,New Jersey,New Jersey,14,democrat,
35,NM,nm,New Mexico,New Mexico,5,democrat,
36,NY,ny,NY,New York,29,democrat,democrat
37,NC,nc,North Carolina,North Carolina,15,republican,
38,ND,nd,North Dakota,North Dakota,3,republican,
39,OH,oh,Ohio,Ohio,18,republican,
40,OK,ok,Okla,Oklahoma,7,republican,
41,OR,or,Ore,Oregon,7,democrat,
42,PA,pa,Penn,Pennsylvania,20,republican,
44,RI,ri,RI,Rhode Island,4,democrat,
45,SC,sc,SC,South Carolina,9,republican,
46,SD,sd,SD,South Dakota,3,republican,
47,TN,tn,Tenn,Tennessee,11,republican,
48,TX,tx,Texas,Texas,38,republican,
49,UT,ut,Utah,Utah,6,republican,
50,VT,vt,Vermont,Vermont,3,democrat,
51,VA,va,Virginia,Virginia,13,democrat,
53,WA,wa,Wash,Washington,12,democrat,
54,WV,wv,West Virgina,West Virginia,5,republican,
55,WI,wi,Wis,Wisconsin,10,republican,
56,WY,wy,Wyo,Wyoming,3,republican,
